df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,perfusion_ir
68.304,0.120
79.183,0.120
82.593,0.120
83.515,0.120
85.998,0.120
93.365,0.120
97.458,0.120
98.237,0.120
98.919,0.120
101.165,0.120
106.180,0.130
110.574,0.120
112.719,0.120
114.668,0.120
118.565,0.120
127.831,0.120
132.995,0.120
136.220,0.120
138.990,0.120
142.843,0.120
145.375,0.120
145.432,0.130
151.911,0.130
159.520,0.120
172.529,0.120
180.576,0.120
181.456,0.120
182.867,0.120
184.235,0.120
195.363,0.120
199.931,0.120
201.978,0.130
204.802,0.130
207.925,0.130
212.290,0.130
215.771,0.130
221.969,0.130
224.169,0.130
228.165,0.140
233.207,0.140
253.656,0.140
254.482,0.140
262.622,0.140
263.159,0.150
270.664,0.150
273.157,0.150
285.012,0.150
285.581,0.150
288.341,0.160
291.107,0.160
292.263,0.160
292.608,0.170
292.797,0.170
295.011,0.170
303.484,0.170
305.569,0.170
308.400,0.170
325.216,0.170
339.892,0.170
347.599,0.170
360.372,0.170
362.187,0.170
365.142,0.170
369.048,0.170
378.005,0.170
380.937,0.170
398.984,0.170
408.476,0.170
408.969,0.170
410.337,0.170
414.965,0.170
441.976,0.270
443.343,0.270
448.849,0.270
450.077,0.280
453.927,0.280
456.162,0.290
461.029,0.300
461.772,0.300
462.353,0.300
462.599,0.300
464.496,0.300
465.035,0.300
465.737,0.300
467.179,0.300
468.593,0.300
470.109,0.300
470.884,0.300
471.519,0.300
474.879,0.290
475.430,0.290
477.027,0.290
479.323,0.290
480.781,0.290
488.633,0.290
492.536,0.290
493.065,0.280
493.648,0.280
503.159,0.280
505.302,0.270
514.858,0.270
516.951,0.260
