df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,spo2
68.301,98
79.178,98
82.589,98
83.511,98
85.953,98
93.361,98
97.453,98
98.234,98
98.916,98
101.162,98
106.134,98
110.568,98
112.712,98
114.663,98
118.520,98
127.828,98
132.852,98
136.212,98
138.944,98
142.553,98
145.332,98
145.427,98
151.619,99
159.516,99
172.484,99
180.528,99
181.451,99
182.773,99
184.229,99
195.353,99
199.883,99
201.975,99
204.786,99
207.877,99
212.275,100
215.630,100
221.966,100
224.158,100
228.156,100
233.195,100
253.652,100
254.190,100
262.526,100
263.113,100
270.629,100
273.151,100
285.005,99
285.489,99
288.312,99
291.095,99
291.922,99
292.605,98
292.751,98
295.008,97
303.481,97
305.524,96
308.351,96
325.170,96
339.796,95
347.451,95
360.367,95
362.173,95
365.097,95
368.997,95
377.969,95
380.843,95
398.978,94
408.464,94
408.924,94
410.045,94
414.920,94
441.928,96
443.292,97
448.708,97
450.073,97
453.871,97
456.117,97
460.991,97
461.672,97
462.209,97
462.596,97
464.450,97
464.988,98
465.727,98
467.083,98
468.497,98
470.105,98
470.739,98
471.373,98
474.834,98
475.427,98
476.979,98
479.319,98
480.771,99
488.630,99
492.530,99
492.972,99
493.508,99
503.155,99
505.062,99
514.855,99
516.907,99
