df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,acc_mag
5.361,1.003
5.391,0.996
5.421,1.004
5.451,0.998
5.481,1.004
5.511,1.004
5.541,0.996
5.571,1.003
5.601,1.007
5.631,0.995
5.661,1.007
5.691,0.998
5.721,1.010
5.751,1.006
5.781,1.003
5.811,0.995
5.841,0.997
5.871,0.997
5.901,0.994
5.931,1.006
5.961,1.004
5.991,0.998
6.021,0.998
6.051,0.998
6.081,0.994
6.111,1.005
6.141,0.995
6.171,1.014
6.201,0.996
6.231,0.990
6.261,0.996
6.291,1.003
6.321,1.008
6.351,1.008
6.381,0.996
6.411,1.003
6.441,1.000
6.471,0.997
6.501,0.996
6.531,0.999
6.561,1.002
6.591,0.997
6.621,1.005
6.651,1.004
6.681,0.998
6.711,1.003
6.741,1.005
6.771,1.000
6.801,1.003
6.831,0.999
6.861,0.994
6.891,1.009
6.921,1.017
6.951,1.005
6.981,0.996
7.011,1.006
7.041,1.002
7.071,0.990
7.101,1.005
7.131,1.005
7.161,0.998
7.191,0.999
7.221,1.002
7.251,0.997
7.281,1.007
7.311,0.995
7.341,1.005
7.371,1.000
7.401,0.992
7.431,0.996
7.461,1.005
7.491,1.010
7.521,1.015
7.551,0.990
7.581,1.005
7.611,1.000
7.641,1.002
7.671,0.996
7.701,1.002
7.731,1.007
7.761,1.009
7.791,1.001
7.821,1.013
7.851,0.994
7.881,1.013
7.911,0.997
7.941,0.991
7.971,0.996
8.001,0.998
8.031,1.011
8.061,1.021
8.091,0.989
8.121,1.008
8.151,1.002
8.181,0.996
8.211,1.000
8.241,1.006
8.271,1.006
8.301,1.000
8.331,1.004
8.361,1.011
8.391,0.993
8.421,1.007
8.451,1.004
8.481,1.007
8.511,0.992
8.541,0.998
8.571,1.002
8.601,1.009
8.631,1.007
8.661,1.018
8.691,0.995
8.721,0.996
8.751,0.987
8.781,1.000
8.811,1.006
8.841,1.005
8.871,1.002
8.901,1.008
8.931,1.001
8.961,0.995
8.991,1.002
9.021,1.010
9.051,1.005
9.081,0.990
9.111,1.001
9.141,1.005
9.171,0.997
9.201,1.007
9.231,1.008
9.261,0.995
9.291,1.011
9.321,0.990
9.351,1.005
9.381,1.002
9.411,1.001
9.441,1.002
9.471,1.003
9.501,1.000
9.531,1.003
9.561,1.001
9.591,1.001
9.621,1.019
9.651,1.003
9.681,0.992
9.711,0.990
9.741,1.002
9.771,1.011
9.801,1.003
9.831,1.000
9.861,1.003
9.891,1.003
9.921,0.999
9.951,1.004
9.981,1.006
10.011,1.004
10.041,1.002
10.071,1.009
10.101,1.007
10.131,0.995
10.161,1.008
10.191,0.996
10.221,1.006
10.251,1.001
10.281,1.011
10.311,1.001
10.341,0.995
10.371,1.005
10.401,1.000
10.431,0.999
10.461,1.003
10.491,1.000
10.521,1.001
10.551,1.002
10.581,0.996
10.611,1.006
10.641,1.014
10.671,1.007
10.701,1.004
10.731,0.996
10.761,0.999
10.791,1.003
10.821,1.002
10.851,1.001
10.881,1.003
10.911,1.005
10.941,1.008
10.971,0.999
11.001,0.998
11.031,1.002
11.061,1.002
11.091,1.015
11.121,1.004
11.151,0.998
11.181,0.990
11.211,1.004
11.241,1.007
11.271,1.011
11.301,1.013
11.331,1.002
11.361,1.001
11.391,1.008
11.421,0.997
11.451,1.004
11.481,1.009
11.511,1.004
11.541,1.003
11.571,1.014
11.601,1.004
11.631,0.995
11.661,1.007
11.691,1.006
11.721,0.999
11.751,1.001
11.781,1.007
11.811,1.010
11.841,0.995
11.871,1.009
11.901,0.998
11.931,1.012
11.961,1.002
11.991,0.999
12.021,1.002
12.051,1.005
12.081,1.012
12.111,1.001
12.141,1.004
12.171,0.998
12.201,1.013
12.231,1.006
12.261,0.996
12.291,1.006
12.321,1.003
12.351,1.004
12.381,1.005
12.411,1.012
12.441,1.001
12.471,1.003
12.501,1.004
12.531,1.006
12.561,1.006
12.591,1.007
12.621,0.998
12.651,1.005
12.681,1.001
12.711,1.004
12.741,1.004
12.771,1.010
12.801,1.003
12.831,0.998
12.861,1.001
12.891,1.012
12.921,1.010
12.951,1.018
12.981,1.000
13.011,1.008
13.041,1.005
13.071,1.003
13.101,1.003
13.131,1.005
13.161,1.002
13.191,1.005
13.221,1.015
13.251,1.004
13.281,1.003
13.311,1.006
13.341,0.999
13.371,1.007
13.401,1.002
13.431,1.004
13.461,1.006
13.491,1.019
13.521,1.004
13.551,1.015
13.581,0.997
13.611,1.014
13.641,1.004
13.671,1.000
13.701,1.005
13.731,1.010
13.761,1.010
13.791,1.005
13.821,1.000
13.851,1.007
13.881,1.001
13.911,1.002
13.941,0.998
13.971,1.005
14.001,1.010
14.031,1.001
14.061,1.009
14.091,1.006
14.121,1.003
14.151,1.008
14.181,1.000
14.211,1.005
14.241,1.006
14.271,1.007
14.301,1.000
14.331,0.994
14.361,1.003
14.391,1.018
14.421,1.012
14.451,1.007
14.481,0.997
14.511,0.993
14.541,1.012
14.571,1.013
14.601,1.005
14.631,1.009
14.661,1.004
14.691,1.010
14.721,1.000
