df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,battery
12.192,39
22.137,38
32.132,38
42.222,38
52.121,38
62.112,38
72.106,38
82.100,38
92.093,37
102.136,37
112.129,37
122.221,37
132.118,37
142.111,37
152.105,37
162.101,37
172.093,37
182.381,36
192.081,36
202.221,36
212.166,36
222.113,36
232.105,36
242.196,36
252.097,35
262.087,35
272.080,35
282.220,35
292.117,35
302.110,35
312.127,35
322.098,35
332.092,34
342.086,34
352.079,34
362.073,34
372.068,34
382.109,34
392.104,34
402.144,33
412.092,33
422.085,33
432.081,33
442.073,33
452.067,33
462.060,33
472.054,33
482.198,32
