df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
6.056,162039,852,66644
6.061,162045,851,66658
6.066,162043,849,66659
6.071,162078,852,66659
6.076,162065,852,66662
6.081,162049,852,66652
6.086,162070,852,66662
6.091,162083,846,66673
6.096,162080,843,66669
6.101,162094,849,66659
6.106,162092,849,66670
6.111,162094,847,66672
6.116,162090,846,66663
6.121,162075,220,66701
6.126,162060,277,66689
6.131,162075,316,66683
6.136,162062,345,66690
6.141,162060,368,66666
6.146,162067,388,66669
6.151,162067,407,66669
6.156,162052,423,66675
6.161,162063,437,66666
6.166,162016,445,66664
6.171,162031,456,66659
6.176,162014,466,66657
6.181,162017,475,66671
6.186,162000,486,66664
6.191,162011,494,66663
6.196,162008,504,66656
6.200,162001,509,66669
6.205,161993,516,66668
6.210,162001,523,66663
6.215,161977,530,66671
6.220,161981,532,66664
6.225,161988,1403,66643
6.230,161992,1236,66648
6.235,161994,1163,66644
6.240,161984,1117,66652
6.245,161979,1083,66642
6.250,161963,1056,66643
6.255,161982,1033,66645
6.260,161987,1014,66644
6.265,161985,989,66664
6.270,161986,985,66649
6.275,161981,972,66642
6.280,161976,960,66643
6.285,161985,951,66647
6.290,161980,944,66650
6.295,161976,934,66647
6.300,161969,928,66650
6.305,161974,922,66648
6.310,161971,912,66650
6.315,161966,906,66656
6.320,161967,902,66655
6.325,161980,898,66655
6.330,161974,895,66659
6.335,161982,889,66636
6.340,161979,885,66653
6.345,161974,882,66657
6.350,161991,880,66652
6.354,161983,877,66648
6.359,161985,874,66655
6.364,161980,868,66651
6.369,161978,865,66651
6.374,161973,863,66641
6.379,161981,859,66655
6.384,161978,858,66648
6.389,161992,856,66650
6.394,161977,856,66646
6.399,161972,855,66644
6.404,161970,855,66652
6.409,161984,845,66650
6.414,161990,845,66654
6.419,161974,843,66655
6.424,161981,844,66655
6.429,161984,841,66649
6.434,161988,841,66648
6.439,161987,839,66659
6.444,161983,839,66659
6.449,161980,838,66655
6.454,161985,831,66654
6.459,161996,828,66653
6.464,161979,830,66657
6.469,161984,829,66646
6.474,161989,828,66649
6.479,161990,826,66650
6.484,161966,826,66659
6.489,161997,824,66646
6.494,161982,823,66651
6.499,161988,821,66655
6.503,162008,822,66659
6.508,161998,821,66654
6.513,162012,818,66654
6.518,161997,815,66652
6.523,162006,815,66666
6.528,161995,814,66654
6.533,162007,814,66659
6.538,162007,810,66664
6.543,162019,811,66668
6.548,161995,811,66658
6.553,162026,811,66664
6.558,162037,812,66644
6.563,162037,813,66661
6.568,162042,811,66663
6.573,162023,806,66670
6.578,162023,809,66673
6.583,162041,811,66669
6.588,162031,803,66671
6.593,162056,802,66670
6.598,162048,801,66676
6.603,162058,803,66661
6.608,162050,803,66669
6.613,162054,805,66655
6.618,162083,802,66678
6.623,162059,802,66677
6.628,162077,801,66687
6.633,162070,803,66688
6.638,162080,800,66690
6.643,162088,801,66687
6.648,162094,800,66683
6.652,162087,800,66707
6.657,162098,794,66691
6.662,162105,795,66689
6.667,162094,793,66695
6.672,162121,793,66690
6.677,162113,793,66689
6.682,162115,792,66703
6.687,162124,793,66704
6.692,162148,791,66707
6.697,162139,789,66706
6.702,162135,791,66705
6.707,162162,794,66703
6.712,162167,796,66709
6.717,162157,793,66709
6.722,162155,787,66716
6.727,162157,788,66712
6.732,162153,787,66721
6.737,162160,786,66717
6.742,162170,787,66715
6.747,162153,788,66717
6.752,162155,790,66785
6.757,162150,788,66704
6.762,162124,788,66705
6.767,162122,789,66704
6.772,162117,790,66705
6.777,162087,781,66696
6.782,162087,783,66710
6.787,162082,783,66703
6.792,162070,782,66711
6.797,162078,780,66703
6.801,162047,783,66710
6.806,162082,783,66715
6.811,162074,782,66714
6.816,162067,781,66719
6.821,162072,781,66727
6.826,162057,782,66722
6.831,162065,782,66729
6.836,162061,781,66725
6.841,162071,780,66729
6.846,162054,780,66735
6.851,162070,777,66735
6.856,162058,775,66727
6.861,162045,775,66726
6.866,162046,775,66723
6.871,162034,775,66722
6.876,162018,775,66725
6.881,162036,775,66728
6.886,162040,776,66742
6.891,162046,777,66735
6.896,162040,775,66733
6.901,162019,799,66734
6.906,162039,778,66734
6.911,162030,772,66751
6.916,162035,771,66748
6.921,162029,771,66751
6.926,162036,771,66736
6.931,162026,771,66741
6.936,162022,771,66742
6.941,162037,772,66743
6.946,162037,772,66747
6.951,162024,768,66735
6.955,162035,768,66741
6.960,162033,768,66742
6.965,162032,769,66730
6.970,162035,769,66731
6.975,162013,767,66737
6.980,162027,768,66727
6.985,162032,771,66731
6.990,162041,769,66726
6.995,162032,769,66770
7.000,162026,771,66735
7.005,162036,765,66729
7.010,162017,765,66736
7.015,162024,765,66720
7.020,162022,764,66727
7.025,162027,766,66729
7.030,162022,766,66710
7.035,162029,765,66723
7.040,162020,765,66729
7.045,161989,764,66724
7.050,162019,763,66732
7.055,162012,762,66736
7.060,162002,762,66729
7.065,162009,763,66729
7.070,162005,763,66729
7.075,162009,762,66731
7.080,162015,762,66728
7.085,162004,762,66732
7.090,162014,762,66731
7.095,162019,765,66730
7.100,162017,763,66733
7.104,162029,765,66728
7.109,162024,759,66726
7.114,162033,760,66736
7.119,162012,181,66771
7.124,162023,230,66759
7.129,162032,264,66755
7.134,162014,291,66749
7.139,162020,314,66746
7.144,162028,328,66754
7.149,162041,347,66756
7.154,162013,359,66748
7.159,162016,372,66739
7.164,162034,385,66745
7.169,162027,398,66754
7.174,162023,405,66750
7.179,162036,415,66742
7.184,162044,425,66748
7.189,162045,429,66754
7.194,162036,439,66746
7.199,162047,449,66741
7.204,162060,456,66754
7.209,162058,463,66753
7.214,162067,470,66745
7.219,162058,487,66749
7.224,162086,483,67082
7.229,162079,1186,66726
7.234,162075,1100,66741
7.239,162078,1049,66741
7.244,162083,1017,66730
7.249,162087,988,66728
7.253,162091,965,66738
7.258,162097,947,66736
7.263,162099,932,66738
7.268,162094,917,66744
7.273,162101,907,66745
7.278,162099,895,66741
7.283,162098,882,66749
7.288,162104,867,66742
7.293,162088,867,66746
7.298,162075,860,66742
7.303,162093,855,66738
7.308,162068,848,66716
7.313,162054,844,66737
7.318,162046,837,66733
7.323,162038,834,66734
7.328,162036,830,66734
7.333,162009,827,66725
7.338,161983,817,66736
7.343,161991,814,66737
