df_hash,22ZHK4.QMMKCW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W7UH
person_label,V68
date_time_start,2025-10-31_17-48-12.872000_+03
date_time_start_unix,1761918492.872
date_time_end,2025-10-31_17-56-29.553000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.982,208,72,2
6.440,282,74,3
6.712,354,72,4
7.103,428,74,5
7.395,502,74,6
7.834,574,72,7
8.224,648,74,8
8.516,721,73,9
8.906,794,73,10
9.199,868,74,11
9.589,940,72,12
10.028,1014,74,13
10.318,1088,74,14
10.710,1160,72,15
11.149,1234,74,16
11.490,1308,74,17
11.832,1380,72,18
12.075,1454,74,19
12.515,1527,73,20
12.964,1600,73,21
13.300,1674,74,22
13.638,1746,72,23
13.928,1820,74,24
14.415,1894,74,25
14.805,1966,72,26
15.098,2040,74,27
15.440,2114,74,28
15.731,2184,70,29
16.124,2258,74,30
16.561,2331,73,31
16.931,2404,73,32
17.243,2478,74,33
17.681,2550,72,34
17.925,2624,74,35
18.388,2698,74,36
18.705,2770,72,37
19.095,2844,74,38
19.729,2918,74,39
19.752,2990,72,40
20.168,3064,74,41
20.655,3137,73,42
20.957,3208,71,43
21.413,3282,74,44
21.630,3354,72,45
21.971,3428,74,46
22.410,3502,74,47
22.760,3574,72,48
23.140,3648,74,49
23.483,3722,74,50
24.215,3794,72,51
24.455,3868,74,52
24.893,3941,73,53
25.140,4013,72,54
25.238,4087,74,55
25.579,4159,72,56
26.019,4233,74,57
26.310,4307,74,58
26.701,4379,72,59
27.143,4453,74,60
27.386,4527,74,61
27.871,4599,72,62
28.174,4673,74,63
28.505,4746,73,64
28.993,4819,73,65
29.312,4893,74,66
29.674,4965,72,67
30.015,5039,74,68
30.308,5113,74,69
30.746,5185,72,70
31.093,5259,74,71
31.475,5333,74,72
32.011,5403,70,73
32.165,5477,74,74
32.648,5550,73,75
32.843,5623,73,76
33.282,5697,74,77
33.671,5769,72,78
33.915,5843,74,79
34.355,5917,74,80
34.647,5989,72,81
35.036,6063,74,82
35.475,6137,74,83
35.914,6208,71,84
36.206,6282,74,85
36.450,6355,73,86
36.889,6428,73,87
37.376,6502,74,88
37.571,6574,72,89
38.064,6648,74,90
38.405,6722,74,91
38.956,6794,72,92
39.093,6868,74,93
39.424,6942,74,94
