df_hash,22ZHK4.QMMKCW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W7UH
person_label,V68
date_time_start,2025-10-31_17-48-12.872000_+03
date_time_start_unix,1761918492.872
date_time_end,2025-10-31_17-56-29.553000_+03
length_difference_noticed,no

time,ppg_quality
57.897,90
59.917,106
61.937,120
63.957,125
65.977,118
66.987,115
68.997,114
71.017,117
73.037,115
75.057,114
78.087,117
79.097,120
80.107,124
82.127,129
83.137,126
84.147,108
86.167,98
88.187,104
90.207,91
92.227,81
93.237,85
95.257,107
96.267,111
97.277,107
99.297,111
101.307,118
103.327,116
105.347,115
106.357,115
108.377,117
110.397,115
111.407,116
113.427,119
114.437,120
115.447,121
116.457,122
117.467,121
119.487,122
120.497,124
121.507,124
123.527,121
125.547,120
127.567,125
128.577,123
130.597,120
132.617,124
134.627,134
135.637,137
136.647,132
137.657,129
138.667,127
140.687,127
141.697,125
143.717,121
145.737,115
146.747,120
147.757,122
149.777,123
151.797,124
153.817,132
154.827,132
155.837,129
156.847,120
157.857,112
158.867,108
159.877,106
160.887,102
162.907,97
164.927,87
165.937,90
167.957,100
168.967,103
169.977,102
171.997,108
174.017,112
175.027,115
177.047,108
178.057,104
181.087,109
183.107,110
185.127,108
187.147,112
189.167,117
191.187,117
194.217,120
195.227,116
196.237,115
198.257,115
200.277,118
202.297,97
203.307,85
205.327,63
207.347,59
208.357,60
209.367,59
211.387,66
213.407,89
215.427,109
218.457,117
220.477,116
222.497,116
224.517,120
226.537,123
228.557,119
230.577,126
231.587,123
233.607,116
235.627,101
236.637,97
237.647,100
238.657,79
239.667,70
240.677,54
241.687,58
242.697,45
244.717,30
245.727,30
246.737,25
248.757,32
249.767,32
251.787,21
252.797,30
253.807,38
254.817,44
255.827,48
257.847,44
259.867,58
260.877,53
261.887,37
262.897,37
263.907,39
265.927,40
266.937,39
268.957,37
270.977,80
272.997,93
275.017,73
277.037,64
278.047,70
280.067,62
281.077,51
282.087,42
284.107,69
286.127,69
288.147,83
289.157,87
291.177,77
293.197,64
295.217,55
297.237,56
299.257,50
301.277,60
302.287,72
303.297,78
304.307,82
306.327,87
308.347,89
310.367,88
312.387,85
313.397,87
315.417,85
317.437,80
319.457,73
320.467,68
321.477,63
322.487,56
323.497,52
324.507,43
325.517,42
326.527,38
328.547,26
330.567,36
332.587,44
334.607,37
335.617,36
336.627,34
337.637,38
338.647,50
339.657,50
341.677,29
343.697,24
345.717,52
346.727,63
348.747,68
350.767,79
352.787,82
353.797,71
355.817,62
356.827,62
357.837,59
359.857,44
361.877,26
362.887,30
363.897,43
364.907,37
366.927,27
367.937,34
368.947,44
370.967,61
372.987,81
375.007,88
377.027,92
378.037,92
379.047,93
380.057,96
382.077,90
384.097,76
386.117,62
388.137,49
390.157,27
391.167,7
392.177,2
393.187,2
394.197,6
395.207,13
397.227,18
399.247,2
401.267,33
403.287,52
404.297,57
406.317,69
408.337,94
410.357,108
411.367,101
413.387,97
414.397,57
417.427,28
419.447,35
421.467,38
423.487,40
424.497,72
425.507,73
427.527,78
428.537,65
430.557,36
432.577,30
434.597,8
436.617,2
439.647,2
441.667,17
442.677,27
443.687,33
445.707,62
447.727,53
448.737,54
450.757,62
451.767,67
452.777,72
454.797,79
455.807,79
456.817,92
458.837,103
460.857,109
461.867,107
462.877,102
464.897,89
465.907,88
467.927,95
468.937,96
469.947,94
470.957,95
471.967,101
472.977,112
473.987,122
474.997,128
477.017,132
479.037,131
481.057,122
483.077,104
484.087,96
485.097,88
487.117,62
488.127,50
490.147,41
492.167,52
