df_hash,22ZHK4.DL526H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VAEV
person_label,V69
date_time_start,2025-11-03_11-46-34.998000_+03
date_time_start_unix,1762155994.998
date_time_end,2025-11-03_11-55-22.325000_+03
length_difference_noticed,no

time,battery
9.405,44
19.398,43
29.393,43
39.502,43
49.428,43
59.374,42
69.416,42
79.410,42
89.424,42
99.398,42
109.440,42
119.483,41
129.405,41
139.373,41
149.384,41
159.506,41
169.402,40
179.445,40
189.390,40
199.487,40
209.475,40
219.387,40
229.414,40
239.359,39
249.353,39
259.346,39
269.391,39
279.387,39
289.378,39
299.370,39
309.364,38
319.380,38
329.351,38
339.345,38
349.353,38
359.381,38
369.375,38
379.369,38
389.362,37
399.356,37
409.358,37
419.344,37
429.440,37
439.331,37
449.374,37
459.442,37
469.361,37
479.357,37
489.351,36
499.342,36
509.336,36
519.330,36
