df_hash,22ZHK4.DL526H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VAEV
person_label,V69
date_time_start,2025-11-03_11-46-34.998000_+03
date_time_start_unix,1762155994.998
date_time_end,2025-11-03_11-55-22.325000_+03
length_difference_noticed,no

time,ppg_quality
57.533,30
60.563,19
62.583,17
64.603,30
66.623,39
67.633,51
68.633,62
69.643,70
71.663,83
73.683,78
75.703,79
77.723,71
79.743,66
82.773,67
85.803,60
86.813,63
88.833,65
89.843,59
90.853,53
91.863,48
92.873,42
93.883,33
95.903,35
97.923,36
99.943,41
101.963,54
102.973,62
104.993,64
107.013,52
109.033,67
111.053,76
112.063,66
113.073,57
116.103,59
118.123,45
120.143,29
122.163,31
124.183,37
125.193,34
126.203,36
127.213,30
129.233,9
131.253,19
133.273,36
135.293,42
137.313,55
138.323,67
140.343,69
141.353,64
142.363,62
144.383,64
146.403,58
148.423,57
149.433,58
151.453,60
153.473,53
155.493,47
157.513,48
158.523,49
159.533,48
160.543,44
162.563,38
164.583,35
166.603,28
168.623,37
170.643,50
171.653,58
172.663,62
173.673,64
175.693,83
177.713,83
179.733,68
180.743,67
181.753,65
182.763,70
184.783,73
185.793,66
186.803,64
188.823,75
190.843,82
191.853,79
192.863,75
193.873,73
195.893,89
197.913,97
199.933,95
201.953,87
202.963,93
203.973,91
204.983,82
207.003,66
209.023,66
211.043,75
213.063,67
215.083,78
216.093,88
218.113,91
219.123,85
220.133,79
221.143,78
222.153,77
224.173,81
226.193,68
229.223,88
231.243,97
232.253,104
233.263,106
235.283,105
236.293,103
237.303,96
238.313,89
240.333,84
242.353,61
244.373,59
246.393,55
248.413,51
251.443,46
253.463,65
255.483,73
257.503,83
259.523,62
260.533,51
262.553,61
263.563,53
264.573,50
265.583,49
266.593,47
268.613,65
270.633,88
273.663,93
275.683,103
276.693,109
277.703,101
279.723,77
280.733,69
281.743,64
282.753,58
284.773,46
286.793,28
287.803,26
288.813,29
290.833,46
292.853,56
294.873,57
295.883,58
297.903,62
298.913,70
299.923,77
301.943,69
303.963,61
306.993,56
309.013,58
311.033,60
313.053,77
315.073,75
317.093,58
318.103,54
320.123,52
322.143,46
324.163,46
326.183,66
329.213,63
330.223,61
331.233,63
333.253,67
334.263,72
335.273,78
336.283,80
337.293,75
340.323,48
341.333,40
342.343,37
344.363,34
346.383,25
347.393,30
349.413,60
351.433,59
353.453,54
355.473,51
356.483,53
357.493,58
358.503,57
359.513,59
361.533,81
362.543,90
364.563,89
366.583,88
368.603,89
370.623,87
371.633,82
372.643,81
373.653,79
375.673,75
377.693,68
379.713,62
380.723,57
381.733,58
382.743,58
383.753,48
384.763,38
386.773,35
388.793,27
389.803,25
390.813,26
391.823,24
392.833,21
394.853,80
395.863,98
396.873,106
397.883,106
398.893,113
399.903,112
401.923,107
403.943,83
404.953,63
406.973,36
408.993,42
411.013,49
413.033,47
414.043,48
415.053,53
417.073,64
418.083,58
419.093,52
420.103,49
422.123,79
424.143,81
426.163,63
428.183,71
429.193,77
431.213,70
433.233,52
434.243,39
435.253,38
437.273,39
438.283,32
439.293,31
440.303,27
442.323,28
444.343,51
446.363,58
448.383,66
450.403,78
453.433,59
455.453,62
457.473,72
459.493,54
461.513,61
463.533,84
464.543,84
466.563,90
467.573,90
468.583,94
469.593,88
470.603,77
472.623,49
473.633,39
474.643,35
475.653,32
477.673,19
478.683,24
479.693,30
481.713,39
482.723,47
484.743,53
486.763,65
488.783,66
490.803,58
492.823,61
493.833,68
494.843,74
496.863,74
497.873,72
499.893,90
501.913,97
502.923,92
503.933,85
505.953,76
507.973,62
508.983,49
511.003,34
513.023,51
515.043,46
517.063,40
518.073,41
519.083,46
520.093,52
522.113,35
524.133,52
