df_hash,22ZHK4.DL526H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VAEV
person_label,V69
date_time_start,2025-11-03_11-46-34.998000_+03
date_time_start_unix,1762155994.998
date_time_end,2025-11-03_11-55-22.325000_+03
length_difference_noticed,no

time,rr_int
10.868,4210
11.305,2165
11.553,360
12.378,370
13.256,810
13.259,870
14.084,10
14.087,790
14.767,10
15.752,680
16.132,975
16.180,410
16.229,15
16.232,10
16.281,15
16.571,15
17.110,340
17.399,610
17.936,280
18.910,540
18.913,975
19.497,10
20.519,595
21.154,1000
22.323,580
22.327,1115
22.374,15
22.383,15
22.386,15
22.445,190
23.496,260
24.225,835
24.725,765
25.053,305
25.151,450
25.205,200
26.272,575
26.571,480
26.717,320
26.727,10
26.766,120
27.740,620
28.076,335
28.417,420
28.807,350
29.051,390
29.646,275
30.319,495
31.147,800
31.198,800
31.343,150
31.976,635
32.123,10
32.661,190
32.951,495
33.493,340
33.536,495
33.928,145
34.365,550
34.950,265
35.632,545
35.876,640
36.412,310
37.143,470
37.484,785
38.007,265
38.362,500
38.654,485
39.389,270
39.630,660
39.776,385
40.020,10
40.902,375
40.948,840
41.434,10
41.824,490
42.409,470
43.920,515
44.606,1510
44.894,810
44.899,200
44.943,15
44.946,10
44.949,10
45.059,160
45.870,275
46.311,470
46.698,325
46.847,645
47.042,10
47.046,125
47.819,770
48.356,190
49.185,535
49.331,780
49.916,245
50.454,505
50.601,700
51.578,800
51.720,305
52.841,460
53.669,720
53.767,750
54.356,230
55.182,530
55.187,845
55.191,10
55.327,145
56.205,535
56.643,260
56.839,455
57.329,295
58.501,440
58.807,1030
59.617,480
59.909,770
60.056,270
60.299,445
61.275,775
61.860,250
62.582,535
63.224,710
64.054,760
64.346,795
64.931,205
65.618,570
66.345,735
66.686,770
66.694,300
66.833,15
66.836,215
68.392,970
68.395,550
68.639,245
70.050,725
70.342,735
70.879,230
71.561,515
72.292,795
72.977,720
73.804,685
74.557,775
75.237,735
75.900,730
76.585,725
76.826,750
77.947,790
78.386,445
79.605,505
79.897,1200
79.909,260
80.044,245
80.336,205
80.340,10
81.165,795
81.168,10
81.214,35
81.217,20
81.220,15
81.316,10
81.506,15
81.847,20
82.530,565
82.676,700
82.822,200
82.825,150
83.212,10
83.943,365
84.637,735
84.918,735
85.308,205
85.991,485
86.722,645
87.405,700
87.558,725
87.600,190
87.697,10
87.701,20
88.088,15
88.819,425
89.357,790
89.361,270
89.501,15
90.332,430
91.012,735
91.018,740
91.158,10
91.164,195
92.426,545
92.670,630
93.255,295
93.938,540
94.766,790
95.451,740
95.898,805
96.277,375
96.863,305
97.691,620
98.132,830
98.135,260
98.374,15
99.251,485
99.348,765
99.361,160
99.885,10
100.330,520
100.619,525
101.445,265
101.999,795
102.278,515
102.424,275
102.665,235
102.715,275
102.810,10
102.956,235
104.468,735
105.199,780
105.443,785
105.881,220
105.885,475
106.732,10
107.393,780
108.221,715
108.952,770
109.635,770
109.927,735
110.475,210
111.244,565
111.439,740
111.881,215
112.707,525
113.389,750
113.535,725
113.538,195
113.542,10
113.681,15
113.684,15
114.071,10
114.754,465
115.051,680
115.211,250
115.487,260
116.314,260
117.291,760
117.825,720
117.977,790
118.510,250
119.099,490
119.306,305
120.068,460
120.311,785
120.314,250
120.360,15
120.457,195
121.595,285
122.262,820
122.407,665
122.996,200
123.677,505
123.968,775
124.508,255
124.894,505
125.332,450
125.869,375
126.161,600
126.600,265
126.746,470
126.749,140
126.754,10
127.139,15
127.283,10
128.114,525
128.794,755
129.525,720
130.208,770
131.037,715
131.182,730
131.580,260
132.402,420
132.550,785
132.693,190
132.697,15
133.425,495
134.000,335
134.186,450
134.650,240
135.327,475
136.058,755
136.740,730
137.133,695
137.422,330
138.300,365
138.934,735
139.666,715
139.933,745
140.396,225
141.030,495
141.859,730
142.541,760
143.272,710
143.529,715
143.955,215
144.102,545
144.248,250
145.466,515
145.763,750
145.859,200
146.199,10
146.978,495
147.173,735
147.708,245
148.393,545
149.098,735
149.805,710
150.634,695
150.932,745
151.024,355
151.027,10
151.365,20
151.609,300
151.999,380
152.685,360
153.462,760
154.242,690
154.924,760
155.607,710
155.801,725
156.438,200
157.020,515
157.849,710
158.702,780
158.824,810
159.214,140
160.043,545
160.922,720
161.017,750
161.020,345
161.458,10
162.139,355
162.968,760
163.113,730
163.117,230
163.699,10
164.381,490
164.527,710
164.530,195
165.210,565
165.213,150
165.356,10
165.365,30
165.748,15
166.477,470
167.162,735
167.989,710
168.676,730
169.549,770
170.914,760
171.596,1440
172.425,765
173.118,740
173.839,735
173.936,705
173.939,190
174.668,10
175.496,605
175.740,675
176.081,430
176.325,305
176.763,255
177.495,445
178.128,715
178.811,700
179.104,730
179.691,240
179.932,495
179.936,380
180.327,10
181.053,350
181.310,775
181.785,215
182.029,515
182.600,220
182.741,500
183.248,255
183.978,510
184.667,725
185.051,710
185.494,415
186.172,350
186.855,725
187.734,745
187.750,800
187.833,75
188.464,15
189.098,580
189.783,735
190.511,745
190.755,715
191.198,205
191.340,505
191.461,190
191.465,10
192.706,450
193.388,835
193.391,710
193.680,10
194.365,300
194.947,440
195.093,710
195.630,260
196.313,490
196.629,680
196.995,245
197.728,485
198.409,740
198.555,720
198.559,135
