df_hash,22ZHK4.DWJ61Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SM8F
person_label,V70(5)
date_time_start,2025-11-03_12-30-35.585000_+03
date_time_start_unix,1762158635.585
date_time_end,2025-11-03_12-39-21.924000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.261,75,75,0
5.943,150,75,1
6.772,225,75,2
7.358,300,75,3
8.234,375,75,4
8.868,450,75,5
9.746,525,75,6
10.331,600,75,7
11.257,675,75,8
11.842,750,75,9
12.769,825,75,10
13.304,900,75,11
14.230,975,75,12
14.822,1050,75,13
15.693,1125,75,14
16.278,1200,75,15
17.231,1275,75,16
17.789,1350,75,17
18.667,1425,75,18
19.256,1500,75,19
20.227,1575,75,20
20.763,1650,75,21
21.664,1725,75,22
22.274,1800,75,23
23.444,1875,75,24
23.737,1950,75,25
24.614,2025,75,26
25.489,2100,75,27
26.126,2175,75,28
26.716,2250,75,29
27.637,2325,75,30
28.222,2400,75,31
29.197,2475,75,32
29.708,2550,75,33
30.611,2625,75,34
31.196,2700,75,35
32.073,2775,75,36
32.658,2850,75,37
33.584,2925,75,38
34.169,3000,75,39
35.047,3075,75,40
35.681,3150,75,41
36.607,3225,75,42
37.143,3300,75,43
38.071,3375,75,44
38.780,3450,75,45
39.532,3525,75,46
40.128,3600,75,47
41.092,3675,75,48
41.678,3750,75,49
42.554,3825,75,50
43.142,3900,75,51
44.306,3975,75,52
44.748,4050,75,53
45.479,4125,75,54
46.064,4200,75,55
47.040,4275,75,56
47.576,4350,75,57
48.504,4425,75,58
49.087,4500,75,59
49.964,4575,75,60
50.549,4650,75,61
51.476,4725,75,62
52.061,4800,75,63
52.938,4875,75,64
53.523,4950,75,65
54.449,5025,75,66
55.083,5100,75,67
55.915,5175,75,68
56.602,5250,75,69
57.423,5325,75,70
58.008,5400,75,71
58.886,5475,75,72
59.471,5550,75,73
60.429,5625,75,74
60.982,5700,75,75
61.859,5775,75,76
62.444,5850,75,77
63.371,5925,75,78
63.956,6000,75,79
64.837,6075,75,80
65.418,6150,75,81
66.344,6225,75,82
66.930,6300,75,83
67.807,6375,75,84
68.413,6450,75,85
69.328,6525,75,86
69.903,6600,75,87
70.781,6675,75,88
71.415,6750,75,89
72.295,6825,75,90
72.877,6900,75,91
73.832,6975,75,92
74.388,7050,75,93
75.430,7125,75,94
75.854,7200,75,95
76.728,7275,75,96
77.362,7350,75,97
78.239,7425,75,98
78.824,7500,75,99
79.994,7575,75,100
80.336,7650,75,101
81.217,7725,75,102
81.818,7800,75,103
82.773,7875,75,104
83.309,7950,75,105
84.284,8025,75,106
84.772,8100,75,107
85.786,8175,75,108
86.303,8250,75,109
87.209,8325,75,110
87.833,8400,75,111
88.735,8475,75,112
89.297,8550,75,113
90.135,8625,75,114
90.770,8700,75,115
91.646,8775,75,116
92.279,8850,75,117
93.108,8925,75,118
93.742,9000,75,119
94.622,9075,75,120
95.204,9150,75,121
96.157,9225,75,122
96.721,9300,75,123
97.596,9375,75,124
98.179,9450,75,125
99.104,9525,75,126
99.693,9600,75,127
100.652,9675,75,128
101.152,9750,75,129
102.083,9825,75,130
102.666,9900,75,131
103.589,9975,75,132
104.126,10050,75,133
105.052,10125,75,134
105.637,10200,75,135
106.515,10275,75,136
107.115,10350,75,137
108.026,10425,75,138
108.632,10500,75,139
109.488,10575,75,140
110.123,10650,75,141
111.000,10725,75,142
