df_hash,22ZHK4.QBUHEK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BF8U
person_label,V71
date_time_start,2025-11-03_12-44-51.526000_+03
date_time_start_unix,1762159491.526
date_time_end,2025-11-03_12-53-37.615000_+03
length_difference_noticed,no

time,ppg_quality
57.687,31
59.707,36
60.717,39
62.737,2
64.757,13
66.777,41
68.787,41
70.807,22
71.817,10
73.837,50
75.857,33
77.877,34
78.887,46
79.897,55
80.907,54
81.917,65
82.927,64
84.947,59
86.967,81
88.987,83
91.007,78
92.017,74
93.027,76
96.057,64
98.077,46
99.087,33
100.097,27
102.117,23
103.127,30
104.137,27
105.147,21
106.157,27
107.167,29
109.187,24
111.207,27
113.227,18
115.247,30
116.257,39
117.267,44
120.297,77
122.317,83
123.327,77
125.347,70
126.357,62
128.377,50
129.387,53
130.397,54
131.407,53
133.427,56
135.447,59
137.467,68
139.487,92
140.497,94
142.517,73
143.527,65
145.547,65
146.557,57
148.577,22
153.627,19
155.647,25
157.667,48
159.687,70
160.697,86
161.707,90
164.737,75
166.757,67
168.777,61
169.787,57
170.797,55
172.817,45
173.827,46
174.837,47
175.847,60
177.867,62
179.887,52
182.917,41
183.927,39
184.937,29
186.957,13
188.977,8
190.997,23
193.017,20
195.037,26
196.047,38
198.067,55
200.087,59
202.107,62
204.127,79
206.147,50
207.157,38
209.177,28
211.197,34
213.217,35
215.237,33
217.257,41
220.287,40
222.307,37
224.327,35
225.337,36
226.347,35
228.367,24
231.397,19
232.407,23
233.417,20
235.437,2
237.457,29
238.467,47
240.487,60
242.507,42
244.527,52
246.547,63
247.557,43
248.567,41
250.587,44
251.597,38
252.607,49
253.617,59
255.637,58
256.647,55
257.657,75
259.677,65
261.697,73
263.717,50
266.747,22
270.787,14
271.797,18
272.807,22
273.817,36
274.827,50
275.837,58
277.857,83
279.877,113
280.887,96
281.897,89
282.907,81
283.917,84
284.927,86
285.937,83
286.947,78
288.967,48
290.987,34
291.997,36
294.017,34
296.037,25
298.057,17
300.077,27
302.097,26
304.117,34
305.127,31
306.137,24
307.147,19
309.167,33
311.187,34
313.207,24
315.227,26
317.247,43
318.257,37
320.277,39
322.297,46
324.317,54
325.327,59
327.347,60
328.357,63
329.367,65
331.387,65
333.407,82
335.427,66
336.437,75
338.457,77
339.467,74
340.477,65
342.497,41
344.517,36
346.537,22
348.557,37
349.567,35
350.577,43
351.587,53
353.607,57
355.627,70
357.647,49
359.667,51
361.687,57
362.697,54
363.707,55
364.717,55
365.727,47
366.737,53
367.747,39
368.757,41
370.777,43
371.787,43
373.807,30
375.827,40
377.847,45
379.867,38
381.887,46
383.907,72
386.927,72
387.937,77
388.947,82
390.967,84
391.977,72
392.987,70
395.007,72
397.027,71
398.037,66
400.057,37
402.077,46
403.087,44
404.097,44
406.117,44
408.137,26
409.147,31
411.167,41
413.187,36
415.207,43
417.227,59
418.237,74
419.247,81
420.257,84
422.277,62
424.297,40
425.307,39
426.317,49
428.337,43
430.357,29
432.377,43
433.387,50
434.397,57
435.407,52
437.427,18
439.447,34
440.457,31
442.477,15
443.487,21
444.497,27
445.507,29
446.517,33
447.527,40
448.537,40
450.557,29
451.567,31
452.577,38
453.587,44
455.607,45
457.627,43
459.647,41
461.667,70
463.687,52
464.697,48
466.717,47
467.727,49
468.737,51
469.747,52
470.757,40
472.777,42
473.787,63
474.797,60
476.817,58
477.827,49
479.847,41
480.857,35
481.867,33
482.877,18
483.887,3
486.917,33
488.937,32
490.957,36
492.977,33
493.987,35
494.997,28
496.007,26
497.017,23
498.027,32
500.047,38
502.067,60
503.077,61
504.087,65
506.107,49
507.117,49
508.127,52
509.137,57
511.157,58
513.177,55
514.187,66
515.197,80
516.207,92
517.217,92
519.237,63
521.257,62
