df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.606,75,75,0
6.240,150,75,1
7.117,225,75,2
7.703,300,75,3
8.580,375,75,4
9.214,450,75,5
10.091,525,75,6
10.676,600,75,7
11.554,675,75,8
12.189,750,75,9
13.088,825,75,10
13.699,900,75,11
14.576,975,75,12
15.162,1050,75,13
16.039,1125,75,14
16.624,1200,75,15
17.840,1275,75,16
18.135,1350,75,17
19.013,1425,75,18
19.607,1500,75,19
20.524,1575,75,20
21.109,1650,75,21
22.006,1725,75,22
22.620,1800,75,23
23.524,1875,75,24
24.083,1950,75,25
24.960,2025,75,26
25.612,2100,75,27
26.471,2175,75,28
27.056,2250,75,29
27.983,2325,75,30
28.568,2400,75,31
29.449,2475,75,32
30.369,2550,75,33
30.956,2625,75,34
31.542,2700,75,35
32.419,2775,75,36
33.022,2850,75,37
33.971,2925,75,38
34.515,3000,75,39
35.393,3075,75,40
36.030,3150,75,41
36.904,3225,75,42
37.489,3300,75,43
38.367,3375,75,44
39.000,3450,75,45
39.877,3525,75,46
40.462,3600,75,47
41.389,3675,75,48
41.974,3750,75,49
42.851,3825,75,50
43.436,3900,75,51
44.385,3975,75,52
44.947,4050,75,53
45.825,4125,75,54
46.459,4200,75,55
47.339,4275,75,56
47.921,4350,75,57
48.872,4425,75,58
49.432,4500,75,59
50.310,4575,75,60
50.895,4650,75,61
51.791,4725,75,62
52.406,4800,75,63
53.284,4875,75,64
53.870,4950,75,65
54.795,5025,75,66
55.478,5100,75,67
56.260,5175,75,68
56.897,5250,75,69
57.769,5325,75,70
58.357,5400,75,71
59.231,5475,75,72
60.235,5550,75,73
60.747,5625,75,74
61.571,5700,75,75
62.209,5775,75,76
62.790,5850,75,77
63.731,5925,75,78
64.322,6000,75,79
65.204,6075,75,80
65.812,6150,75,81
66.699,6225,75,82
67.275,6300,75,83
68.153,6375,75,84
68.786,6450,75,85
69.689,6525,75,86
70.249,6600,75,87
71.175,6675,75,88
71.760,6750,75,89
72.638,6825,75,90
73.222,6900,75,91
74.149,6975,75,92
74.734,7050,75,93
75.649,7125,75,94
76.196,7200,75,95
77.123,7275,75,96
77.732,7350,75,97
78.589,7425,75,98
79.276,7500,75,99
80.096,7575,75,100
80.696,7650,75,101
81.558,7725,75,102
82.193,7800,75,103
83.070,7875,75,104
83.664,7950,75,105
84.534,8025,75,106
85.166,8100,75,107
86.093,8175,75,108
86.649,8250,75,109
87.555,8325,75,110
88.211,8400,75,111
89.026,8475,75,112
89.602,8550,75,113
90.535,8625,75,114
91.134,8700,75,115
91.991,8775,75,116
92.576,8850,75,117
93.502,8925,75,118
94.088,9000,75,119
94.965,9075,75,120
95.558,9150,75,121
96.552,9225,75,122
97.110,9300,75,123
97.939,9375,75,124
98.576,9450,75,125
99.450,9525,75,126
100.035,9600,75,127
101.207,9675,75,128
101.497,9750,75,129
102.424,9825,75,130
103.070,9900,75,131
103.984,9975,75,132
104.520,10050,75,133
105.638,10125,75,134
106.009,10200,75,135
106.909,10275,75,136
107.494,10350,75,137
108.374,10425,75,138
108.978,10500,75,139
109.834,10575,75,140
110.468,10650,75,141
111.345,10725,75,142
111.954,10800,75,143
112.808,10875,75,144
113.441,10950,75,145
114.319,11025,75,146
114.952,11100,75,147
115.830,11175,75,148
116.415,11250,75,149
117.318,11325,75,150
117.923,11400,75,151
118.804,11475,75,152
119.389,11550,75,153
120.286,11625,75,154
120.851,11700,75,155
121.778,11775,75,156
122.411,11850,75,157
123.240,11925,75,158
123.825,12000,75,159
124.751,12075,75,160
125.385,12150,75,161
126.235,12225,75,162
126.799,12300,75,163
127.746,12375,75,164
128.359,12450,75,165
129.187,12525,75,166
129.822,12600,75,167
130.699,12675,75,168
131.340,12750,75,169
132.169,12825,75,170
132.801,12900,75,171
133.673,12975,75,172
134.355,13050,75,173
135.135,13125,75,174
135.769,13200,75,175
136.890,13275,75,176
137.231,13350,75,177
138.158,13425,75,178
138.767,13500,75,179
139.621,13575,75,180
140.228,13650,75,181
141.131,13725,75,182
141.716,13800,75,183
142.594,13875,75,184
143.179,13950,75,185
144.105,14025,75,186
144.931,14100,75,187
145.591,14175,75,188
146.201,14250,75,189
147.082,14325,75,190
147.664,14400,75,191
148.685,14475,75,192
149.176,14550,75,193
150.052,14625,75,194
150.637,14700,75,195
151.564,14775,75,196
152.149,14850,75,197
153.046,14925,75,198
153.614,15000,75,199
154.538,15075,75,200
155.187,15150,75,201
156.049,15225,75,202
156.647,15300,75,203
157.511,15375,75,204
158.096,15450,75,205
158.974,15525,75,206
159.563,15600,75,207
160.526,15675,75,208
161.091,15750,75,209
161.950,15825,75,210
162.533,15900,75,211
163.459,15975,75,212
164.092,16050,75,213
165.067,16125,75,214
165.528,16200,75,215
166.433,16275,75,216
167.020,16350,75,217
168.010,16425,75,218
168.531,16500,75,219
169.406,16575,75,220
170.037,16650,75,221
170.869,16725,75,222
171.552,16800,75,223
172.384,16875,75,224
172.965,16950,75,225
173.850,17025,75,226
174.504,17100,75,227
175.360,17175,75,228
175.988,17250,75,229
176.817,17325,75,230
177.452,17400,75,231
178.327,17475,75,232
178.913,17550,75,233
179.887,17625,75,234
180.425,17700,75,235
181.301,17775,75,236
181.984,17850,75,237
182.813,17925,75,238
183.398,18000,75,239
184.402,18075,75,240
184.917,18150,75,241
185.786,18225,75,242
186.420,18300,75,243
187.296,18375,75,244
187.841,18450,75,245
188.760,18525,75,246
189.442,18600,75,247
190.223,18675,75,248
190.856,18750,75,249
191.734,18825,75,250
192.342,18900,75,251
193.196,18975,75,252
193.830,19050,75,253
194.708,19125,75,254
195.293,19200,75,255
196.170,19275,75,256
196.806,19350,75,257
197.738,19425,75,258
198.318,19500,75,259
199.144,19575,75,260
199.778,19650,75,261
200.945,19725,75,262
201.240,19800,75,263
202.166,19875,75,264
202.755,19950,75,265
203.629,20025,75,266
204.246,20100,75,267
205.140,20175,75,268
205.774,20250,75,269
206.603,20325,75,270
207.244,20400,75,271
208.163,20475,75,272
208.727,20550,75,273
209.576,20625,75,274
210.162,20700,75,275
211.088,20775,75,276
211.679,20850,75,277
212.550,20925,75,278
213.167,21000,75,279
214.061,21075,75,280
214.700,21150,75,281
215.573,21225,75,282
216.158,21300,75,283
217.037,21375,75,284
217.647,21450,75,285
218.502,21525,75,286
219.180,21600,75,287
220.009,21675,75,288
220.594,21750,75,289
221.525,21825,75,290
222.107,21900,75,291
222.982,21975,75,292
223.567,22050,75,293
224.445,22125,75,294
225.079,22200,75,295
225.956,22275,75,296
226.541,22350,75,297
227.565,22425,75,298
228.061,22500,75,299
228.930,22575,75,300
229.515,22650,75,301
230.441,22725,75,302
231.026,22800,75,303
231.927,22875,75,304
232.489,22950,75,305
233.418,23025,75,306
234.002,23100,75,307
234.878,23175,75,308
235.463,23250,75,309
236.389,23325,75,310
236.979,23400,75,311
237.851,23475,75,312
238.458,23550,75,313
239.362,23625,75,314
239.996,23700,75,315
240.825,23775,75,316
241.459,23850,75,317
242.337,23925,75,318
242.922,24000,75,319
243.833,24075,75,320
244.677,24150,75,321
245.313,24225,75,322
245.895,24300,75,323
246.821,24375,75,324
247.410,24450,75,325
248.284,24525,75,326
248.869,24600,75,327
249.843,24675,75,328
250.431,24750,75,329
251.273,24825,75,330
251.842,24900,75,331
252.813,24975,75,332
253.355,25050,75,333
254.231,25125,75,334
254.962,25200,75,335
255.826,25275,75,336
256.328,25350,75,337
257.255,25425,75,338
257.839,25500,75,339
258.716,25575,75,340
259.307,25650,75,341
260.179,25725,75,342
260.814,25800,75,343
261.739,25875,75,344
262.275,25950,75,345
263.201,26025,75,346
263.835,26100,75,347
264.663,26175,75,348
265.344,26250,75,349
266.215,26325,75,350
266.760,26400,75,351
267.638,26475,75,352
268.224,26550,75,353
269.149,26625,75,354
269.734,26700,75,355
270.611,26775,75,356
271.245,26850,75,357
272.123,26925,75,358
272.805,27000,75,359
273.585,27075,75,360
274.223,27150,75,361
275.096,27225,75,362
275.681,27300,75,363
276.559,27375,75,364
277.193,27450,75,365
278.103,27525,75,366
278.655,27600,75,367
279.533,27675,75,368
280.166,27750,75,369
281.044,27825,75,370
281.678,27900,75,371
282.530,27975,75,372
283.140,28050,75,373
284.310,28125,75,374
284.603,28200,75,375
285.480,28275,75,376
286.209,28350,75,377
287.040,28425,75,378
287.576,28500,75,379
288.457,28575,75,380
289.087,28650,75,381
290.014,28725,75,382
290.589,28800,75,383
