df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,perfusion_ir
27.687,0.160
28.419,0.150
29.348,0.160
29.835,0.160
30.566,0.160
32.288,0.160
33.755,0.160
34.366,0.160
35.200,0.160
35.785,0.160
36.471,0.160
37.340,0.160
38.080,0.160
38.610,0.160
39.244,0.160
41.678,0.160
42.410,0.160
43.190,0.160
43.831,0.160
44.708,0.160
45.335,0.160
45.923,0.160
46.702,0.160
47.434,0.160
48.260,0.160
48.844,0.160
49.530,0.160
55.380,0.160
59.137,0.170
59.814,0.170
60.742,0.170
61.376,0.170
62.205,0.170
63.180,0.170
63.721,0.170
64.249,0.170
65.184,0.170
66.057,0.170
66.690,0.170
67.475,0.170
68.299,0.170
68.981,0.170
70.054,0.180
70.687,0.170
71.368,0.170
71.619,0.180
76.342,0.180
78.972,0.180
79.271,0.180
80.691,0.180
81.361,0.180
82.144,0.180
82.924,0.180
83.708,0.180
84.237,0.180
88.201,0.180
89.017,0.180
89.944,0.180
90.529,0.190
91.311,0.190
92.027,0.190
92.869,0.190
94.234,0.180
95.553,0.180
96.382,0.180
97.305,0.180
98.036,0.180
99.109,0.180
99.791,0.180
100.523,0.180
101.254,0.190
101.892,0.190
102.775,0.180
103.453,0.180
104.281,0.180
110.367,0.180
115.393,0.180
116.997,0.180
117.589,0.180
118.563,0.180
119.194,0.190
119.974,0.190
120.754,0.190
121.248,0.190
121.924,0.190
130.655,0.190
131.335,0.190
131.915,0.190
132.795,0.190
134.254,0.190
136.643,0.190
142.313,0.190
142.985,0.190
144.597,0.190
146.741,0.190
147.228,0.180
148.005,0.170
148.834,0.170
148.932,0.180
150.832,0.170
151.853,0.170
153.368,0.170
153.901,0.170
154.586,0.170
155.226,0.170
155.951,0.170
156.688,0.170
156.976,0.170
158.681,0.170
159.315,0.170
159.998,0.170
160.336,0.170
162.289,0.170
162.939,0.170
163.849,0.170
164.434,0.170
165.854,0.170
166.627,0.170
167.313,0.170
167.981,0.170
168.818,0.170
169.355,0.170
169.988,0.170
170.674,0.170
172.280,0.170
172.916,0.170
173.845,0.170
174.490,0.170
175.351,0.170
181.253,0.170
182.719,0.170
183.346,0.160
184.909,0.170
187.834,0.170
189.342,0.160
190.125,0.160
190.807,0.170
192.218,0.170
193.004,0.170
202.359,0.170
203.336,0.170
205.091,0.170
205.722,0.180
206.554,0.190
207.239,0.190
208.114,0.190
208.754,0.190
209.388,0.190
210.119,0.190
210.990,0.190
212.062,0.190
212.505,0.200
213.328,0.190
214.256,0.190
214.991,0.190
215.535,0.190
216.406,0.190
217.230,0.200
217.912,0.200
219.324,0.200
220.158,0.200
220.935,0.190
221.520,0.190
222.349,0.190
223.036,0.190
223.760,0.180
224.594,0.180
225.273,0.180
226.102,0.190
226.890,0.190
228.053,0.190
231.316,0.190
232.196,0.190
233.025,0.190
233.709,0.190
234.438,0.190
236.145,0.190
236.974,0.190
238.195,0.190
243.330,0.190
247.988,0.190
248.737,0.190
251.407,0.190
266.711,0.190
267.446,0.190
269.685,0.190
270.319,0.180
271.099,0.180
271.733,0.180
276.266,0.180
276.997,0.180
277.681,0.180
280.960,0.170
282.076,0.170
286.991,0.170
298.692,0.170
299.325,0.170
300.105,0.170
300.740,0.160
304.493,0.160
319.166,0.160
319.661,0.160
320.287,0.160
326.089,0.160
327.161,0.150
330.821,0.150
332.134,0.150
332.816,0.140
339.349,0.140
342.623,0.140
343.439,0.140
345.575,0.140
347.100,0.140
347.800,0.140
349.196,0.140
349.638,0.140
350.467,0.140
351.195,0.140
352.950,0.140
354.367,0.140
355.192,0.140
356.381,0.140
356.996,0.140
357.537,0.140
359.486,0.140
360.409,0.140
360.996,0.140
361.676,0.140
363.529,0.140
368.255,0.140
372.402,0.140
374.352,0.140
375.716,0.140
381.907,0.130
385.025,0.130
406.185,0.130
421.200,0.130
435.094,0.130
442.310,0.140
460.980,0.140
465.072,0.140
476.586,0.180
478.972,0.180
480.480,0.180
