df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.338,242962,323,322277
5.343,242958,321,322283
5.348,242952,320,322300
5.353,242953,327,322282
5.358,242966,321,322299
5.363,242972,319,322301
5.368,242983,319,322300
5.373,242997,325,322349
5.378,243009,324,322341
5.383,243013,321,322332
5.387,243014,321,322354
5.392,243037,320,322364
5.397,243025,322,322368
5.402,243038,319,322374
5.407,243051,318,322359
5.412,243037,316,322390
5.417,243073,316,322368
5.422,243076,319,322405
5.427,243081,323,322397
5.432,243086,321,322422
5.437,243096,320,322417
5.442,243112,318,322403
5.447,243117,316,322431
5.452,243114,315,322428
5.457,243134,316,322463
5.462,243128,315,322472
5.467,243146,314,322465
5.472,243173,319,322500
5.477,243176,320,322495
5.482,243164,318,322492
5.487,243216,318,322498
5.492,243206,315,322514
5.497,243224,314,322526
5.502,243226,323,322538
5.507,243224,322,322521
5.512,243238,320,322529
5.517,243262,320,322519
5.521,243248,323,322517
5.526,243230,321,322524
5.531,243237,320,322524
5.536,243224,320,322515
5.541,243204,318,322494
5.546,243199,316,322454
5.551,243208,314,322473
5.556,243166,313,322468
5.561,243135,320,322419
5.566,243178,316,322422
5.571,243117,317,322393
5.576,243117,315,322404
5.581,243084,324,322384
5.586,243070,320,322326
5.591,243054,315,322334
5.596,243049,314,322311
5.601,243009,322,322286
5.606,243021,319,322276
5.611,242991,312,322269
5.616,242978,313,322262
5.621,242983,320,322247
5.626,242958,314,322236
5.631,242961,310,322242
5.636,242930,321,322228
5.641,242927,314,322220
5.646,242929,311,322207
5.650,242907,320,322240
5.655,242919,317,322227
5.660,242902,312,322238
5.665,242910,304,322210
5.670,242869,310,322197
5.675,242869,323,322206
5.680,242861,319,322178
5.685,242853,315,322152
5.690,242831,311,322175
5.695,242838,323,322151
5.700,242817,316,322149
5.705,242831,313,322144
5.710,242819,309,322143
5.715,242812,313,322128
5.720,242808,310,322130
5.725,242814,319,322145
5.730,242801,315,322135
5.735,242794,313,322164
5.740,242788,308,322135
5.745,242807,319,322123
5.750,242765,313,322151
5.755,242754,311,322145
5.760,242772,322,322152
5.765,242779,312,322135
5.770,242739,308,322124
5.775,242752,320,322135
5.779,242768,318,322131
5.784,242753,314,322134
5.789,242776,310,322142
5.794,242753,323,322138
5.799,242771,318,322154
5.804,242780,316,322159
5.809,242783,313,322149
5.814,242759,317,322152
5.819,242769,314,322179
5.824,242780,311,322164
5.829,242783,320,322167
5.834,242759,318,322155
5.839,242757,314,322165
5.844,242783,310,322174
5.849,242781,319,322161
5.854,242774,316,322166
5.859,242778,312,322141
5.864,242786,311,322172
5.869,242776,321,322161
5.874,242769,316,322174
5.879,242766,312,322159
5.884,242757,322,322168
5.889,242772,316,322148
5.894,242769,312,322179
5.899,242766,310,322167
5.904,242778,319,322175
5.909,242776,316,322111
5.913,242775,318,322191
5.918,242779,314,322164
5.923,242787,310,322164
5.928,242778,321,322179
5.933,242783,316,322168
5.938,242774,314,322178
5.943,242762,310,322175
