df_hash,22ZHK4.N2SGV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H46Y
person_label,V75
date_time_start,2025-11-03_13-45-05.246000_+03
date_time_start_unix,1762163105.246
date_time_end,2025-11-03_13-53-22.723000_+03
length_difference_noticed,no

time,quality
10.995,100
11.895,6
12.773,0
13.943,0
14.872,37
15.803,64
16.918,72
17.940,67
18.720,47
19.939,35
20.865,0
21.696,25
22.915,31
23.816,31
24.669,34
25.886,62
26.767,75
27.787,76
28.862,75
30.030,79
30.714,78
31.981,77
32.762,76
33.930,73
34.902,72
35.734,74
36.612,75
37.827,79
38.709,73
39.585,71
40.999,71
41.730,61
42.583,66
43.778,75
44.752,77
45.533,65
46.798,66
47.677,67
48.507,62
49.726,64
50.635,47
51.729,41
52.701,35
53.602,35
54.503,33
55.816,34
56.553,42
57.482,54
59.082,62
59.524,59
60.451,61
62.010,64
62.498,71
63.518,78
64.649,73
65.521,71
66.398,69
67.570,67
68.496,70
69.426,73
70.840,80
71.562,79
72.540,75
73.661,51
74.491,31
75.319,23
76.732,0
77.465,0
78.293,0
79.512,26
80.483,65
81.268,79
82.486,63
83.658,60
84.338,51
85.505,45
86.337,30
87.214,32
88.508,30
89.322,30
90.389,42
91.408,46
92.335,74
93.211,66
94.403,72
95.258,65
96.186,65
97.597,63
98.232,43
99.350,35
100.328,62
101.302,81
102.372,74
103.348,61
104.230,60
105.109,67
106.275,31
107.203,0
108.079,0
109.344,0
110.175,1
111.199,0
112.223,47
113.342,45
114.029,52
115.248,58
116.123,58
117.292,61
118.265,64
119.142,73
120.278,77
121.198,75
122.072,69
122.950,68
124.178,47
125.096,30
125.999,22
127.140,23
128.259,44
128.895,26
130.211,0
130.994,0
132.015,39
133.090,53
134.009,57
134.843,58
136.062,53
136.939,51
137.865,54
139.035,37
139.913,34
140.839,32
142.012,36
143.035,42
143.861,41
145.369,45
145.863,48
146.787,48
148.250,46
149.030,48
149.761,65
150.934,70
151.905,76
152.735,74
154.099,72
155.174,74
155.708,69
157.031,69
157.856,72
158.837,69
159.900,61
160.791,64
161.752,69
162.876,68
163.999,62
164.629,61
166.191,64
166.820,65
167.607,62
168.870,66
169.707,69
170.577,71
171.795,72
172.673,69
173.697,65
174.769,65
175.647,44
176.570,36
178.035,37
178.717,44
179.548,0
180.911,0
181.692,29
182.614,21
183.691,25
184.617,0
185.494,39
186.664,69
187.542,72
188.517,71
189.638,73
190.515,72
191.490,69
192.855,68
193.539,68
194.659,56
195.926,43
196.609,28
197.686,26
198.654,22
199.486,29
200.655,0
201.546,25
202.459,58
203.583,72
204.507,60
205.433,55
206.356,65
207.626,72
208.457,74
209.285,70
210.695,64
211.381,68
212.258,67
213.574,65
214.367,72
215.232,73
216.450,78
217.335,77
218.205,76
219.814,74
220.350,72
221.227,69
222.787,69
223.321,74
224.345,68
225.712,68
226.249,71
227.173,78
228.589,57
229.225,30
230.151,0
231.513,0
232.343,29
233.123,0
234.305,36
235.173,48
236.242,75
237.268,66
238.242,53
239.070,52
240.339,53
241.218,45
242.048,39
243.217,38
244.141,33
245.018,41
246.233,36
247.163,25
248.040,30
249.185,24
250.088,34
251.266,32
252.185,46
253.086,30
253.944,24
255.158,22
256.035,24
256.959,22
258.134,0
259.301,45
259.886,53
261.107,46
261.983,42
262.911,28
264.125,35
264.959,37
265.885,36
267.056,48
267.931,56
268.908,55
270.027,62
270.904,68
271.876,76
273.001,41
273.927,37
274.804,37
275.974,50
276.901,46
277.900,49
278.949,57
279.898,74
280.753,72
281.924,56
282.848,55
283.726,67
284.901,67
285.826,64
286.701,63
287.870,62
288.797,58
289.675,62
290.892,52
292.064,0
292.649,11
293.819,0
294.745,0
295.622,0
296.814,0
297.716,52
298.740,68
299.859,67
300.885,70
301.568,78
302.788,75
303.668,73
304.543,72
305.760,64
306.639,32
307.564,36
308.737,34
309.706,5
310.491,1
311.805,0
312.585,39
313.852,49
314.684,50
315.598,60
316.487,53
317.658,44
318.536,32
319.461,30
320.632,40
321.553,52
322.433,59
323.898,53
324.486,69
325.409,71
326.967,77
327.454,77
328.673,66
329.550,66
330.574,68
331.356,59
332.524,50
333.450,61
334.328,71
335.498,67
336.665,69
337.302,57
338.472,50
339.690,63
340.282,66
341.447,60
342.515,74
343.251,78
344.709,66
345.391,58
346.225,62
347.633,74
348.465,77
349.343,71
350.416,74
351.293,75
352.221,73
353.633,66
354.312,64
355.339,69
356.456,70
357.383,74
358.167,74
359.431,77
360.506,76
361.141,76
362.310,68
363.335,68
364.114,62
365.330,62
366.305,61
367.088,59
368.307,58
369.184,57
370.063,63
371.232,67
372.113,70
373.044,68
374.205,69
375.083,65
376.104,71
377.180,72
378.207,72
379.031,67
380.304,59
381.080,55
382.003,72
383.135,76
384.293,70
384.930,71
386.149,63
387.027,60
387.904,62
389.122,37
390.046,27
390.880,32
392.099,0
392.976,5
393.901,10
395.073,0
396.140,22
396.871,6
398.058,0
399.070,41
399.799,13
401.043,7
401.896,0
403.114,0
403.992,0
404.869,0
405.797,26
406.965,0
407.843,0
408.769,0
409.939,33
410.866,24
411.743,31
412.986,39
414.131,55
414.767,31
415.887,37
416.814,49
417.787,52
418.876,52
419.787,25
420.664,29
422.227,46
422.760,41
423.927,24
424.808,35
