Time (s),Resistance (Ω),Stage
1,13070.42,Calibration
2,12636.82,Calibration
3,13188,Calibration
4,13174.87,Calibration
5,13188,Calibration
6,13201.13,Calibration
7,13174.87,Calibration
8,12775.31,Calibration
9,13057.43,Calibration
10,12928.33,Calibration
11,13083.43,Calibration
12,13453.61,Calibration
13,13453.61,Calibration
15,13320.05,Calibration
16,13306.77,Calibration
16,13480.5,Calibration
17,13467.05,Calibration
18,13201.13,Calibration
19,13253.83,Calibration
20,13480.5,Normal
21,13373.29,Normal
22,13453.61,Normal
23,13480.5,Normal
24,13467.05,Normal
25,13005.62,Normal
26,13174.87,Normal
27,13070.42,Normal
28,13453.61,Normal
29,13480.5,Normal
30,13467.05,Normal
31,12992.7,Normal
32,13083.43,Normal
33,12966.91,Normal
34,13135.59,Normal
35,13534.48,Normal
36,13520.97,Normal
37,13507.46,Normal
38,12992.7,Normal
39,13096.45,Normal
40,13575.13,Normal
41,13520.97,Normal
42,13548.02,Normal
43,13031.5,Normal
44,13031.5,Normal
45,13548.02,Normal
46,13201.13,Normal
47,13602.3,Normal
48,13280.27,Normal
49,13174.87,Normal
50,13413.38,Normal
51,13057.43,Normal
52,13018.55,Normal
53,13440.18,Normal
54,13201.13,Normal
55,13044.46,Normal
56,13629.54,Normal
57,13588.71,Normal
58,13057.43,Normal
59,13725.38,Normal
60,13670.52,Normal
61,13725.38,Normal
62,13849.74,Normal
63,13333.33,Normal
64,13821.99,Normal
65,13766.69,Normal
66,13711.64,Normal
67,13386.64,Normal
68,13766.69,Normal
69,13780.49,Normal
70,13643.19,Normal
71,13891.48,Normal
72,13766.69,Normal
73,13413.38,Normal
74,13780.49,Normal
75,13766.69,Normal
76,13725.38,Normal
77,13656.84,Normal
78,13794.31,Normal
79,13070.42,Normal
80,13821.99,Normal
81,13919.39,Normal
82,13905.43,Normal
83,13975.41,Normal
84,13933.37,Normal
85,14074.08,Normal
86,14116.61,Normal
87,13480.5,Normal
88,13453.61,Normal
89,14130.82,Normal
90,14017.6,Normal
91,14059.93,Normal
92,13711.64,Normal
93,14102.41,Normal
94,14045.8,Normal
95,14017.6,Normal
96,14045.8,Normal
97,14045.8,Normal
98,13480.5,Normal
99,14003.52,Normal
100,13467.05,Normal
101,14045.8,Normal
102,14045.8,Normal
103,14116.61,Normal
104,13849.74,Normal
105,14159.29,Normal
106,14216.44,Normal
107,14116.61,Normal
108,13520.97,Normal
109,14088.24,Normal
110,14116.61,Normal
111,13346.64,Normal
112,13919.39,Normal
113,13575.13,Normal
116,13933.37,Normal
116,13877.55,Normal
116,13919.39,Normal
117,13711.64,Normal
118,13919.39,Normal
119,13561.57,Normal
120,13346.64,Normal
121,13520.97,Normal
122,13711.64,Normal
123,13863.64,Normal
124,13280.27,Normal
125,13849.74,Normal
126,13891.48,Normal
127,13267.04,Normal
128,13333.33,Normal
129,13320.05,Normal
130,13629.54,Normal
131,13877.55,Normal
132,13697.92,Normal
133,13863.64,Normal
134,13602.3,Normal
135,13752.9,Normal
136,13615.92,Normal
137,13919.39,Normal
138,13891.48,Normal
139,13877.55,Normal
141,13877.55,Normal
141,13877.55,Normal
142,13835.85,Normal
143,13333.33,Normal
144,13891.48,Normal
145,13891.48,Normal
146,13835.85,Normal
147,13413.38,Normal
148,13849.74,Normal
149,13280.27,Normal
150,13905.43,Normal
151,13333.33,Normal
152,13561.57,Normal
153,13227.45,Normal
154,13919.39,Normal
155,13821.99,Normal
156,13615.92,Normal
157,13877.55,Normal
158,13919.39,Normal
159,13320.05,Normal
160,13656.84,Normal
161,13780.49,Normal
162,13453.61,Normal
163,13919.39,Normal
164,13919.39,Normal
165,13919.39,Normal
166,13919.39,Normal
167,13919.39,Normal
168,13947.37,Normal
169,13386.64,Normal
170,13306.77,Normal
171,13919.39,Normal
172,13480.5,Normal
173,13656.84,Normal
174,13739.13,Normal
175,13905.43,Normal
176,13561.57,Normal
177,13480.5,Normal
178,13453.61,Normal
179,13386.64,Normal
180,13697.92,Normal
181,13333.33,Normal
182,13253.83,Normal
183,13280.27,Normal
184,13891.48,Normal
185,13905.43,Normal
186,13891.48,Normal
187,13835.85,Normal
188,13849.74,Normal
189,13891.48,Normal
190,13697.92,Normal
191,13227.45,Normal
192,13821.99,Normal
193,13919.39,Normal
194,13919.39,Normal
195,13835.85,Normal
196,13346.64,Normal
197,13453.61,Normal
198,13643.19,Normal
199,13711.64,Normal
200,13561.57,Normal
201,13253.83,Normal
202,13453.61,Normal
203,13400,Normal
204,13711.64,Normal
205,13905.43,Normal
206,13135.59,Normal
208,13835.85,Normal
209,13821.99,Normal
210,13227.45,Normal
211,13684.21,Normal
212,13766.69,Normal
213,13467.05,Normal
214,13629.54,Normal
215,13739.13,Normal
216,13670.52,Normal
217,13711.64,Normal
218,13849.74,Normal
219,13780.49,Normal
220,13253.83,Normal
221,13739.13,Normal
222,13253.83,Normal
223,13725.38,Normal
224,13766.69,Normal
225,13766.69,Normal
226,13280.27,Normal
227,13253.83,Normal
228,13780.49,Normal
229,13711.64,Normal
230,13109.48,Normal
231,13346.64,Normal
232,13752.9,Normal
233,13240.64,Normal
234,13453.61,Normal
235,13306.77,Normal
236,13725.38,Normal
237,13240.64,Normal
238,13739.13,Normal
239,13725.38,Normal
240,13548.02,Normal
241,13697.92,Normal
242,13752.9,Normal
243,13725.38,Normal
244,13821.99,Normal
245,13253.83,Normal
246,13684.21,Normal
247,13725.38,Normal
248,13306.77,Normal
249,13656.84,Normal
250,13780.49,Normal
251,13602.3,Normal
252,13306.77,Normal
253,13739.13,Normal
254,13780.49,Normal
255,13148.67,Normal
256,13083.43,Normal
257,13201.13,Normal
258,13821.99,Normal
259,13188,Normal
260,13214.29,Stress
261,13877.55,Stress
262,13905.43,Stress
263,13877.55,Stress
264,13684.21,Stress
265,13835.85,Stress
266,13821.99,Stress
267,13493.98,Stress
268,13891.48,Stress
269,13697.92,Stress
270,13739.13,Stress
271,13240.64,Stress
272,13306.77,Stress
273,13561.57,Stress
274,13780.49,Stress
275,13794.31,Stress
276,13766.69,Stress
277,13739.13,Stress
278,13507.46,Stress
279,13877.55,Stress
280,13919.39,Stress
281,13989.46,Stress
282,13670.52,Stress
283,14074.08,Stress
284,14159.29,Stress
285,14187.83,Stress
286,14173.55,Stress
287,14173.55,Stress
288,14216.44,Stress
289,14045.8,Stress
290,13493.98,Stress
291,14088.24,Stress
292,13780.49,Stress
293,14273.86,Stress
294,14187.83,Stress
295,14375,Stress
296,14360.5,Stress
297,14116.61,Stress
298,14404.05,Stress
299,14462.37,Stress
300,14404.05,Stress
301,14462.37,Stress
302,14433.17,Stress
303,14003.52,Stress
304,14418.6,Stress
305,14331.55,Stress
306,14520.96,Stress
307,14389.52,Stress
308,14418.6,Stress
309,13877.55,Stress
310,13766.69,Stress
311,14159.29,Stress
312,13919.39,Stress
313,14594.6,Stress
314,14045.8,Stress
315,13961.38,Stress
316,14535.65,Stress
317,14462.37,Stress
318,14476.99,Stress
319,14045.8,Stress
320,14187.83,Stress
321,14216.44,Stress
322,13891.48,Stress
323,14375,Stress
324,13849.74,Stress
325,13808.14,Stress
326,14288.26,Stress
327,14346.02,Stress
328,14159.29,Stress
329,14159.29,Stress
330,14074.08,Stress
331,13821.99,Stress
332,13877.55,Stress
333,14375,Stress
334,13961.38,Stress
335,13989.46,Stress
336,14245.11,Stress
337,14187.83,Stress
338,14230.77,Stress
339,14045.8,Stress
340,14506.28,Stress
341,14476.99,Stress
342,14520.96,Stress
343,14535.65,Stress
344,14273.86,Stress
345,14045.8,Stress
346,14565.09,Stress
347,14565.09,Stress
348,14579.83,Stress
349,14331.55,Stress
350,14609.37,Stress
351,14609.37,Stress
352,14683.54,Stress
353,14230.77,Stress
354,14683.54,Stress
355,14609.37,Stress
356,14506.28,Stress
357,14668.67,Stress
358,14288.26,Stress
359,14773.14,Stress
360,14773.14,Stress
361,14788.14,Stress
362,14609.37,Stress
363,14102.41,Stress
364,14187.83,Stress
365,14833.23,Stress
366,14758.16,Stress
367,14833.23,Stress
368,14803.15,Stress
369,14638.99,Stress
370,14848.3,Stress
371,14818.18,Stress
372,14818.18,Stress
373,14145.05,Stress
374,14833.23,Stress
375,14159.29,Stress
376,14130.82,Stress
377,14360.5,Stress
378,14848.3,Stress
379,14803.15,Stress
380,14848.3,Stress
381,14447.76,Stress
382,14506.28,Stress
383,14818.18,Stress
384,14346.02,Stress
385,14893.62,Stress
386,14609.37,Stress
387,14954.29,Stress
388,14878.49,Stress
389,14565.09,Stress
390,14848.3,Stress
391,14863.39,Stress
392,14848.3,Stress
393,14818.18,Stress
394,14609.37,Stress
395,14535.65,Stress
396,14848.3,Stress
397,14173.55,Stress
398,14609.37,Stress
399,14653.82,Stress
400,14848.3,Stress
401,14863.39,Stress
402,14565.09,Stress
403,14893.62,Stress
404,14433.17,Stress
405,14773.14,Stress
406,14683.54,Stress
407,14579.83,Stress
408,14833.23,Stress
409,14173.55,Stress
410,14273.86,Stress
411,14609.37,Stress
412,14984.75,Stress
413,14389.52,Stress
