df_hash,22ZHK4.J6TT4M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YU3D
person_label,V78
date_time_start,2025-11-03_14-27-12.158000_+03
date_time_start_unix,1762165632.158
date_time_end,2025-11-03_14-36-02.613000_+03
length_difference_noticed,no

time,battery
5.436,16
15.391,16
25.288,16
35.333,16
45.327,16
55.366,16
65.409,16
75.309,16
85.299,16
95.465,16
105.287,16
115.287,16
125.274,16
135.336,16
145.359,16
155.312,16
165.298,15
175.292,15
185.442,15
195.400,15
205.294,15
215.268,15
225.315,15
235.324,15
245.298,15
255.291,15
265.333,15
275.375,15
285.418,15
295.363,15
305.259,15
315.253,15
325.349,15
335.289,15
345.331,15
355.277,15
365.465,15
375.373,15
385.258,15
395.253,14
405.297,14
415.239,14
425.282,14
435.281,14
445.446,14
455.263,14
465.354,14
475.396,14
485.244,14
495.336,14
505.282,14
515.282,14
