df_hash,22ZHK4.J6TT4M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YU3D
person_label,V78
date_time_start,2025-11-03_14-27-12.158000_+03
date_time_start_unix,1762165632.158
date_time_end,2025-11-03_14-36-02.613000_+03
length_difference_noticed,no

time,rr_int
11.150,9030
11.980,735
12.661,770
13.393,710
14.075,670
14.758,685
15.586,745
16.269,805
17.000,760
17.683,715
18.365,695
19.194,725
20.023,790
20.852,860
21.586,765
22.119,695
23.045,680
24.076,730
24.605,820
25.385,850
26.019,760
26.994,760
27.823,845
28.652,900
29.383,805
30.212,765
31.040,785
31.869,850
32.605,800
33.282,750
34.112,760
34.940,800
35.330,825
35.720,240
36.403,500
37.134,715
37.865,725
38.694,760
39.380,815
40.085,770
40.888,710
41.619,735
42.447,765
42.632,805
42.691,205
42.696,40
42.894,10
43.130,15
43.959,490
44.787,740
45.372,725
45.376,760
46.301,10
46.885,785
47.713,775
48.398,725
49.128,700
49.178,730
49.955,10
50.833,815
51.470,855
52.295,760
53.172,775
54.002,840
54.684,855
55.714,770
56.195,730
57.024,790
57.904,825
58.584,775
59.320,720
60.095,750
61.024,815
61.669,865
62.492,745
63.167,725
63.995,770
64.142,805
64.145,210
64.287,15
64.727,20
65.555,530
66.238,735
67.017,750
67.749,755
68.432,765
69.163,720
69.553,710
69.556,415
69.845,15
70.677,275
71.503,805
72.331,870
73.160,845
73.989,785
74.866,790
74.870,875
75.013,200
75.016,10
75.062,10
75.549,590
76.670,895
76.816,265
76.820,100
78.621,395
80.720,1410
82.081,1825
83.645,1685
83.777,1440
83.788,175
83.792,10
83.797,30
83.800,20
83.885,10
83.889,15
84.185,105
85.006,260
85.835,765
86.664,920
87.493,815
88.375,840
89.255,855
90.028,885
90.858,830
91.688,740
92.130,660
92.960,705
93.784,830
94.610,865
94.615,775
95.294,10
95.975,680
96.876,715
97.681,820
98.510,860
99.347,825
100.022,750
100.850,800
100.997,835
101.143,210
101.146,10
101.630,20
102.410,510
102.559,740
102.654,175
102.660,80
102.666,10
103.092,15
103.922,500
104.604,805
104.896,740
104.945,190
105.335,20
106.169,510
106.847,745
107.139,770
107.142,280
107.676,10
108.358,460
109.194,705
109.247,740
109.301,170
109.333,55
109.793,15
110.600,495
110.606,785
111.429,10
112.014,730
112.697,695
113.530,725
114.208,765
115.057,800
115.621,740
116.451,680
117.377,715
117.815,730
118.547,755
119.229,730
119.912,690
120.595,680
121.426,730
122.301,760
123.031,805
123.129,765
123.227,185
123.275,25
123.278,15
123.812,10
124.689,575
125.326,800
125.472,765
125.615,205
125.619,15
126.103,25
126.737,460
127.422,670
128.394,680
128.840,720
129.662,780
130.344,745
130.639,690
131.032,170
131.760,535
132.442,730
132.489,775
133.269,10
133.956,735
134.643,685
135.366,685
136.048,715
136.742,755
137.462,735
138.292,700
138.976,750
139.801,780
140.094,835
140.097,245
140.533,10
141.236,490
142.044,700
142.728,725
143.556,780
144.238,760
144.972,750
145.806,765
146.627,825
147.455,825
148.138,750
148.869,725
149.698,765
149.941,830
149.945,185
150.098,60
150.527,10
151.209,555
151.893,760
152.769,690
153.451,725
154.281,755
155.109,895
155.938,850
156.230,775
156.237,270
156.433,10
156.443,10
156.620,10
157.374,390
158.180,730
158.329,780
159.060,10
159.756,840
160.521,775
161.203,750
162.032,795
162.972,860
163.738,805
164.469,750
165.249,780
166.078,835
166.761,800
167.541,745
168.369,740
169.159,785
169.903,805
170.660,760
171.392,755
172.318,810
173.147,875
173.845,780
174.560,740
174.858,780
175.437,235
176.096,545
176.803,770
177.593,720
178.184,685
178.899,700
179.581,710
180.264,715
180.995,710
181.678,685
182.509,710
183.238,735
183.871,715
184.505,675
185.142,635
185.727,615
186.260,610
186.943,610
187.626,705
188.406,690
188.454,665
189.039,180
189.721,505
189.916,715
189.919,175
189.965,10
189.968,15
190.550,10
191.087,455
191.721,720
192.354,655
193.257,675
193.768,655
194.450,705
195.328,740
195.965,755
196.698,715
197.375,685
197.381,675
198.058,10
198.741,705
199.727,730
200.203,700
200.741,665
201.714,685
202.250,730
202.546,810
203.130,220
203.762,590
204.496,735
204.785,690
204.834,200
204.837,65
204.885,10
204.983,10
205.419,40
206.004,390
206.199,750
206.204,180
206.299,10
206.712,45
207.564,525
208.198,765
209.076,730
209.758,805
210.586,790
211.367,730
211.952,700
212.683,705
212.927,745
212.991,255
213.027,10
213.030,10
213.565,15
214.243,490
214.346,755
214.439,180
214.444,10
214.456,10
214.459,10
214.518,10
214.926,15
215.609,470
215.757,745
216.437,10
217.168,745
217.802,770
217.859,255
218.635,470
219.410,760
220.044,735
220.727,755
221.019,705
221.118,250
222.336,440
222.969,730
223.798,770
223.944,800
224.529,175
225.212,570
225.894,715
226.723,720
227.408,735
228.088,745
228.819,695
229.514,670
230.184,690
230.885,710
231.648,730
231.890,715
231.893,255
232.280,10
232.283,440
232.965,10
233.793,740
233.970,765
234.523,175
234.792,590
234.795,170
234.816,15
234.819,10
235.210,15
236.034,495
236.768,755
237.546,775
238.277,750
239.017,720
239.645,715
240.373,725
240.620,750
241.202,215
241.507,550
241.594,225
241.597,15
241.600,10
241.981,15
241.985,475
242.813,10
242.859,780
242.862,190
243.005,15
243.010,20
243.542,15
244.475,610
245.102,800
245.784,740
