df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,acc_mag
5.256,1.034
5.286,1.030
5.316,1.034
5.346,1.034
5.376,1.034
5.406,1.030
5.436,1.033
5.466,1.030
5.496,1.040
5.526,1.034
5.556,1.034
5.586,1.031
5.616,1.031
5.646,1.035
5.676,1.035
5.706,1.033
5.736,1.032
5.766,1.031
5.796,1.034
5.826,1.035
5.856,1.030
5.886,1.034
5.916,1.039
5.946,1.032
5.976,1.027
6.006,1.032
6.036,1.030
6.066,1.035
6.096,1.036
6.126,1.032
6.156,1.032
6.186,1.034
6.216,1.031
6.246,1.035
6.276,1.032
6.306,1.037
6.336,1.036
6.366,1.031
6.396,1.030
6.426,1.035
6.456,1.033
6.486,1.032
6.516,1.032
6.546,1.032
6.576,1.032
6.606,1.035
6.636,1.035
6.666,1.029
6.696,1.037
6.726,1.035
6.756,1.032
6.786,1.031
6.816,1.032
6.846,1.034
6.876,1.034
6.906,1.034
6.936,1.033
6.966,1.029
6.996,1.030
7.026,1.036
7.056,1.034
7.086,1.036
7.116,1.034
7.146,1.028
7.176,1.031
7.206,1.036
7.236,1.036
7.266,1.033
7.296,1.036
7.326,1.031
7.356,1.033
7.386,1.034
7.416,1.034
7.446,1.033
7.476,1.030
7.506,1.033
7.536,1.033
7.566,1.034
7.596,1.032
7.626,1.036
7.656,1.033
7.686,1.033
7.716,1.030
7.746,1.033
7.776,1.039
7.806,1.031
7.836,1.032
7.866,1.031
7.896,1.032
7.926,1.036
7.956,1.037
7.986,1.038
8.016,1.027
8.046,1.033
8.076,1.036
8.106,1.037
8.136,1.033
8.166,1.033
8.196,1.031
8.226,1.032
8.256,1.029
8.286,1.032
8.316,1.035
8.346,1.030
8.376,1.030
8.406,1.033
8.436,1.035
8.466,1.033
8.496,1.034
8.526,1.033
8.556,1.030
8.586,1.028
8.616,1.034
8.646,1.037
8.676,1.033
8.706,1.033
8.736,1.024
8.766,1.034
8.796,1.037
8.826,1.031
8.856,1.034
8.886,1.033
8.916,1.034
8.946,1.033
8.976,1.031
9.006,1.034
9.036,1.034
9.066,1.032
9.096,1.034
9.126,1.038
9.156,1.033
9.186,1.033
9.216,1.032
9.246,1.025
9.276,1.034
9.306,1.036
9.336,1.034
9.366,1.036
9.396,1.030
9.426,1.034
9.456,1.036
9.486,1.034
9.516,1.033
9.546,1.034
9.576,1.034
9.606,1.035
9.636,1.031
9.666,1.034
9.696,1.034
9.726,1.032
9.756,1.034
9.786,1.034
9.816,1.033
9.846,1.031
9.876,1.030
9.906,1.032
9.936,1.035
9.966,1.035
9.996,1.027
10.026,1.033
10.056,1.028
10.086,1.033
10.116,1.032
10.146,1.037
10.176,1.035
10.206,1.035
10.236,1.037
10.266,1.033
10.296,1.030
10.326,1.031
10.356,1.031
10.386,1.032
10.416,1.034
10.446,1.035
10.476,1.036
10.506,1.033
10.536,1.037
10.566,1.030
10.596,1.033
10.626,1.034
10.656,1.031
10.686,1.034
10.716,1.035
10.746,1.037
10.776,1.029
10.806,1.033
10.836,1.033
10.866,1.032
10.896,1.035
10.926,1.033
10.956,1.032
10.986,1.030
11.016,1.033
11.046,1.035
11.076,1.033
11.106,1.031
11.136,1.031
11.166,1.034
11.196,1.035
11.226,1.030
11.256,1.034
11.286,1.037
11.316,1.033
11.346,1.033
11.376,1.031
11.406,1.034
11.436,1.036
11.466,1.037
11.496,1.034
11.526,1.032
11.556,1.032
11.586,1.033
11.616,1.035
11.646,1.033
11.676,1.033
11.706,1.035
11.736,1.031
11.766,1.031
11.796,1.037
11.826,1.033
11.856,1.032
11.886,1.034
11.916,1.032
11.946,1.034
11.976,1.033
12.006,1.034
12.036,1.033
12.066,1.030
12.096,1.031
12.126,1.034
12.156,1.026
12.186,1.038
12.216,1.036
12.246,1.033
12.276,1.031
12.306,1.033
12.336,1.033
12.366,1.035
12.396,1.032
12.426,1.033
12.456,1.036
12.486,1.037
12.516,1.030
12.546,1.034
12.576,1.033
12.606,1.034
12.636,1.034
12.666,1.036
12.696,1.037
12.726,1.033
12.756,1.030
12.786,1.031
12.816,1.035
12.846,1.032
12.876,1.032
12.906,1.035
12.936,1.029
12.966,1.034
12.996,1.038
13.026,1.038
13.056,1.031
13.086,1.027
13.116,1.030
13.146,1.033
13.176,1.027
13.206,1.036
13.236,1.033
13.266,1.034
13.296,1.034
13.326,1.034
13.356,1.036
13.386,1.035
13.416,1.031
13.446,1.035
13.476,1.031
13.506,1.034
13.536,1.035
13.566,1.035
13.596,1.036
13.626,1.036
13.656,1.032
13.686,1.033
13.716,1.036
13.746,1.037
13.776,1.038
13.806,1.032
13.836,1.030
13.866,1.032
13.896,1.037
13.926,1.032
13.956,1.036
13.986,1.030
14.016,1.035
14.046,1.037
14.076,1.036
14.106,1.034
14.136,1.032
14.166,1.030
14.196,1.034
14.226,1.037
14.256,1.032
14.286,1.034
14.316,1.034
14.346,1.039
14.376,1.035
14.406,1.031
14.436,1.037
14.466,1.038
14.496,1.037
14.526,1.033
14.556,1.032
14.586,1.035
14.616,1.037
