df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
5.256,-0.672,0.748,0.240
5.266,-0.670,0.744,0.238
5.276,-0.672,0.746,0.240
5.286,-0.672,0.744,0.236
5.295,-0.672,0.746,0.236
5.305,-0.672,0.744,0.236
5.315,-0.676,0.746,0.236
5.325,-0.676,0.746,0.234
5.335,-0.676,0.744,0.238
5.345,-0.678,0.744,0.238
5.355,-0.678,0.744,0.236
5.365,-0.674,0.748,0.238
5.375,-0.676,0.746,0.236
5.385,-0.672,0.748,0.238
5.395,-0.672,0.750,0.238
5.405,-0.668,0.748,0.236
5.415,-0.670,0.746,0.238
5.425,-0.668,0.744,0.240
5.435,-0.672,0.748,0.238
5.445,-0.672,0.746,0.244
5.454,-0.674,0.744,0.240
5.464,-0.674,0.742,0.238
5.474,-0.676,0.744,0.240
5.484,-0.676,0.748,0.240
5.494,-0.678,0.750,0.244
5.504,-0.670,0.746,0.240
5.514,-0.672,0.746,0.238
5.524,-0.674,0.748,0.238
5.534,-0.676,0.746,0.242
5.544,-0.676,0.746,0.242
5.554,-0.676,0.744,0.242
5.564,-0.674,0.748,0.238
5.574,-0.668,0.746,0.240
5.584,-0.668,0.748,0.242
5.594,-0.670,0.746,0.242
5.603,-0.670,0.742,0.242
5.613,-0.676,0.740,0.242
5.623,-0.676,0.742,0.240
5.633,-0.674,0.748,0.242
5.643,-0.676,0.746,0.240
5.653,-0.678,0.742,0.238
5.663,-0.676,0.740,0.238
5.673,-0.680,0.744,0.238
5.683,-0.682,0.740,0.238
5.693,-0.680,0.740,0.238
5.703,-0.682,0.740,0.236
5.713,-0.680,0.742,0.236
5.723,-0.678,0.744,0.236
5.733,-0.672,0.746,0.238
5.743,-0.674,0.746,0.238
