df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
6.387,210,74,2
6.827,282,72,3
7.077,355,73,4
7.509,429,74,5
7.848,501,72,6
8.190,575,74,7
8.630,649,74,8
8.873,721,72,9
9.312,795,74,10
9.705,869,74,11
9.995,939,70,12
10.433,1013,74,13
10.680,1086,73,14
11.115,1159,73,15
11.603,1233,74,16
11.897,1305,72,17
12.237,1379,74,18
12.481,1453,74,19
12.921,1525,72,20
13.358,1599,74,21
13.602,1673,74,22
14.041,1744,71,23
14.382,1818,74,24
14.727,1891,73,25
15.413,1964,73,26
15.436,2038,74,27
15.851,2110,72,28
16.147,2184,74,29
16.531,2258,74,30
16.967,2330,72,31
17.400,2404,74,32
17.649,2478,74,33
18.087,2550,72,34
18.332,2624,74,35
18.971,2697,73,36
19.118,2770,73,37
19.452,2844,74,38
19.901,2916,72,39
20.135,2990,74,40
20.583,3064,74,41
20.876,3135,71,42
21.262,3209,74,43
21.695,3283,74,44
22.039,3355,72,45
22.377,3429,74,46
22.816,3502,73,47
23.061,3575,73,48
23.644,3649,74,49
23.840,3721,72,50
24.325,3795,74,51
24.621,3869,74,52
24.962,3940,71,53
25.318,4014,74,54
25.747,4088,74,55
25.985,4160,72,56
26.429,4234,74,57
26.716,4306,72,58
27.542,4379,73,59
27.642,4453,74,60
27.790,4524,71,61
28.230,4598,74,62
28.520,4672,74,63
28.910,4744,72,64
29.348,4818,74,65
29.691,4892,74,66
30.137,4964,72,67
30.471,5038,74,68
30.910,5111,73,69
31.159,5184,73,70
31.495,5258,74,71
31.835,5330,72,72
32.271,5404,74,73
32.615,5478,74,74
32.956,5550,72,75
33.248,5624,74,76
33.799,5698,74,77
34.126,5770,72,78
34.370,5844,74,79
34.807,5917,73,80
35.060,5990,73,81
35.442,6064,74,82
35.881,6136,72,83
36.252,6210,74,84
36.615,6284,74,85
37.072,6357,73,86
37.343,6431,74,87
37.685,6505,74,88
38.033,6577,72,89
38.367,6651,74,90
38.806,6724,73,91
39.098,6797,73,92
39.498,6871,74,93
39.829,6943,72,94
40.317,7017,74,95
40.725,7091,74,96
41.045,7163,72,97
41.731,7237,74,98
41.780,7311,74,99
42.025,7383,72,100
42.461,7457,74,101
42.803,7529,72,102
43.107,7602,73,103
43.535,7676,74,104
43.827,7748,72,105
44.217,7822,74,106
44.558,7896,74,107
44.950,7968,72,108
45.584,8042,74,109
45.730,8116,74,110
46.026,8188,72,111
46.460,8262,74,112
46.752,8334,72,113
47.142,8406,72,114
47.435,8480,74,115
47.874,8552,72,116
48.313,8626,74,117
48.556,8700,74,118
49.090,8771,71,119
49.239,8845,74,120
49.726,8919,74,121
50.096,8991,72,122
50.360,9065,74,123
50.801,9138,73,124
51.045,9211,73,125
51.482,9285,74,126
51.876,9357,72,127
52.164,9431,74,128
52.603,9505,74,129
53.132,9577,72,130
53.285,9651,74,131
53.730,9725,74,132
53.968,9797,72,133
54.406,9871,74,134
54.845,9944,73,135
55.137,10017,73,136
55.528,10091,74,137
55.773,10163,72,138
56.218,10237,74,139
56.649,10311,74,140
56.893,10383,72,141
57.333,10457,74,142
57.779,10531,74,143
58.018,10603,72,144
58.453,10677,74,145
58.696,10750,73,146
59.136,10823,73,147
59.533,10897,74,148
59.818,10969,72,149
60.208,11043,74,150
60.652,11117,74,151
60.939,11189,72,152
61.475,11263,74,153
61.627,11337,74,154
62.061,11409,72,155
62.499,11483,74,156
62.744,11556,73,157
63.134,11629,73,158
63.473,11703,74,159
64.251,11775,72,160
64.303,11849,74,161
64.549,11923,74,162
65.094,11995,72,163
65.375,12069,74,164
65.669,12143,74,165
66.058,12215,72,166
66.350,12289,74,167
66.793,12362,73,168
67.179,12434,72,169
67.475,12508,74,170
67.861,12580,72,171
68.205,12654,74,172
68.602,12728,74,173
68.983,12800,72,174
69.279,12874,74,175
69.715,12948,74,176
69.961,13019,71,177
70.397,13093,74,178
70.789,13166,73,179
71.082,13239,73,180
71.518,13313,74,181
71.960,13385,72,182
72.200,13459,74,183
72.590,13533,74,184
72.883,13604,71,185
73.324,13678,74,186
73.761,13752,74,187
74.004,13824,72,188
74.402,13898,74,189
74.687,13971,73,190
75.125,14044,73,191
75.565,14118,74,192
75.812,14190,72,193
76.246,14264,74,194
76.637,14338,74,195
76.953,14410,72,196
77.320,14484,74,197
77.612,14558,74,198
78.051,14629,71,199
78.441,14703,74,200
78.734,14776,73,201
79.221,14849,73,202
79.416,14923,74,203
79.925,14995,72,204
80.244,15069,74,205
80.537,15143,74,206
80.979,15215,72,207
81.367,15289,74,208
81.658,15363,74,209
82.098,15435,72,210
82.341,15509,74,211
82.836,15582,73,212
83.353,15655,73,213
83.465,15729,74,214
84.055,15800,71,215
84.148,15874,74,216
84.583,15948,74,217
85.071,16020,72,218
85.266,16094,74,219
85.860,16168,74,220
86.101,16240,72,221
86.390,16314,74,222
86.777,16386,72,223
87.070,16459,73,224
87.508,16533,74,225
87.913,16605,72,226
88.220,16679,74,227
88.724,16753,74,228
88.896,16825,72,229
89.313,16899,74,230
89.996,16973,74,231
90.030,17045,72,232
90.486,17119,74,233
90.823,17192,73,234
91.116,17265,73,235
91.506,17339,74,236
91.801,17411,72,237
92.188,17485,74,238
92.722,17559,74,239
92.920,17631,72,240
93.310,17705,74,241
93.602,17779,74,242
94.042,17850,71,243
94.431,17924,74,244
94.849,17997,73,245
95.114,18070,73,246
95.422,18144,74,247
95.942,18216,72,248
96.475,18290,74,249
96.534,18364,74,250
96.924,18436,72,251
97.356,18510,74,252
97.649,18584,74,253
98.328,18656,72,254
98.390,18730,74,255
98.780,18803,73,256
99.159,18876,73,257
99.501,18950,74,258
99.844,19022,72,259
100.135,19096,74,260
100.670,19170,74,261
100.969,19240,70,262
101.497,19314,74,263
101.800,19388,74,264
102.182,19460,72,265
102.429,19534,74,266
102.768,19607,73,267
103.349,19680,73,268
103.552,19754,74,269
103.899,19826,72,270
104.568,19900,74,271
104.672,19974,74,272
104.868,20046,72,273
105.303,20120,74,274
105.709,20194,74,275
106.372,20266,72,276
106.522,20340,74,277
106.814,20413,73,278
107.109,20486,73,279
107.500,20560,74,280
107.789,20632,72,281
108.325,20706,74,282
108.617,20780,74,283
108.959,20851,71,284
109.301,20925,74,285
109.593,20999,74,286
110.129,21071,72,287
110.426,21145,74,288
111.104,21219,74,289
111.393,21292,73,290
111.546,21366,74,291
111.838,21438,72,292
112.274,21512,74,293
112.521,21586,74,294
112.956,21659,73,295
113.399,21733,74,296
