df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,heart_rate
8.285,46
9.164,46
10.040,46
11.210,46
12.138,46
13.015,46
14.234,46
15.110,46
15.989,46
17.305,46
18.116,81
19.005,83
20.180,84
21.058,85
22.082,88
23.154,88
24.032,87
25.302,84
26.128,84
27.060,84
27.982,85
29.102,86
30.028,87
30.956,89
32.124,90
33.050,90
33.883,90
35.098,90
35.991,90
36.912,90
38.072,90
38.949,90
39.875,90
41.073,90
41.923,89
42.905,88
44.019,88
44.974,87
45.827,87
46.997,87
47.919,87
48.797,87
50.022,87
50.893,87
51.774,87
52.989,87
53.875,87
54.745,87
55.963,87
56.841,82
57.816,80
58.937,79
59.915,79
60.790,79
61.912,79
62.789,78
63.765,77
64.885,77
65.811,77
66.689,78
67.885,79
68.785,78
69.662,78
70.833,78
71.759,79
72.636,80
73.855,82
74.736,83
75.610,85
76.829,86
77.706,86
78.605,85
79.851,85
80.784,85
81.558,85
82.879,85
83.654,85
84.606,85
85.901,86
86.628,86
87.560,86
88.773,85
89.604,84
90.528,84
91.747,85
92.625,86
93.502,87
94.672,87
95.598,86
96.514,85
97.694,84
98.572,84
99.554,85
100.717,86
101.643,87
102.621,88
103.642,89
104.606,89
105.446,88
106.620,87
107.545,86
108.420,86
109.615,86
110.516,86
111.437,86
112.563,84
113.490,84
114.367,83
115.537,83
116.463,83
117.418,83
118.513,83
119.443,83
120.561,83
121.582,83
122.467,83
123.289,82
124.507,81
125.434,82
126.311,82
127.484,82
128.359,82
129.285,82
130.482,81
131.333,81
132.259,81
133.429,82
134.328,83
135.281,84
136.403,84
137.408,83
138.208,83
139.377,82
140.303,82
141.216,82
142.350,82
143.277,84
144.154,85
145.373,87
146.250,87
147.128,86
148.347,86
149.224,84
150.102,83
151.468,83
152.249,84
153.124,86
154.294,87
155.196,86
156.098,86
157.268,84
158.194,83
159.080,83
160.286,84
161.168,85
162.192,85
163.357,85
164.142,84
165.020,84
166.238,84
167.116,85
167.994,85
169.214,86
170.139,86
171.016,86
172.186,87
173.112,87
173.990,88
175.263,89
176.086,90
177.064,91
178.182,92
179.060,92
179.937,93
181.136,93
182.034,93
182.934,93
184.175,93
185.008,93
185.885,93
187.104,93
187.981,93
188.861,93
190.078,93
190.955,93
191.892,93
193.054,92
193.931,92
194.855,91
196.025,90
196.952,88
197.832,86
199.048,85
199.925,85
200.803,86
202.047,86
202.902,87
203.856,86
204.995,85
205.874,85
206.851,84
207.969,84
208.847,85
209.724,85
210.992,85
211.970,85
212.751,85
213.917,84
214.800,83
215.735,83
216.895,84
217.817,85
218.695,85
219.865,84
220.791,84
221.668,84
222.839,84
223.765,84
224.792,84
225.861,84
226.739,84
227.617,84
228.836,80
229.765,77
230.590,75
231.914,74
232.738,75
233.708,75
234.782,74
235.660,67
236.586,62
237.758,56
238.721,60
239.560,60
240.730,59
241.705,58
242.563,58
243.808,58
244.644,58
245.557,58
246.730,58
247.604,58
248.485,58
249.728,58
250.602,58
251.504,58
252.674,58
253.552,68
254.478,73
255.648,74
256.574,74
257.455,75
258.624,74
259.551,79
260.524,82
261.644,79
262.525,80
263.399,78
264.618,79
265.496,79
266.375,80
267.592,79
268.570,79
269.347,78
270.566,78
271.450,78
272.369,78
273.540,78
274.417,78
275.343,78
276.513,76
277.391,76
278.317,76
279.514,85
280.413,84
281.315,83
282.461,83
283.387,83
284.265,83
285.487,83
286.361,83
287.264,83
288.458,83
289.387,83
290.213,88
291.431,80
292.324,79
293.186,77
294.415,76
295.283,74
296.160,73
297.699,74
298.399,74
299.183,73
300.354,73
301.231,73
302.157,73
303.327,73
304.207,73
305.142,73
306.520,73
307.230,73
308.153,63
309.296,59
310.200,57
311.078,55
312.248,53
313.174,52
314.150,53
315.271,63
316.180,59
317.026,57
318.254,57
319.122,58
320.000,57
321.218,67
322.096,72
323.022,74
324.241,78
325.117,75
326.040,74
327.197,74
328.092,74
328.995,67
330.140,71
331.066,74
331.943,74
333.165,72
334.040,72
334.917,72
336.137,72
337.015,72
337.931,80
339.110,77
340.005,76
340.914,76
342.089,78
343.010,81
343.887,81
345.106,82
345.971,83
346.861,82
348.053,82
348.958,82
349.839,82
351.005,82
351.980,82
352.812,82
354.028,82
354.905,82
355.783,82
357.050,76
357.879,79
358.757,78
359.977,79
360.856,80
361.784,81
362.978,81
363.827,80
364.753,79
365.972,79
366.800,79
367.730,79
368.897,79
369.823,79
370.701,79
371.874,79
372.797,79
373.674,79
374.849,79
375.771,79
376.648,85
377.867,87
378.744,89
379.622,91
380.841,89
381.718,89
382.596,89
383.863,89
384.696,89
385.618,89
386.791,91
387.769,92
388.593,91
389.763,91
390.640,91
391.592,91
392.742,91
393.662,84
394.541,88
395.761,86
396.646,87
397.514,86
398.732,88
399.610,87
400.487,86
401.706,85
402.584,84
403.461,83
404.680,83
405.562,83
406.435,83
407.659,83
408.531,83
409.458,87
410.629,84
411.505,85
412.431,84
413.602,84
414.528,84
415.441,84
416.675,84
417.502,84
418.379,78
419.647,81
420.475,80
421.402,80
422.573,75
