df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,temperature
5.996,31.375
6.774,31.406
7.700,31.391
8.724,31.406
9.699,31.438
10.723,31.500
11.747,31.469
12.721,31.484
13.697,31.484
14.720,31.484
15.845,31.547
16.726,31.547
17.695,31.625
18.718,31.672
19.695,31.703
20.867,31.688
21.935,31.719
22.717,31.719
23.692,31.750
24.714,31.797
25.836,31.797
26.957,31.797
27.700,31.797
28.712,31.828
29.736,31.875
30.711,31.938
31.736,31.938
32.710,31.969
33.879,31.969
34.718,32.000
35.740,32.031
36.718,32.062
37.731,32.062
38.706,32.062
39.730,32.125
40.948,32.125
41.763,32.156
42.900,32.188
43.728,32.219
44.702,32.219
45.823,32.250
46.701,32.250
47.725,32.281
48.700,32.281
50.018,32.250
50.796,32.281
51.722,32.250
52.697,32.281
53.867,32.281
54.696,32.281
55.721,32.250
56.708,32.250
57.721,32.312
58.716,32.281
59.719,32.312
60.693,32.344
61.716,32.375
62.740,32.375
63.812,32.375
64.693,32.375
65.714,32.438
66.789,32.438
67.713,32.500
68.737,32.531
69.958,32.562
70.687,32.594
71.716,32.594
72.685,32.625
73.757,32.688
74.732,32.719
75.712,32.750
76.683,32.781
77.755,32.750
78.730,32.781
79.706,32.781
80.975,32.750
81.706,32.781
82.787,32.781
83.724,32.750
84.727,32.781
85.882,32.781
86.748,32.781
87.708,32.781
88.750,32.844
90.025,32.812
90.723,32.844
91.704,32.844
92.779,32.938
93.746,32.938
94.794,33.031
95.721,33.031
96.720,33.031
98.059,33.062
98.758,33.062
99.697,33.094
100.814,33.094
101.984,33.125
102.716,33.062
103.731,33.062
104.715,33.000
105.840,33.000
106.715,33.000
107.689,33.000
108.713,33.000
109.700,33.000
111.139,32.969
111.686,33.000
112.713,33.000
113.688,33.000
114.709,33.031
115.683,33.094
116.711,33.125
117.978,33.094
118.707,33.094
119.682,33.094
120.705,33.125
122.122,33.125
122.748,33.125
123.776,33.125
124.703,33.156
125.726,33.188
126.702,33.188
127.728,33.250
128.701,33.219
129.724,33.219
130.700,33.250
131.723,33.219
132.846,33.219
133.798,33.250
134.756,33.219
135.742,33.219
136.695,33.219
137.720,33.219
138.694,33.250
139.718,33.250
140.744,33.219
141.765,33.250
142.692,33.281
143.716,33.250
144.715,33.250
145.715,33.250
146.693,33.250
147.814,33.250
148.689,33.250
149.712,33.250
150.688,33.250
151.711,33.250
152.695,33.219
153.709,33.281
155.074,33.312
155.709,33.344
156.732,33.312
157.707,33.312
158.782,33.281
159.755,33.312
160.681,33.312
161.706,33.312
162.680,33.312
163.753,33.312
164.679,33.312
165.703,33.312
166.679,33.312
167.706,33.344
168.728,33.375
169.801,33.406
170.675,33.438
171.699,33.438
172.674,33.469
173.795,33.500
174.770,33.500
175.697,33.500
176.769,33.500
177.744,33.531
178.719,33.531
179.694,33.500
180.815,33.500
181.693,33.500
182.718,33.469
183.692,33.469
184.820,33.500
185.739,33.531
186.714,33.562
187.689,33.531
188.713,33.500
189.688,33.562
190.713,33.562
191.885,33.562
192.711,33.562
193.686,33.562
194.710,33.531
195.706,33.531
196.713,33.562
197.829,33.594
198.732,33.594
199.688,33.562
200.706,33.594
201.974,33.625
202.802,33.625
203.680,33.625
204.704,33.656
205.680,33.656
206.755,33.625
207.677,33.656
208.701,33.656
209.676,33.656
210.749,33.625
211.844,33.625
212.699,33.625
213.674,33.625
214.700,33.594
215.721,33.594
216.696,33.625
217.671,33.625
218.744,33.625
219.670,33.625
220.694,33.656
221.718,33.656
222.693,33.656
223.695,33.656
224.804,33.656
225.667,33.656
226.701,33.688
227.957,33.625
228.689,33.656
229.713,33.688
230.688,33.688
231.732,33.625
232.735,33.656
233.718,33.625
234.689,33.656
235.733,33.656
236.690,33.656
237.708,33.688
239.015,33.688
239.707,33.688
240.682,33.688
241.928,33.750
242.689,33.750
243.706,33.781
244.807,33.781
245.705,33.750
246.727,33.719
247.702,33.750
248.676,33.750
249.723,33.750
250.700,33.750
251.748,33.750
253.018,33.750
253.698,33.781
254.673,33.781
255.815,33.781
256.672,33.781
257.700,33.781
258.679,33.812
259.698,33.812
260.817,33.781
261.793,33.781
262.670,33.750
263.692,33.750
264.670,33.750
265.730,33.719
266.909,33.719
267.690,33.719
268.713,33.719
269.688,33.688
270.956,33.656
271.688,33.688
272.683,33.719
273.686,33.719
274.661,33.719
275.691,33.719
276.712,33.719
277.719,33.719
278.708,33.750
279.726,33.781
280.853,33.812
281.908,33.812
282.705,33.812
283.681,33.812
284.704,33.875
285.684,33.875
286.703,33.875
287.678,33.875
288.702,33.875
289.677,33.844
290.700,33.844
291.676,33.875
292.707,33.875
293.674,33.875
294.719,33.812
295.673,33.812
296.723,33.844
297.776,33.812
298.697,33.781
299.822,33.812
300.704,33.781
301.669,33.781
302.693,33.750
303.717,33.750
304.692,33.781
305.715,33.750
306.693,33.781
307.961,33.844
308.691,33.812
309.791,33.812
310.737,33.812
311.781,33.812
312.687,33.812
313.688,33.812
314.832,33.812
315.661,33.812
316.737,33.812
317.955,33.812
318.684,33.844
