df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,omega
35.911,0.563
36.806,0.573
40.267,0.563
41.293,0.573
41.919,0.575
42.755,0.576
43.485,0.575
44.311,0.573
45.241,0.575
46.018,0.573
48.407,0.575
49.242,0.569
50.018,0.561
50.847,0.561
51.529,0.558
52.359,0.558
53.048,0.558
53.968,0.558
54.749,0.558
55.574,0.559
56.451,0.561
57.331,0.559
58.068,0.559
58.749,0.559
59.732,0.558
60.497,0.558
61.280,0.558
62.113,0.558
62.981,0.558
63.767,0.558
64.595,0.558
65.278,0.558
66.012,0.556
66.692,0.555
67.472,0.555
68.109,0.554
68.934,0.554
69.761,0.554
70.017,0.554
71.379,0.554
72.249,0.553
73.176,0.552
74.005,0.554
74.739,0.554
77.222,0.554
85.610,0.554
86.293,0.554
87.022,0.554
89.558,0.552
90.337,0.547
91.354,0.545
92.823,0.544
93.896,0.544
94.383,0.539
95.225,0.534
96.047,0.533
96.824,0.530
97.552,0.530
98.281,0.526
99.113,0.528
99.796,0.530
100.870,0.530
101.508,0.530
102.282,0.530
103.013,0.528
104.669,0.528
105.354,0.526
106.283,0.524
107.471,0.524
108.135,0.524
109.841,0.524
110.423,0.526
111.304,0.524
111.934,0.522
113.453,0.522
114.283,0.524
116.714,0.522
122.612,0.525
125.246,0.527
131.293,0.526
132.993,0.526
134.662,0.526
138.028,0.526
138.749,0.526
140.406,0.530
141.479,0.535
142.219,0.543
143.722,0.555
144.459,0.563
145.528,0.568
146.210,0.572
146.846,0.572
147.720,0.580
148.353,0.580
149.472,0.580
157.825,0.585
171.860,0.585
175.750,0.583
178.881,0.578
180.485,0.580
181.358,0.579
184.106,0.581
187.310,0.581
188.379,0.580
189.742,0.579
191.207,0.579
197.172,0.576
199.550,0.572
205.394,0.572
206.417,0.572
207.056,0.572
211.301,0.574
216.994,0.568
217.487,0.568
218.365,0.574
219.243,0.568
219.977,0.568
221.629,0.568
223.044,0.568
223.969,0.568
224.651,0.563
225.382,0.563
225.815,0.559
225.828,0.559
227.582,0.562
233.087,0.559
235.964,0.559
242.105,0.559
242.788,0.555
257.366,0.555
264.484,0.555
270.684,0.551
278.483,0.555
279.215,0.555
279.453,0.555
