df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,ppg_quality
57.644,91
58.654,92
59.664,94
61.684,91
63.704,98
65.724,95
66.734,96
68.754,94
70.774,94
72.794,91
74.814,92
76.834,95
78.854,87
79.864,79
81.884,59
83.904,50
85.924,46
87.944,46
89.964,63
91.984,86
92.994,95
95.014,92
97.034,95
98.044,96
99.054,94
101.074,93
103.094,88
104.104,91
105.114,91
106.124,90
108.144,88
109.154,88
110.164,88
112.184,89
114.204,87
116.224,91
117.234,92
118.244,92
121.274,89
122.284,82
123.294,70
125.314,55
127.334,50
128.344,45
130.364,32
132.384,50
134.404,76
135.414,74
136.424,69
138.444,73
140.464,79
142.484,78
145.514,81
147.534,93
149.554,91
151.574,83
153.594,70
155.614,52
156.624,41
158.644,26
160.664,17
162.684,26
164.704,18
166.724,17
168.744,31
171.774,52
172.784,58
173.794,74
174.804,89
175.814,95
177.834,96
179.854,92
180.864,90
181.874,89
182.884,84
184.904,72
186.924,78
188.944,85
190.964,81
192.984,72
195.004,70
196.014,71
198.034,73
199.044,72
200.054,63
202.074,46
203.084,42
204.094,40
205.104,35
207.124,31
208.134,30
209.144,31
211.164,53
212.174,58
213.184,65
214.194,69
215.204,73
216.214,75
217.224,73
218.234,72
219.244,72
221.264,76
222.274,79
224.294,82
226.314,81
227.324,83
228.334,84
229.344,81
230.354,80
232.374,80
233.384,79
234.394,79
235.404,81
237.424,80
239.444,80
241.464,81
242.474,81
244.494,79
245.504,63
246.514,58
248.534,55
250.554,52
252.574,39
253.584,28
254.594,20
255.604,22
256.614,11
257.624,1
259.644,8
260.644,19
261.654,21
263.674,25
264.684,31
265.694,44
267.714,43
269.734,23
270.744,10
272.764,2
278.824,18
280.844,28
282.864,26
283.874,33
285.894,43
287.914,47
289.934,32
291.954,22
292.964,25
294.984,19
295.994,21
297.004,29
299.024,24
301.044,32
303.064,26
305.084,26
307.104,9
308.114,7
312.154,11
313.164,28
314.174,30
316.194,32
318.214,35
320.234,41
322.254,32
323.264,23
325.284,16
326.294,18
328.314,8
329.324,5
331.344,6
342.454,9
343.464,17
345.484,23
346.494,26
347.504,47
349.524,62
351.544,60
352.554,64
353.564,67
355.584,67
357.604,35
359.624,26
360.634,35
362.654,20
364.674,15
366.694,29
368.714,34
369.724,33
370.734,23
372.754,28
373.764,31
374.774,32
375.784,27
376.794,29
377.804,28
379.824,26
381.844,41
383.864,65
385.884,81
386.894,87
388.914,84
389.924,88
390.934,79
391.944,67
392.954,63
393.964,61
394.974,55
396.994,32
400.024,30
402.044,31
407.094,17
408.104,27
409.114,37
411.134,56
412.144,62
413.154,70
415.174,81
417.194,82
419.214,72
421.234,48
423.254,39
424.264,33
425.274,24
426.284,22
428.304,26
429.314,32
430.324,37
431.334,43
432.344,44
434.364,49
435.374,55
437.394,63
439.414,63
441.434,80
443.454,100
444.464,100
446.484,98
447.494,94
448.504,94
450.524,91
452.544,81
453.554,76
454.564,69
456.584,69
458.604,67
460.624,61
461.634,60
463.654,67
464.664,78
465.674,83
466.684,78
467.694,73
468.704,73
469.714,68
471.734,60
474.764,56
476.784,50
478.804,42
480.824,49
482.844,71
483.854,55
484.864,45
485.874,15
486.884,8
487.894,3
489.914,32
