df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,rr_int
9.644,4190
10.720,795
11.303,905
12.131,760
12.960,805
13.789,860
14.618,880
15.349,775
16.177,770
17.009,755
17.689,785
18.518,790
19.347,820
20.175,880
21.311,870
21.881,780
22.859,840
23.539,930
24.368,795
25.197,790
25.880,840
26.708,780
27.540,765
28.268,785
29.098,775
29.955,780
30.901,945
31.876,990
32.712,885
33.692,840
34.370,840
35.045,805
35.876,760
36.751,780
37.580,920
38.409,875
39.238,825
40.213,865
41.041,900
41.894,850
42.699,800
43.430,835
44.260,775
45.088,795
45.917,835
46.600,825
47.428,755
48.257,800
49.089,835
49.963,890
50.792,810
51.475,800
52.325,805
52.991,760
53.863,745
54.692,835
55.521,860
56.350,825
57.179,775
58.013,835
58.700,835
59.525,775
60.396,790
61.225,815
62.054,870
62.884,845
63.712,845
64.540,875
65.223,805
65.957,720
66.637,745
67.319,715
68.054,705
68.880,700
69.708,785
69.762,825
70.538,10
71.241,815
72.195,780
73.024,905
73.852,915
74.681,780
75.559,795
76.388,815
77.070,865
77.899,780
78.582,750
78.874,695
79.167,645
80.532,755
81.409,655
82.336,855
83.164,895
83.896,820
84.725,760
85.553,820
86.239,800
86.971,755
87.796,690
88.625,790
89.453,880
90.282,920
91.135,795
91.991,815
92.769,810
93.647,855
94.329,800
95.157,815
95.994,805
96.695,785
97.497,765
98.230,775
99.058,785
99.740,745
100.569,735
101.400,805
102.129,830
102.958,795
103.787,830
104.615,830
105.298,755
106.029,700
106.712,715
107.403,730
108.077,700
108.957,715
109.637,780
110.320,775
111.153,715
111.831,755
112.563,775
113.405,730
114.222,745
115.049,870
115.731,840
116.560,755
117.291,795
117.974,745
118.270,710
118.657,265
119.396,440
119.486,370
119.924,415
120.657,405
121.046,745
121.874,350
122.556,845
123.532,765
123.535,890
124.218,10
125.096,815
125.189,750
125.252,215
126.067,545
126.070,285
126.457,10
127.285,440
128.017,780
128.699,715
129.528,735
130.357,770
131.191,860
131.480,830
132.026,220
132.843,620
133.819,900
134.649,905
134.793,830
134.797,215
134.800,15
134.940,10
135.476,10
136.354,575
137.036,835
137.914,765
138.694,825
139.523,870
140.351,855
141.229,785
142.064,810
142.887,830
143.569,830
144.398,780
145.226,830
146.104,840
146.791,815
147.664,750
148.298,770
149.127,780
149.419,770
149.473,280
149.864,15
150.544,400
150.691,680
150.738,200
150.742,10
150.746,10
151.232,10
151.912,485
152.785,740
152.791,840
153.759,10
153.856,1030
153.861,10
154.295,10
154.983,460
155.662,735
155.711,655
156.391,10
157.073,685
157.756,790
157.762,675
158.487,10
158.888,645
158.975,480
159.319,10
159.560,295
160.979,325
161.510,1275
162.095,750
162.339,535
162.778,220
163.460,525
163.606,630
163.610,200
164.045,10
165.020,420
165.410,930
166.535,405
167.653,1120
169.457,1190
170.286,1715
171.115,825
171.811,835
172.529,715
173.211,805
174.040,705
174.186,725
174.722,225
175.454,465
175.697,750
175.751,225
176.282,10
177.111,590
177.949,820
178.768,860
179.606,895
180.426,855
181.109,790
181.840,695
182.669,745
183.352,735
184.087,780
184.765,700
185.594,725
186.423,800
187.254,845
188.080,845
188.763,770
189.591,745
190.324,810
191.152,800
191.835,785
192.566,705
193.396,730
194.081,755
194.906,780
195.588,790
196.417,755
197.150,770
197.392,780
197.395,225
197.977,30
198.816,545
199.492,855
200.074,695
200.907,520
201.438,900
201.741,580
202.414,280
203.002,700
203.684,485
204.510,790
205.339,810
206.167,805
207.002,835
207.728,805
208.410,780
209.093,725
209.775,680
209.778,700
210.506,10
211.189,690
212.018,645
212.847,835
213.578,790
214.362,820
215.090,735
215.918,780
216.747,810
217.432,795
218.258,775
219.091,815
219.860,820
220.647,770
221.476,790
222.305,830
222.991,815
223.816,755
224.547,755
225.279,735
225.767,670
225.816,670
226.497,10
227.326,700
227.335,710
227.897,10
228.155,680
228.691,180
229.433,535
230.105,730
230.787,745
231.620,715
232.299,740
233.030,730
233.567,690
234.250,675
234.980,685
235.663,700
236.353,655
236.638,660
237.028,250
237.716,440
238.295,705
238.452,665
238.611,10
239.127,165
239.807,525
240.636,730
241.375,835
242.049,740
242.732,725
242.740,740
243.025,10
243.172,380
244.390,730
244.394,485
245.125,15
246.194,700
246.490,1085
246.494,325
247.637,320
248.002,825
248.290,320
249.120,370
249.850,825
250.387,740
250.826,580
251.363,415
252.065,515
252.775,715
253.019,685
253.165,325
253.458,10
254.433,285
254.440,1090
254.568,15
254.579,10
254.585,10
254.627,15
254.633,10
254.638,15
254.822,10
254.828,10
254.969,220
255.002,135
255.017,10
255.021,10
255.066,15
255.077,20
255.081,15
255.084,10
255.119,10
255.125,15
255.168,70
255.172,15
255.175,15
256.383,550
257.211,765
258.040,830
258.913,830
259.554,765
260.288,775
260.965,710
261.797,720
261.846,780
262.624,10
263.452,775
264.430,935
264.485,950
265.261,10
265.549,770
265.694,365
266.089,30
266.939,420
267.742,890
268.479,830
268.572,790
268.863,10
269.449,375
270.131,475
270.669,730
270.960,530
271.789,350
272.227,850
272.325,550
273.300,760
