df_hash,22ZHK4.FCVC8X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.KMKG
person_label,V83
date_time_start,2025-11-03_17-01-15.271000_+03
date_time_start_unix,1762174875.271
date_time_end,2025-11-03_17-09-33.051000_+03
length_difference_noticed,no

time,spo2
35.884,97
36.754,97
40.221,97
41.044,97
41.897,97
42.703,97
43.435,97
44.266,97
45.091,97
45.920,97
48.261,97
49.235,97
49.967,97
50.796,97
51.478,98
52.335,98
53.035,98
53.867,98
54.699,98
55.524,97
56.364,97
57.184,97
58.056,97
58.742,97
59.718,98
60.400,98
61.228,98
62.058,98
62.887,98
63.715,98
64.544,98
65.227,98
66.006,98
66.642,98
67.323,98
68.102,98
68.883,98
69.713,98
70.006,98
71.369,98
72.200,98
73.027,98
73.855,98
74.686,98
77.073,98
85.562,98
86.287,98
87.016,98
89.457,98
90.286,98
91.138,98
92.774,98
93.664,98
94.332,98
95.161,98
96.035,98
96.818,98
97.501,98
98.253,98
99.061,98
99.743,98
100.573,98
101.498,98
102.132,98
102.961,98
104.619,98
105.302,98
106.034,98
107.447,98
108.081,98
109.642,98
110.331,98
111.297,98
111.834,98
113.443,98
114.271,98
116.570,98
122.560,98
125.193,98
131.286,98
132.847,98
134.655,98
137.917,98
138.698,98
140.354,98
141.233,98
142.210,98
143.573,98
144.401,97
145.232,97
146.111,97
146.835,97
147.668,97
148.302,97
149.424,97
157.805,97
171.846,97
175.701,97
178.774,97
180.430,97
181.114,97
184.092,97
187.303,97
188.084,97
189.595,97
191.155,97
197.162,97
199.541,97
205.342,97
206.171,97
207.045,97
211.192,97
216.750,97
217.481,97
218.264,97
219.236,97
219.967,97
221.479,97
223.036,97
223.820,97
224.551,97
225.282,97
225.774,97
225.822,97
227.573,97
233.035,97
235.668,97
242.054,97
242.781,98
257.217,98
264.476,98
270.676,98
278.327,98
279.202,98
279.303,98
