df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,battery
8.133,67
18.130,67
28.123,67
38.117,66
48.112,66
58.155,66
68.154,66
78.144,66
88.144,66
98.136,66
108.128,66
118.123,66
128.118,66
138.210,66
148.107,66
158.101,66
168.096,66
178.139,66
188.134,65
198.141,65
208.123,65
218.118,65
228.181,65
238.107,65
248.345,65
258.145,65
268.091,65
278.134,65
288.129,65
298.124,65
308.227,65
318.185,65
328.108,65
338.248,65
348.097,64
358.148,64
368.135,64
378.130,64
388.124,64
398.119,64
408.164,64
418.108,64
428.103,64
438.097,64
448.097,64
458.187,64
468.131,64
478.124,64
488.119,64
