df_hash,22ZHK4.RJ56NA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Z1J9
person_label,V85(2)
date_time_start,2025-11-04_14-29-31.433000_+03
date_time_start_unix,1762252171.433
date_time_end,2025-11-04_14-37-48.767000_+03
length_difference_noticed,no

time,temperature
5.208,34.469
6.232,34.469
7.207,34.531
8.379,34.531
9.255,34.562
10.230,34.531
11.305,34.562
12.229,34.531
13.204,34.531
14.471,34.531
15.218,34.500
16.228,34.531
17.250,34.500
18.225,34.500
19.249,34.469
20.228,34.469
21.249,34.469
22.246,34.469
23.247,34.500
24.319,34.531
25.246,34.625
26.244,34.656
27.245,34.656
28.220,34.656
29.250,34.688
30.219,34.656
31.489,34.688
32.218,34.688
33.241,34.688
34.266,34.688
35.289,34.625
36.215,34.625
37.240,34.688
38.263,34.688
39.290,34.656
40.315,34.656
41.286,34.688
42.511,34.656
43.240,34.625
44.231,34.656
45.235,34.656
46.358,34.688
47.234,34.688
48.209,34.719
49.233,34.719
50.208,34.781
51.232,34.812
52.353,34.844
53.248,34.875
54.206,34.844
55.229,34.844
56.261,34.750
57.278,34.750
58.204,34.719
59.228,34.750
60.207,34.750
61.227,34.781
62.203,34.750
63.226,34.781
64.201,34.812
65.225,34.812
66.248,34.844
67.246,34.844
68.247,34.844
69.222,34.875
70.246,34.875
71.221,34.812
72.252,34.844
73.280,34.844
74.244,34.844
75.222,34.844
76.243,34.875
77.236,34.875
78.241,34.875
79.231,34.875
80.241,34.875
81.216,34.875
82.632,34.875
83.219,34.875
84.273,34.875
85.222,34.875
86.237,34.906
87.212,34.938
88.237,34.906
89.214,34.938
90.235,34.906
91.211,34.938
92.234,34.938
93.209,34.938
94.233,34.969
95.208,34.938
96.232,34.938
97.207,34.875
98.477,34.875
99.226,34.844
100.230,34.844
101.400,34.844
102.229,34.875
103.645,34.844
104.228,34.844
105.203,34.875
106.228,34.906
107.202,34.906
108.226,34.906
109.204,34.938
110.225,34.938
111.200,34.938
112.224,34.938
113.266,34.938
114.321,34.938
115.246,34.938
116.253,34.875
117.245,34.938
118.220,34.938
119.246,34.969
120.219,35.000
121.243,35.031
122.218,35.000
123.246,35.031
124.415,35.000
125.241,35.000
126.216,35.094
127.240,35.062
128.215,35.031
129.238,35.000
130.215,35.000
131.241,34.906
132.234,34.938
133.238,34.875
134.212,34.938
135.236,34.938
136.211,34.906
137.235,34.906
138.226,34.906
139.233,34.906
140.211,34.875
141.232,34.906
142.258,34.906
143.231,34.938
144.206,34.906
145.234,34.906
146.277,34.875
147.229,34.875
148.204,34.906
149.276,34.906
150.203,34.938
151.227,34.969
152.202,34.969
153.226,34.969
154.249,34.938
155.225,34.969
156.300,34.969
157.516,34.969
158.209,34.969
159.242,35.000
160.246,35.000
161.226,35.000
162.246,35.000
163.221,35.031
164.247,35.062
165.220,35.062
166.246,35.062
167.316,35.094
168.242,35.094
169.217,35.094
170.241,35.125
171.513,35.094
172.240,35.062
173.215,35.031
174.239,35.062
175.214,35.062
176.240,35.062
177.218,35.000
178.237,35.000
179.257,34.969
180.236,34.969
181.211,34.969
182.234,35.031
183.217,35.031
184.234,35.031
185.504,35.062
186.234,35.094
187.208,35.125
188.232,35.125
189.207,35.156
190.238,35.156
191.206,35.156
192.375,35.094
193.248,35.125
194.231,35.094
195.203,35.094
196.227,35.094
197.202,35.062
198.226,35.062
199.250,35.062
200.471,35.094
201.200,35.125
202.236,35.156
203.219,35.125
204.223,35.125
205.452,35.156
206.222,35.156
207.197,35.188
208.221,35.188
209.203,35.188
210.220,35.188
211.348,35.125
212.219,35.125
213.242,35.094
214.218,35.125
215.247,35.125
216.265,35.125
217.240,35.125
218.315,35.094
219.240,35.125
220.214,35.125
221.238,35.156
222.213,35.188
223.237,35.188
224.212,35.188
225.238,35.219
226.219,35.219
227.237,35.250
228.407,35.281
229.234,35.219
230.229,35.188
231.287,35.188
232.257,35.188
233.231,35.219
234.353,35.156
235.231,35.156
236.347,35.156
237.230,35.125
238.205,35.125
239.254,35.156
240.503,35.250
241.227,35.219
242.203,35.219
243.226,35.188
244.201,35.188
245.227,35.188
246.200,35.156
247.343,35.188
248.348,35.188
249.223,35.156
250.233,35.125
251.225,35.188
252.217,35.188
253.422,35.188
254.196,35.219
255.512,35.219
256.198,35.250
257.219,35.250
258.196,35.219
259.318,35.188
260.242,35.188
261.314,35.188
262.241,35.094
263.227,35.125
264.240,35.125
265.215,35.094
266.238,35.062
267.214,35.031
268.237,35.125
269.212,35.156
270.236,35.156
271.260,35.156
272.247,35.250
273.307,35.250
274.237,35.219
275.209,35.219
276.382,35.250
277.208,35.281
278.232,35.188
279.256,35.188
280.230,35.188
281.206,35.188
282.279,35.156
283.257,35.156
284.229,35.156
285.204,35.156
286.228,35.156
287.449,35.156
288.226,35.156
289.213,35.156
290.225,35.156
291.201,35.156
292.226,35.156
293.199,35.188
294.223,35.188
295.198,35.219
296.222,35.219
297.197,35.250
298.223,35.281
299.196,35.250
300.220,35.281
301.195,35.312
302.328,35.344
303.194,35.312
304.229,35.312
305.193,35.312
306.260,35.312
307.192,35.312
308.316,35.250
309.240,35.250
310.215,35.219
311.239,35.219
312.213,35.250
313.238,35.219
314.216,35.219
315.257,35.188
316.212,35.219
317.235,35.219
