df_hash,22ZHK4.PRJFYW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BQGG
person_label,V88
date_time_start,2025-11-04_15-13-01.042000_+03
date_time_start_unix,1762254781.042
date_time_end,2025-11-04_15-21-45.569000_+03
length_difference_noticed,no

time,quality
8.859,100
9.786,100
10.761,100
12.125,100
12.760,0
13.685,0
14.856,34
15.738,38
16.613,45
17.979,43
18.708,42
19.585,52
20.804,66
21.682,82
22.608,85
23.826,85
24.656,77
25.582,70
26.800,68
27.629,69
28.684,62
29.726,57
30.950,58
31.604,69
32.699,70
33.626,75
34.504,78
35.722,76
36.649,64
37.577,61
38.697,63
39.817,66
40.451,62
41.913,62
42.746,65
43.450,66
44.835,55
45.548,57
46.457,58
47.669,53
48.590,47
49.564,45
50.688,51
51.518,57
52.395,55
53.593,63
54.492,58
55.369,55
56.637,57
57.466,59
58.487,62
59.661,63
60.441,64
61.512,63
62.536,56
63.414,61
64.340,62
65.559,38
66.415,34
67.321,47
68.661,45
69.364,23
70.430,36
71.485,42
72.394,49
73.304,29
74.574,33
75.357,35
76.238,20
77.454,29
78.426,54
79.303,54
80.473,63
81.429,41
82.304,38
83.451,35
84.374,41
85.256,33
86.376,45
87.399,43
88.181,43
89.357,49
90.322,42
91.199,36
92.615,31
93.296,37
94.127,32
95.347,40
96.225,40
97.101,54
98.325,54
99.246,57
100.075,57
101.295,67
102.171,68
103.100,67
104.313,66
105.190,58
106.072,59
107.287,61
108.143,48
109.093,48
110.264,38
111.187,37
112.019,38
113.190,51
114.310,60
114.993,62
116.261,74
117.284,77
117.970,74
119.188,73
120.211,72
121.233,73
122.160,75
123.134,80
123.964,82
125.133,88
126.011,89
126.944,91
128.108,92
128.985,78
129.911,75
131.108,76
132.008,72
132.955,72
134.056,82
134.982,79
136.187,73
137.318,70
137.956,70
138.836,73
140.051,73
140.931,77
141.807,76
143.025,80
143.905,71
144.780,72
146.292,84
146.877,80
148.050,70
148.975,69
149.852,74
150.776,75
151.950,81
152.825,84
153.754,80
154.921,75
155.825,84
156.724,90
157.894,33
158.772,22
159.846,0
160.919,0
161.938,0
162.676,0
163.901,26
164.768,39
165.646,39
166.839,31
167.742,39
168.648,38
169.838,33
170.716,38
171.594,32
173.104,37
173.738,34
174.866,48
175.834,61
176.693,66
177.543,80
179.155,60
179.642,55
180.517,59
182.126,64
182.812,73
183.537,75
185.049,90
185.586,81
186.515,56
187.977,48
188.562,43
189.485,34
190.656,30
191.886,31
192.460,44
193.629,43
194.555,42
195.433,50
196.653,52
197.582,52
198.406,45
199.650,38
200.503,48
201.380,57
202.940,50
203.535,48
204.353,52
205.715,54
206.549,53
207.469,60
208.791,60
209.423,47
210.447,46
211.518,45
212.495,48
213.513,38
214.550,40
215.417,43
216.295,32
217.561,45
218.462,48
219.268,31
220.730,29
221.389,29
222.241,30
223.513,30
224.337,30
225.218,31
226.433,39
227.407,35
228.486,19
229.649,0
230.283,0
231.353,3
232.720,6
233.313,4
234.183,2
235.352,29
236.230,32
237.156,25
238.326,33
239.302,22
240.130,25
241.347,34
242.225,25
243.102,25
244.322,25
245.207,21
246.075,28
247.297,20
248.174,27
249.051,21
250.269,23
251.146,27
252.263,0
253.345,6
254.264,9
255.044,5
256.271,1
257.188,5
258.063,0
259.282,0
260.114,40
260.990,40
262.306,40
263.135,41
263.964,50
265.134,69
266.060,65
266.939,60
268.107,61
269.036,65
269.956,65
271.129,61
272.296,31
272.884,22
274.151,27
275.226,0
275.857,1
277.076,0
278.148,0
279.174,7
280.292,25
280.930,58
281.854,41
283.022,44
283.907,45
284.828,44
286.236,44
286.970,42
287.801,38
289.020,32
290.240,0
290.772,21
291.943,21
292.868,24
293.748,40
294.964,46
295.842,46
296.768,37
297.939,44
299.010,46
299.763,55
300.911,53
301.789,42
302.763,60
303.985,73
304.763,54
305.688,56
306.858,60
307.735,39
308.662,27
309.832,23
310.758,0
311.637,0
312.805,0
313.730,0
314.661,0
315.877,39
317.000,47
317.586,35
318.802,40
319.969,42
320.571,32
321.773,38
322.651,26
323.585,32
324.748,25
325.627,34
326.596,42
327.734,48
328.598,22
329.524,33
330.739,22
331.671,21
332.497,23
333.764,36
334.593,29
335.497,32
336.641,35
337.664,45
338.736,36
339.662,36
340.592,47
341.417,44
342.830,42
343.562,38
344.393,32
345.755,27
346.488,24
347.413,23
348.680,54
349.472,70
350.386,62
351.556,57
352.725,60
353.652,63
354.580,52
355.484,46
356.335,50
357.503,44
358.524,51
359.309,50
360.571,59
361.402,41
362.325,39
363.502,24
364.376,22
365.348,20
366.521,32
367.446,42
368.227,73
369.737,75
370.325,77
371.493,73
372.419,79
373.642,81
374.223,46
375.541,25
376.461,25
377.199,0
378.414,30
379.549,0
380.169,0
381.632,31
382.265,66
383.237,55
384.315,41
385.241,49
386.118,44
387.335,35
388.213,22
389.141,24
390.503,25
391.236,20
392.277,28
393.571,43
394.159,55
395.086,37
396.259,34
397.135,29
398.159,15
399.229,0
400.153,0
401.227,0
402.297,0
403.229,0
404.010,0
405.179,0
406.257,43
407.076,42
408.202,39
409.149,63
409.953,67
411.172,69
412.051,73
412.928,61
414.146,49
415.071,46
415.949,47
417.262,53
417.997,52
418.924,47
420.093,34
420.971,21
421.895,0
423.066,0
