df_hash,22ZHK4.A1FC45
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FG7V
person_label,V89
date_time_start,2025-11-04_15-27-15.507000_+03
date_time_start_unix,1762255635.507
date_time_end,2025-11-04_15-36-02.416000_+03
length_difference_noticed,no

time,acc_mag
4.550,1.021
4.580,1.021
4.610,1.023
4.640,1.024
4.670,1.021
4.700,1.020
4.730,1.019
4.760,1.030
4.790,1.021
4.820,1.018
4.850,1.021
4.880,1.023
4.910,1.024
4.940,1.025
4.970,1.027
5.000,1.016
5.030,1.024
5.060,1.025
5.090,1.018
5.120,1.019
5.150,1.021
5.180,1.021
5.210,1.024
5.240,1.024
5.270,1.028
5.300,1.024
5.330,1.017
5.360,1.024
5.390,1.025
5.420,1.025
5.450,1.016
5.480,1.020
5.510,1.024
5.540,1.023
5.570,1.021
5.600,1.024
5.630,1.022
5.660,1.018
5.690,1.024
5.720,1.020
5.750,1.018
5.780,1.020
5.810,1.024
5.840,1.024
5.870,1.022
5.900,1.025
5.930,1.023
5.960,1.022
5.990,1.025
6.020,1.025
6.050,1.021
6.080,1.021
6.110,1.022
6.140,1.025
6.170,1.026
6.200,1.023
6.230,1.018
6.260,1.016
6.290,1.026
6.320,1.021
6.350,1.023
6.380,1.025
6.410,1.025
6.440,1.023
6.470,1.024
6.500,1.023
6.530,1.021
6.560,1.025
6.590,1.025
6.620,1.021
6.650,1.023
6.680,1.021
6.710,1.022
6.740,1.021
6.770,1.025
6.800,1.020
6.830,1.021
6.860,1.022
6.890,1.021
6.920,1.022
6.950,1.020
6.980,1.020
7.010,1.023
7.040,1.024
7.070,1.019
7.100,1.027
7.130,1.024
7.160,1.023
7.190,1.021
7.220,1.027
7.250,1.022
7.280,1.019
7.310,1.021
7.340,1.021
7.370,1.023
7.400,1.021
7.430,1.021
7.460,1.025
7.490,1.022
7.520,1.022
7.550,1.020
7.580,1.022
7.610,1.022
7.640,1.021
7.670,1.021
7.700,1.022
7.730,1.019
7.760,1.021
7.790,1.021
7.820,1.021
7.850,1.023
7.880,1.021
7.910,1.020
7.940,1.022
7.970,1.027
8.000,1.020
8.030,1.020
8.060,1.021
8.090,1.027
8.120,1.023
8.150,1.020
8.180,1.019
8.210,1.021
8.240,1.021
8.270,1.024
8.300,1.021
8.330,1.021
8.360,1.022
8.390,1.024
8.420,1.021
8.450,1.018
8.480,1.019
8.510,1.022
8.540,1.021
8.570,1.023
8.600,1.023
8.630,1.019
8.660,1.022
8.690,1.023
8.720,1.024
8.750,1.021
8.780,1.023
8.810,1.021
8.840,1.024
8.870,1.020
8.900,1.021
8.930,1.021
8.960,1.025
8.990,1.023
9.020,1.019
9.050,1.019
9.080,1.023
9.110,1.022
9.140,1.022
9.170,1.023
9.200,1.023
9.230,1.018
9.260,1.026
9.290,1.021
9.320,1.017
9.350,1.021
9.380,1.023
9.410,1.022
9.440,1.023
9.470,1.022
9.500,1.022
9.530,1.021
9.560,1.022
9.590,1.022
9.620,1.021
9.650,1.022
9.680,1.023
9.710,1.023
9.740,1.024
9.770,1.021
9.800,1.023
9.830,1.025
9.860,1.029
9.890,1.023
9.920,1.021
9.950,1.022
9.980,1.023
10.010,1.020
10.040,1.022
10.070,1.021
10.100,1.018
10.130,1.028
10.160,1.024
10.190,1.014
10.220,1.022
10.250,1.024
10.280,1.020
10.310,1.024
10.340,1.022
10.370,1.023
10.400,1.021
10.430,1.023
10.460,1.019
10.490,1.025
10.520,1.021
10.550,1.020
10.580,1.025
10.610,1.023
10.640,1.025
10.670,1.018
10.700,1.017
10.730,1.026
10.760,1.025
10.790,1.023
10.820,1.024
10.850,1.023
10.880,1.025
10.910,1.026
10.940,1.021
10.970,1.016
11.000,1.021
11.030,1.023
11.060,1.022
11.090,1.025
11.120,1.024
11.150,1.025
11.180,1.023
11.210,1.020
11.240,1.023
11.270,1.024
11.300,1.028
11.330,1.022
11.360,1.018
11.390,1.023
11.420,1.027
11.450,1.022
11.480,1.027
11.510,1.024
11.540,1.020
11.570,1.027
11.600,1.020
11.630,1.019
11.660,1.021
11.690,1.022
11.720,1.024
11.750,1.022
11.780,1.022
11.810,1.022
11.840,1.020
11.870,1.021
11.900,1.023
11.930,1.027
11.960,1.019
11.990,1.015
12.020,1.021
12.050,1.026
12.080,1.022
12.110,1.024
12.140,1.023
12.170,1.018
12.200,1.024
12.230,1.022
12.260,1.020
12.290,1.021
12.320,1.023
12.350,1.025
12.380,1.022
12.410,1.026
12.440,1.021
12.470,1.020
12.500,1.023
12.530,1.029
12.560,1.022
12.590,1.016
12.620,1.022
12.650,1.027
12.680,1.021
12.710,1.021
12.740,1.028
12.770,1.018
12.800,1.030
12.830,1.025
12.860,1.018
12.890,1.020
12.920,1.021
12.950,1.023
12.980,1.021
13.010,1.025
13.040,1.024
13.070,1.021
13.100,1.024
13.130,1.023
13.160,1.026
13.190,1.021
13.220,1.020
13.250,1.021
13.280,1.026
13.310,1.025
13.340,1.028
13.370,1.027
13.400,1.018
13.430,1.026
13.460,1.024
13.490,1.020
13.520,1.021
13.550,1.024
13.580,1.025
13.610,1.025
13.640,1.020
13.670,1.021
13.700,1.021
13.730,1.023
13.760,1.023
13.790,1.024
13.820,1.021
13.850,1.025
13.880,1.023
13.910,1.021
