df_hash,22ZHK4.DKUMNH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.W8L1
person_label,V91(3)
date_time_start,2025-11-04_16-10-05.915000_+03
date_time_start_unix,1762258205.915
date_time_end,-
length_difference_noticed,no

time,ppg_quality
68.208,88
70.228,76
72.248,75
73.258,73
75.278,69
77.298,66
78.307,72
79.307,81
80.317,87
81.327,84
82.338,82
84.357,81
86.378,92
88.397,89
90.418,80
91.427,80
93.448,82
95.467,76
97.488,61
99.508,60
101.527,64
103.548,70
104.558,77
105.567,50
106.577,50
108.597,55
110.618,44
112.628,17
116.668,13
117.677,7
118.688,4
119.698,9
121.717,22
123.738,37
125.758,53
126.768,47
128.787,53
129.798,52
130.808,49
132.827,49
133.838,53
135.857,55
136.868,52
139.897,54
141.918,48
143.927,23
145.948,12
147.968,17
148.978,19
149.987,10
152.008,19
153.017,27
155.037,57
157.058,74
158.067,75
159.078,71
162.108,83
163.118,85
164.127,85
165.138,86
166.147,84
168.168,81
170.187,79
171.198,80
173.218,79
175.237,83
176.248,83
177.258,82
179.278,72
180.287,70
182.308,66
184.328,51
186.347,41
188.368,59
190.388,74
192.407,57
193.418,63
195.437,69
197.457,60
199.478,59
201.498,67
203.517,79
204.528,81
206.547,85
208.567,76
209.578,67
210.588,61
211.597,68
212.608,66
213.618,68
214.627,67
216.647,73
217.657,73
219.677,87
221.698,85
223.718,83
224.728,79
225.737,79
226.748,77
227.758,79
228.767,81
230.787,87
232.808,79
233.817,76
234.828,73
235.838,66
236.847,65
237.858,65
238.868,63
239.877,61
241.897,47
243.918,50
245.937,52
247.957,49
249.978,39
250.987,42
251.998,42
253.008,38
255.028,52
256.037,58
257.047,64
259.067,75
261.088,81
262.097,83
264.118,69
265.127,56
266.138,43
267.147,28
268.157,26
270.177,32
271.187,37
272.197,45
273.207,54
275.227,78
276.237,89
277.248,96
279.267,73
280.278,53
281.288,31
282.297,17
283.308,3
290.378,22
292.397,36
294.417,47
295.427,42
297.447,33
299.468,19
300.477,20
301.487,23
302.498,24
303.507,25
305.528,27
308.558,30
310.577,46
312.598,28
316.637,1
317.647,1
325.727,13
327.748,13
328.757,16
330.778,35
332.797,49
334.818,62
336.838,60
338.857,69
339.868,65
341.887,60
342.897,68
343.908,59
344.917,62
345.927,64
347.947,42
348.957,43
350.977,52
352.998,34
354.007,25
355.017,12
357.038,9
365.118,1
366.128,5
368.147,39
370.167,70
372.188,87
375.218,104
377.237,90
378.248,83
379.257,81
381.278,80
383.297,69
386.327,52
387.338,58
388.348,66
390.368,82
392.387,100
394.408,121
395.417,125
397.437,126
398.447,115
399.457,95
401.477,60
402.487,39
403.497,26
404.507,9
405.517,2
406.527,5
408.547,9
410.567,9
412.587,2
414.607,9
416.627,19
417.637,18
418.647,32
419.657,47
421.677,72
423.697,86
425.717,82
427.737,82
429.757,73
430.767,67
432.787,85
433.797,90
434.807,89
436.827,90
438.847,83
439.857,72
440.867,66
441.877,62
442.887,54
443.897,41
445.917,42
446.927,40
447.937,35
448.947,33
449.957,50
450.967,50
452.987,32
455.007,49
457.027,39
459.047,33
461.067,34
462.077,48
464.097,62
466.117,83
468.137,83
