df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,battery
5.882,55
15.778,55
25.724,55
35.717,55
45.710,55
55.704,55
65.748,55
75.741,55
85.734,55
95.728,55
105.722,55
115.716,55
125.710,55
135.801,54
145.697,54
155.691,54
165.733,54
175.727,54
185.721,54
195.725,54
205.709,54
215.703,54
225.698,54
235.690,54
245.733,54
255.730,54
265.720,54
275.714,54
285.708,54
295.806,54
305.793,54
315.787,54
325.683,54
335.699,54
345.671,54
355.762,54
365.707,54
375.731,54
385.695,54
395.689,54
405.682,54
415.691,54
425.670,54
435.712,54
445.658,54
455.797,54
465.743,53
475.688,53
485.682,53
