df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
6.178,75,75,0
6.814,150,75,1
7.688,225,75,2
8.273,300,75,3
9.150,375,75,4
9.881,450,75,5
10.661,525,75,6
11.329,600,75,7
12.270,675,75,8
12.758,750,75,9
13.635,825,75,10
14.464,900,75,11
15.147,975,75,12
15.731,1050,75,13
16.612,1125,75,14
17.243,1200,75,15
18.120,1275,75,16
18.900,1350,75,17
19.683,1425,75,18
20.216,1500,75,19
21.094,1575,75,20
21.760,1650,75,21
22.605,1725,75,22
23.190,1800,75,23
24.116,1875,75,24
24.662,1950,75,25
25.580,2025,75,26
26.164,2100,75,27
27.135,2175,75,28
27.724,2250,75,29
28.602,2325,75,30
29.138,2400,75,31
30.064,2475,75,32
30.730,2550,75,33
31.564,2625,75,34
32.112,2700,75,35
33.038,2775,75,36
33.680,2850,75,37
34.502,2925,75,38
35.155,3000,75,39
36.034,3075,75,40
36.633,3150,75,41
37.523,3225,75,42
38.157,3300,75,43
38.985,3375,75,44
39.570,3450,75,45
40.568,3525,75,46
41.276,3600,75,47
42.008,3675,75,48
42.739,3750,75,49
43.470,3825,75,50
44.055,3900,75,51
45.078,3975,75,52
45.567,4050,75,53
46.445,4125,75,54
47.029,4200,75,55
48.004,4275,75,56
48.638,4350,75,57
49.563,4425,75,58
50.099,4500,75,59
50.929,4575,75,60
51.534,4650,75,61
52.392,4725,75,62
53.074,4800,75,63
53.903,4875,75,64
54.574,4950,75,65
55.483,5025,75,66
56.000,5100,75,67
56.877,5175,75,68
57.515,5250,75,69
58.388,5325,75,70
58.973,5400,75,71
59.854,5475,75,72
60.486,5550,75,73
61.361,5625,75,74
61.995,5700,75,75
62.873,5775,75,76
63.510,5850,75,77
64.335,5925,75,78
64.969,6000,75,79
65.870,6075,75,80
66.432,6150,75,81
67.406,6225,75,82
67.943,6300,75,83
68.965,6375,75,84
69.406,6450,75,85
70.674,6525,75,86
70.917,6600,75,87
71.794,6675,75,88
72.574,6750,75,89
73.374,6825,75,90
73.890,6900,75,91
74.791,6975,75,92
75.402,7050,75,93
76.279,7125,75,94
76.889,7200,75,95
77.742,7275,75,96
78.404,7350,75,97
79.253,7425,75,98
79.842,7500,75,99
80.764,7575,75,100
81.350,7650,75,101
82.231,7725,75,102
83.104,7800,75,103
83.738,7875,75,104
84.323,7950,75,105
85.201,8025,75,106
85.844,8100,75,107
86.714,8175,75,108
87.297,8250,75,109
88.230,8325,75,110
88.808,8400,75,111
89.686,8475,75,112
90.281,8550,75,113
91.197,8625,75,114
91.782,8700,75,115
92.659,8775,75,116
93.293,8850,75,117
94.171,8925,75,118
94.756,9000,75,119
95.633,9075,75,120
96.267,9150,75,121
97.144,9225,75,122
97.800,9300,75,123
98.656,9375,75,124
99.241,9450,75,125
100.118,9525,75,126
100.703,9600,75,127
101.643,9675,75,128
102.214,9750,75,129
103.124,9825,75,130
103.726,9900,75,131
104.603,9975,75,132
105.237,10050,75,133
106.114,10125,75,134
106.699,10200,75,135
107.649,10275,75,136
108.239,10350,75,137
109.091,10425,75,138
109.673,10500,75,139
110.551,10575,75,140
111.280,10650,75,141
112.082,10725,75,142
112.744,10800,75,143
113.573,10875,75,144
114.158,10950,75,145
115.036,11025,75,146
115.621,11100,75,147
116.547,11174,74,148
117.134,11249,75,149
118.010,11324,75,150
118.644,11399,75,151
119.521,11474,75,152
120.106,11549,75,153
121.130,11624,75,154
121.666,11699,75,155
122.520,11774,75,156
123.080,11849,75,157
124.006,11924,75,158
124.617,11999,75,159
125.517,12074,75,160
126.102,12149,75,161
127.369,12224,75,162
127.565,12299,75,163
128.491,12374,75,164
129.085,12449,75,165
129.953,12524,75,166
130.609,12599,75,167
131.465,12674,75,168
132.098,12749,75,169
132.927,12824,75,170
133.537,12899,75,171
134.438,12974,75,172
135.045,13049,75,173
135.905,13124,75,174
136.539,13199,75,175
137.412,13274,75,176
137.997,13349,75,177
138.923,13424,75,178
139.530,13499,75,179
140.386,13574,75,180
141.022,13649,75,181
141.897,13724,75,182
142.482,13799,75,183
143.362,13874,75,184
143.996,13949,75,185
144.969,14024,75,186
145.456,14099,75,187
146.382,14174,75,188
146.970,14249,75,189
147.942,14324,75,190
148.430,14399,75,191
149.356,14474,75,192
149.990,14549,75,193
