df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.929,209502,344,207297
5.934,209504,342,207315
5.939,209492,345,207307
5.944,209482,343,207306
5.949,209486,345,207304
5.954,209492,343,207297
5.959,209490,347,207289
5.964,209502,344,207310
5.969,209511,351,207306
5.974,209498,341,207286
5.979,209510,344,207304
5.984,209503,342,207310
5.989,209516,344,207316
5.994,209509,342,207313
5.999,209508,344,207311
6.004,209524,343,207313
6.009,209549,345,207325
6.014,209550,346,207338
6.019,209560,343,207338
6.023,209571,344,207347
6.028,209582,347,207355
6.033,209607,347,207362
6.038,209612,351,207367
6.043,209594,350,207378
6.048,209614,351,207377
6.053,209628,349,207396
6.058,209644,351,207399
6.063,209653,351,207396
6.068,209658,346,207401
6.073,209665,343,207410
6.078,209666,345,207408
6.083,209688,343,207406
6.088,209687,344,207411
6.093,209695,344,207416
6.098,209706,344,207437
6.103,209715,343,207429
6.108,209721,345,207436
6.113,209734,343,207406
6.118,209733,349,207434
6.123,209746,347,207442
6.128,209748,349,207437
6.133,209752,347,207407
6.138,209759,349,207418
6.143,209762,350,207428
6.148,209768,352,207413
6.153,209794,350,207445
6.158,209791,340,207435
6.163,209812,344,207360
6.168,209829,351,207427
6.173,209827,338,207422
6.177,209853,341,207417
6.182,209865,340,207399
6.187,209868,341,207423
6.192,209883,341,207408
6.197,209895,341,207416
6.202,209896,340,207397
6.207,209924,340,207397
6.212,209936,344,207406
6.217,209944,345,207391
6.222,209968,344,207395
6.227,209972,345,207393
6.232,209991,345,207389
6.237,210024,346,207417
6.242,210031,346,207434
6.247,210054,346,207428
6.252,210068,347,207446
6.257,210072,350,207447
6.262,210075,343,207452
6.267,210072,343,207433
6.272,210072,343,207432
6.277,210045,344,207441
6.282,210026,345,207430
6.287,210016,344,207443
6.292,210010,345,207456
6.297,209996,345,207447
6.302,209974,346,207462
6.307,209961,347,207456
6.312,209953,339,207473
6.317,209922,340,207471
6.322,209904,342,207477
6.327,209871,341,207444
6.331,209853,342,207449
6.336,209829,342,207442
6.341,209772,344,207427
6.346,209752,345,207394
6.351,209717,347,207381
6.356,209700,348,207374
6.361,209660,341,207350
6.366,209631,341,207350
6.371,209604,344,207330
6.376,209608,345,207311
6.381,209567,347,207288
6.386,209551,347,207263
6.391,209518,347,207273
6.396,209510,348,207239
6.401,209490,337,207253
6.406,209482,338,207214
6.411,209445,336,207213
6.416,209427,336,207202
6.421,209422,337,207194
6.426,209389,336,207197
6.431,209377,338,207184
6.436,209374,337,207163
6.441,209346,340,207160
6.446,209330,338,207147
6.451,209321,339,207136
6.456,209330,341,207127
6.461,209254,345,207093
6.466,209272,343,207086
6.471,209238,345,207086
6.476,209245,346,207099
6.481,209236,348,207096
6.485,209212,348,207089
6.490,209245,336,207076
6.495,209225,335,207078
6.500,209223,337,207074
6.505,209231,342,207073
6.510,209231,343,207085
6.515,209206,342,207071
6.520,209204,344,207078
6.525,209178,344,207067
6.530,209174,345,207068
6.535,209165,346,207035
6.540,209159,335,207043
6.545,209166,335,207034
6.550,209151,336,207031
6.555,209156,340,207041
6.560,209148,342,207047
6.565,209161,341,207052
6.570,209143,341,207062
6.575,209157,340,207066
6.580,209127,342,207060
6.585,209121,340,207063
6.590,209134,343,207035
6.595,209105,342,207063
6.600,209095,339,207046
6.605,209106,334,207031
6.610,209084,336,207024
6.615,209075,334,207013
6.620,209060,337,207022
6.625,209064,335,207008
6.630,209039,336,207001
6.635,209029,335,206986
6.639,209030,338,206995
6.644,209022,336,207004
6.649,209037,338,206968
6.654,209025,342,206993
6.659,209007,346,206981
6.664,209018,343,206983
6.669,208996,344,206989
6.674,209007,344,206971
6.679,209017,346,206986
6.684,209015,343,207004
6.689,209002,345,206981
6.694,209005,343,207031
6.699,209009,332,206981
6.704,208990,318,206980
6.709,209000,320,206964
6.714,208998,319,206979
