df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,ppg_med
6.233,593
6.258,681
6.283,822
6.308,898
6.333,869
6.358,838
6.383,919
6.408,1068
6.433,1125
6.458,1034
6.483,936
6.508,987
6.533,1125
6.558,1133
6.583,937
6.608,728
6.633,717
6.658,819
6.683,745
6.708,394
6.733,28
6.758,-75
6.783,-29
6.808,-214
6.833,-759
6.858,-1320
6.883,-1533
6.908,-1542
6.933,-1846
6.958,-2605
6.983,-3373
7.008,-3678
7.033,-3708
7.058,-4099
7.083,-5055
7.108,-6002
7.133,-6340
7.158,-6305
7.183,-6706
7.208,-7796
7.233,-8848
7.258,-9104
7.283,-8865
7.308,-9144
7.333,-10259
7.358,-11294
7.383,-11305
7.408,-10666
7.433,-10647
7.458,-11641
7.483,-12509
7.508,-12070
7.533,-10798
7.558,-10273
7.583,-10991
7.608,-11533
7.633,-10427
7.658,-8264
7.683,-7025
7.708,-7337
7.733,-7426
7.758,-5445
7.783,-2135
7.808,0
7.833,153
7.858,565
7.883,3592
7.908,8299
7.933,11462
7.958,12009
7.983,12832
8.008,17031
8.033,23405
8.058,27665
8.083,28310
8.108,29220
8.133,32767
8.158,32767
8.183,32767
8.208,32767
8.233,32767
8.258,32767
8.283,32767
8.308,32767
8.333,32767
8.358,32767
8.383,32767
8.408,32767
8.433,32767
8.458,32767
8.483,15869
8.508,-32768
8.533,-32768
8.558,-32768
8.583,-32768
8.608,-32768
8.633,-32768
8.658,-32768
8.683,-32768
8.708,-32768
8.733,-32768
8.758,-32768
8.783,-32768
8.808,-32768
8.833,-32768
8.858,-31007
8.883,-28456
8.908,-28250
8.933,-25468
8.958,-19346
8.983,-13779
9.008,-11736
9.033,-11522
9.058,-9497
9.083,-5032
9.108,-1013
9.133,303
9.158,197
9.183,1463
9.208,4600
9.233,7365
9.258,7979
9.283,7439
9.308,7958
9.333,9954
9.358,11658
9.383,11653
9.408,10724
9.433,10642
9.458,11751
9.483,12645
9.508,12188
9.533,10999
9.558,10501
9.583,10991
9.608,11371
9.633,10746
9.658,9600
9.683,9039
9.708,9262
9.733,9368
9.758,8646
9.783,7501
9.808,6828
9.833,6792
9.858,6682
9.883,5939
9.908,4897
9.933,4267
9.958,4171
9.983,4035
10.008,3407
10.033,2548
10.058,2021
10.083,1925
10.108,1814
10.133,1336
10.158,691
10.183,311
10.208,272
10.233,227
10.258,-95
10.283,-541
10.308,-780
10.333,-753
10.358,-727
10.383,-916
10.408,-1213
10.433,-1361
10.458,-1291
10.483,-1172
10.508,-1150
10.533,-1163
10.558,-1065
10.583,-845
10.608,-642
10.633,-554
10.658,-523
10.683,-435
10.708,-284
10.733,-169
10.758,-148
10.783,-154
10.808,-88
10.833,51
10.858,172
10.883,208
10.908,199
10.933,224
10.958,298
10.983,357
11.008,352
11.033,317
11.058,298
11.083,263
11.108,224
11.133,179
11.158,132
11.183,87
11.208,45
11.233,7
11.258,-30
11.283,-75
11.308,-131
11.333,-188
11.358,-229
11.383,-230
11.408,-183
11.433,-100
11.458,-2
11.483,94
11.508,185
11.533,276
11.558,367
11.583,450
11.608,513
11.633,551
11.658,571
11.683,582
11.708,592
11.733,599
11.758,598
11.783,588
11.808,569
11.833,548
11.858,526
11.883,505
11.908,482
11.933,454
11.958,418
11.983,377
12.008,333
12.033,286
12.058,239
12.083,190
12.108,141
12.133,91
12.158,44
12.183,0
12.208,-37
12.233,-74
12.258,-118
12.283,-175
12.308,-242
12.333,-300
12.358,-323
12.383,-297
12.408,-227
12.433,-138
12.458,-52
12.483,21
12.508,92
12.533,169
12.558,249
12.583,315
12.608,356
12.633,374
12.658,387
12.683,411
12.708,449
12.733,489
12.758,514
12.783,519
12.808,513
12.833,505
12.858,497
12.883,483
12.908,458
12.933,422
12.958,384
12.983,349
13.008,317
13.033,284
13.058,247
13.083,209
13.108,171
13.133,129
13.158,82
13.183,31
13.208,-15
13.233,-58
13.258,-106
13.283,-171
13.308,-244
13.333,-293
13.358,-282
13.383,-196
13.408,-62
13.433,71
13.458,177
13.483,257
13.508,333
13.533,417
13.558,501
13.583,563
13.608,593
13.633,602
13.658,609
13.683,625
13.708,646
13.733,659
13.758,655
13.783,633
13.808,601
13.833,568
13.858,538
13.883,506
13.908,466
13.933,418
13.958,367
13.983,319
14.008,277
14.033,234
14.058,186
14.083,134
14.108,82
14.133,30
14.158,-23
14.183,-79
14.208,-132
14.233,-177
14.258,-221
14.283,-278
14.308,-352
14.333,-416
14.358,-430
14.383,-365
14.408,-234
14.433,-82
14.458,45
14.483,140
14.508,222
14.533,310
14.558,402
14.583,476
14.608,515
14.633,528
14.658,534
14.683,552
14.708,581
14.733,605
14.758,614
14.783,606
14.808,587
14.833,566
14.858,545
14.883,519
14.908,483
14.933,439
14.958,389
14.983,340
15.008,295
15.033,253
15.058,212
15.083,170
15.108,128
15.133,84
15.158,35
15.183,-16
15.208,-65
15.233,-112
15.258,-162
15.283,-225
15.308,-298
15.333,-352
15.358,-350
15.383,-272
15.408,-136
15.433,10
15.458,128
15.483,212
