df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,rr_int
10.321,4040
11.539,935
12.319,995
13.340,990
14.222,1000
15.172,945
16.021,885
16.855,855
17.630,830
18.410,820
19.238,815
19.491,805
19.677,305
19.680,15
19.732,15
19.741,90
20.067,10
20.653,355
20.896,825
21.871,810
21.874,185
21.921,15
21.971,10
22.419,10
22.553,595
22.557,165
22.700,10
22.703,35
22.846,15
23.237,10
24.211,570
25.625,1015
26.502,1375
27.283,835
28.404,900
29.379,1020
30.505,1045
31.625,1090
32.596,1095
33.720,1065
34.647,1025
35.668,1035
36.593,1000
37.423,950
38.252,865
39.129,805
39.961,825
40.545,830
41.136,300
41.910,885
42.444,815
44.102,545
44.545,1665
44.930,405
45.905,450
46.057,855
46.149,315
46.152,10
46.349,10
46.352,15
46.355,15
47.224,250
47.855,755
48.735,730
49.272,680
50.390,700
51.906,1170
52.535,1435
53.169,695
53.854,640
54.534,665
55.441,615
55.802,655
56.490,670
57.215,695
57.898,710
58.580,715
59.409,745
60.287,835
61.213,890
62.090,930
63.066,895
64.040,930
65.164,935
65.698,955
66.136,805
66.380,320
66.673,345
67.551,270
67.892,870
68.875,320
69.306,625
70.329,855
71.110,895
72.084,920
73.211,1000
74.229,1040
75.302,1095
76.423,1115
77.495,1080
78.470,1035
79.351,980
80.181,965
80.859,775
81.688,750
82.371,745
83.254,780
84.174,845
84.613,900
85.051,395
85.737,445
86.709,800
87.392,855
88.123,800
89.049,725
90.463,925
91.393,1390
92.120,820
93.096,930
93.826,875
94.903,790
96.459,1100
97.288,1470
98.116,825
98.799,855
99.628,800
100.603,840
101.578,885
102.699,1000
103.823,1105
104.649,1110
104.652,825
104.655,10
104.956,20
105.922,255
107.038,1040
108.020,1070
109.134,1070
110.039,1005
110.645,920
110.938,630
111.916,320
112.596,950
113.278,725
114.122,780
114.545,800
115.669,410
116.691,1055
117.763,1060
118.153,1090
118.640,420
120.396,450
121.224,1740
122.059,835
122.933,865
123.808,855
124.490,835
125.271,790
126.248,795
126.928,815
127.903,900
128.878,930
129.707,960
130.682,915
131.706,965
132.632,965
133.460,935
134.466,900
135.167,875
135.849,830
135.999,570
136.984,260
137.653,860
138.482,780
139.311,880
140.432,765
141.309,1195
142.382,775
143.357,1185
144.478,940
145.600,1150
146.726,1060
147.501,1135
149.061,780
150.426,1550
151.843,1420
152.132,1670
152.814,480
153.936,310
154.472,1105
155.886,470
156.179,1750
157.699,790
158.083,765
158.128,375
158.133,10
158.811,20
159.545,640
160.468,755
161.008,910
162.126,645
162.954,1045
164.076,955
165.197,995
165.879,1145
166.465,710
167.440,520
168.414,1110
168.856,890
169.780,455
170.905,965
171.876,1055
172.997,1055
173.680,1045
174.801,740
176.072,1210
176.312,1420
177.047,455
178.019,315
179.188,990
180.118,1140
180.122,630
180.361,350
181.101,10
181.480,885
181.772,495
181.775,270
182.747,850
183.917,175
185.382,1040
186.014,1365
186.793,810
187.631,820
188.627,845
189.719,955
190.109,1095
190.694,415
191.789,600
192.497,1070
193.570,700
194.155,1200
194.159,510
194.448,10
195.276,285
196.153,835
196.934,815
198.307,805
199.030,1400
199.574,770
200.541,545
202.345,1005
203.054,1735
203.758,690
204.836,805
206.106,1005
206.683,1290
207.513,635
208.498,845
209.463,970
210.437,975
211.412,1005
212.388,960
213.216,915
214.192,935
215.274,875
216.385,1175
217.361,1070
218.484,1065
219.460,1035
220.577,1000
221.701,1070
222.528,1020
223.746,1065
224.623,1025
225.620,1010
226.629,1005
227.695,1025
228.621,1040
229.747,1025
230.718,1035
231.765,1010
232.716,970
233.789,1005
234.764,1065
235.446,1060
235.738,630
237.399,345
238.230,1695
239.209,845
240.322,880
241.004,1150
241.979,790
242.710,865
242.953,710
243.392,245
244.003,570
244.368,550
244.374,410
244.465,10
244.468,15
244.832,10
245.489,285
246.025,740
246.366,545
247.244,325
247.831,925
248.563,485
248.804,715
249.097,390
249.632,330
250.315,465
250.789,705
251.832,485
252.272,1040
252.557,325
253.825,485
254.361,1245
255.350,560
256.165,920
256.994,815
257.676,940
257.975,600
258.262,305
258.505,255
259.772,255
259.779,1325
260.455,15
261.187,630
262.015,755
262.699,785
263.282,760
263.526,525
264.209,260
265.093,805
265.920,830
266.898,860
267.719,870
268.547,855
268.797,835
269.474,245
269.477,650
269.571,10
269.574,140
270.940,475
271.180,905
272.459,255
273.960,1320
274.663,1500
275.470,685
276.348,805
277.177,860
278.005,870
278.834,850
279.516,800
280.345,775
281.196,805
282.149,850
283.048,890
283.856,885
284.684,810
285.513,855
286.342,845
287.057,815
287.905,775
288.682,770
289.413,855
290.241,800
290.680,810
290.684,360
290.689,10
290.827,15
291.073,15
291.812,290
292.582,790
293.411,800
294.142,835
295.126,775
295.460,985
296.092,10
296.920,900
297.310,955
297.603,600
299.114,930
299.943,655
300.674,795
301.503,775
302.186,810
303.014,740
303.794,780
304.574,780
305.554,790
306.113,980
306.768,505
307.605,750
308.426,780
309.304,870
310.132,845
310.960,845
311.789,840
312.618,890
313.457,835
314.422,870
315.153,855
