df_hash,22ZHK4.BUJ0BH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9UES
person_label,V95
date_time_start,2025-11-04_18-12-10.948000_+03
date_time_start_unix,1762265530.948
date_time_end,2025-11-04_18-20-27.976000_+03
length_difference_noticed,no

time,ppg_quality
57.723,48
58.733,47
60.753,59
61.763,59
62.773,59
64.793,52
66.813,75
68.823,82
71.853,74
73.873,74
74.883,74
75.893,75
77.913,74
79.933,73
82.963,71
84.983,65
87.003,56
88.013,53
89.023,54
90.033,58
91.043,60
92.053,62
93.063,63
94.073,66
96.093,72
98.113,80
100.133,79
102.143,78
105.173,70
106.183,67
107.193,67
109.213,66
111.233,65
112.243,63
114.263,66
116.283,76
118.303,73
120.323,72
122.343,72
123.353,72
124.363,71
126.383,68
127.393,68
129.413,68
131.433,67
133.443,66
135.463,68
137.483,69
138.493,68
140.513,71
142.533,71
144.553,68
146.573,66
147.583,67
148.593,68
149.603,69
151.623,67
153.643,67
155.663,68
157.683,68
158.693,65
159.703,66
160.713,67
162.733,71
164.753,72
165.763,73
166.773,75
167.783,75
168.793,76
169.803,75
170.813,74
171.823,72
173.843,72
175.863,71
177.883,67
179.903,66
180.913,67
182.933,68
184.953,69
186.973,75
188.993,76
191.013,77
192.023,78
193.033,76
194.043,75
196.063,73
198.083,72
200.103,71
202.123,71
204.143,71
205.153,71
207.173,70
209.193,69
211.213,66
213.233,64
214.243,66
215.253,65
216.263,66
218.283,71
220.303,74
222.323,69
224.343,67
226.363,82
227.373,76
229.393,60
230.403,56
231.413,55
233.433,47
234.443,39
236.463,32
237.473,41
240.503,52
242.523,48
244.543,52
246.563,42
248.583,31
250.603,25
251.613,28
253.633,33
255.653,37
256.663,25
258.683,11
259.693,10
262.723,5
264.743,16
266.763,17
268.783,15
269.793,11
271.813,13
273.833,21
275.853,11
277.873,23
279.893,30
280.903,44
281.913,24
291.003,6
293.023,24
296.053,29
298.073,12
307.163,9
309.183,35
311.203,58
313.223,46
315.243,58
316.253,54
317.263,47
318.273,36
319.283,28
320.293,27
322.313,46
324.333,45
325.343,36
327.363,49
328.373,66
329.383,70
330.393,69
331.403,70
333.423,66
335.443,68
336.453,65
337.463,59
338.473,48
340.493,43
342.513,25
344.533,10
345.543,6
346.553,3
347.563,2
349.583,16
350.593,24
351.603,30
353.623,45
355.643,49
356.653,47
357.663,46
359.683,43
360.693,41
362.713,50
364.733,48
365.743,50
366.753,56
368.773,65
370.793,73
372.813,49
373.823,48
374.833,53
375.843,48
377.863,35
378.873,30
379.883,27
380.893,21
382.913,33
383.923,34
384.933,34
386.953,45
388.973,56
390.993,59
393.013,53
395.033,39
396.043,44
397.053,38
398.063,31
400.083,29
402.103,30
404.123,35
405.133,38
407.153,43
408.163,52
409.173,50
411.193,31
412.203,39
413.213,46
415.233,42
416.243,17
418.263,27
427.353,7
431.393,25
433.413,26
435.433,31
436.443,28
438.463,46
439.473,48
440.483,47
442.503,47
443.513,48
444.523,49
446.543,53
448.563,53
450.583,59
452.603,69
453.613,73
455.633,76
456.643,78
457.653,80
459.673,80
460.683,78
461.693,70
463.713,45
464.723,33
465.733,30
466.743,28
468.763,27
469.773,25
470.783,28
471.793,37
472.803,53
474.823,81
475.833,79
477.853,64
478.863,57
479.873,54
481.893,50
483.913,42
484.923,45
485.933,34
486.943,34
487.953,39
488.963,39
489.973,47
491.993,53
493.003,52
