df_hash,22ZHK4.K5E5X0
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BJ7Y
person_label,V98
date_time_start,2025-11-04_18-55-06.858000_+03
date_time_start_unix,1762268106.858
date_time_end,2025-11-04_19-02-28.061000_+03
length_difference_noticed,no

time,omega
28.518,0.556
29.201,0.551
33.687,0.556
35.878,0.551
35.931,0.549
37.601,0.548
38.266,0.550
38.368,0.551
39.051,0.556
48.265,0.561
48.705,0.564
51.769,0.564
52.503,0.569
54.551,0.569
55.233,0.564
56.059,0.567
56.128,0.573
57.619,0.567
57.671,0.567
60.398,0.566
61.812,0.566
62.597,0.566
66.349,0.561
67.080,0.564
67.957,0.565
68.591,0.570
69.278,0.565
69.959,0.565
70.689,0.564
70.791,0.564
72.195,0.564
72.438,0.564
74.440,0.564
74.497,0.565
75.945,0.566
76.013,0.565
77.561,0.564
78.390,0.565
82.780,0.566
91.114,0.566
92.083,0.566
92.648,0.566
93.454,0.566
95.988,0.565
96.675,0.564
98.084,0.559
99.707,0.558
100.419,0.551
100.440,0.551
101.205,0.551
102.807,0.551
102.904,0.551
104.418,0.549
105.201,0.547
105.832,0.547
106.564,0.546
106.666,0.545
109.443,0.544
111.100,0.544
112.074,0.545
113.782,0.545
115.300,0.544
116.219,0.544
119.198,0.545
120.119,0.546
120.702,0.546
122.508,0.546
123.630,0.546
124.364,0.546
125.386,0.544
125.873,0.543
127.242,0.543
128.653,0.543
129.480,0.543
130.893,0.542
131.237,0.543
132.597,0.544
133.328,0.545
136.408,0.544
137.133,0.545
137.915,0.546
137.971,0.546
139.610,0.545
139.772,0.544
140.791,0.544
141.618,0.544
142.252,0.544
145.032,0.545
146.637,0.545
147.423,0.549
148.246,0.551
148.298,0.551
150.346,0.551
151.856,0.551
152.735,0.551
153.418,0.551
154.343,0.553
155.171,0.553
155.222,0.553
156.989,0.551
158.399,0.544
158.489,0.543
160.633,0.546
162.001,0.546
164.095,0.539
165.653,0.539
166.332,0.539
169.260,0.535
170.050,0.535
170.141,0.535
170.962,0.535
172.725,0.533
214.652,0.535
222.204,0.539
229.671,0.539
280.213,0.539
285.434,0.539
294.887,0.539
405.754,0.758
