df_hash,22ZHK4.8FYAMK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZPV5
person_label,V99
date_time_start,2025-11-04_19-09-59.215000_+03
date_time_start_unix,1762268999.215
date_time_end,2025-11-04_19-18-14.354000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.402,-0.447,0.908,0.129
4.411,-0.449,0.910,0.133
4.421,-0.449,0.908,0.127
4.431,-0.451,0.908,0.129
4.441,-0.451,0.908,0.131
4.451,-0.453,0.908,0.127
4.461,-0.455,0.908,0.129
4.471,-0.451,0.912,0.127
4.481,-0.457,0.912,0.123
4.491,-0.455,0.908,0.129
4.501,-0.451,0.910,0.127
4.511,-0.447,0.910,0.129
4.521,-0.451,0.910,0.129
4.531,-0.449,0.914,0.127
4.541,-0.447,0.910,0.129
4.551,-0.449,0.910,0.127
4.560,-0.451,0.914,0.127
4.570,-0.451,0.912,0.131
4.580,-0.447,0.908,0.131
4.590,-0.453,0.908,0.129
4.600,-0.451,0.910,0.127
4.610,-0.453,0.910,0.131
4.620,-0.449,0.912,0.129
4.630,-0.453,0.910,0.131
4.640,-0.455,0.912,0.129
4.650,-0.455,0.912,0.127
4.660,-0.453,0.910,0.129
4.670,-0.457,0.914,0.133
4.680,-0.453,0.910,0.131
4.690,-0.453,0.910,0.131
4.700,-0.455,0.908,0.131
4.709,-0.453,0.906,0.129
4.719,-0.455,0.908,0.131
4.729,-0.453,0.904,0.129
4.739,-0.451,0.906,0.129
4.749,-0.453,0.910,0.131
4.759,-0.453,0.910,0.129
4.769,-0.453,0.912,0.131
4.779,-0.455,0.910,0.131
4.789,-0.453,0.912,0.133
4.799,-0.453,0.912,0.127
4.809,-0.453,0.912,0.131
4.819,-0.453,0.910,0.131
4.829,-0.453,0.908,0.133
4.839,-0.449,0.906,0.129
4.849,-0.449,0.912,0.131
4.858,-0.449,0.914,0.131
4.868,-0.449,0.912,0.131
4.878,-0.449,0.908,0.127
4.888,-0.449,0.912,0.127
4.898,-0.451,0.916,0.127
4.908,-0.451,0.916,0.129
4.918,-0.451,0.916,0.131
4.928,-0.451,0.916,0.129
4.938,-0.447,0.912,0.127
4.948,-0.447,0.912,0.133
4.958,-0.447,0.912,0.129
4.968,-0.451,0.910,0.129
4.978,-0.447,0.906,0.133
4.988,-0.453,0.912,0.129
4.998,-0.449,0.914,0.133
5.007,-0.453,0.916,0.129
5.017,-0.449,0.912,0.127
5.027,-0.447,0.914,0.125
5.037,-0.451,0.910,0.129
5.047,-0.451,0.914,0.129
5.057,-0.449,0.912,0.127
5.067,-0.449,0.910,0.125
5.077,-0.449,0.912,0.125
5.087,-0.447,0.914,0.125
5.097,-0.449,0.912,0.129
5.107,-0.449,0.910,0.129
5.117,-0.447,0.912,0.127
5.127,-0.445,0.912,0.123
5.137,-0.445,0.910,0.125
5.147,-0.453,0.912,0.129
5.156,-0.451,0.912,0.129
5.166,-0.449,0.912,0.129
5.176,-0.449,0.908,0.127
5.186,-0.447,0.910,0.127
5.196,-0.449,0.912,0.129
5.206,-0.453,0.912,0.133
5.216,-0.451,0.914,0.131
5.226,-0.449,0.912,0.129
5.236,-0.453,0.910,0.127
5.246,-0.457,0.910,0.127
5.256,-0.455,0.910,0.129
5.266,-0.457,0.912,0.127
5.276,-0.455,0.908,0.127
5.286,-0.455,0.908,0.131
5.296,-0.457,0.910,0.125
5.305,-0.455,0.910,0.127
5.315,-0.455,0.910,0.129
5.325,-0.453,0.910,0.131
5.335,-0.453,0.914,0.125
5.345,-0.453,0.910,0.127
5.355,-0.451,0.910,0.129
5.365,-0.453,0.912,0.129
5.375,-0.451,0.910,0.131
5.385,-0.455,0.912,0.131
5.395,-0.455,0.910,0.129
5.405,-0.455,0.912,0.125
5.415,-0.451,0.906,0.129
5.425,-0.451,0.912,0.129
5.435,-0.455,0.910,0.127
5.445,-0.449,0.910,0.125
5.454,-0.451,0.906,0.125
5.464,-0.453,0.908,0.127
5.474,-0.455,0.912,0.127
5.484,-0.451,0.912,0.129
5.494,-0.453,0.918,0.125
5.504,-0.453,0.918,0.129
5.514,-0.451,0.916,0.129
5.524,-0.449,0.912,0.127
5.534,-0.449,0.910,0.125
5.544,-0.447,0.910,0.125
5.554,-0.445,0.912,0.127
5.564,-0.447,0.914,0.127
5.574,-0.447,0.912,0.125
5.584,-0.447,0.914,0.125
5.594,-0.445,0.914,0.123
5.603,-0.447,0.916,0.129
5.613,-0.449,0.916,0.127
5.623,-0.449,0.912,0.123
5.633,-0.453,0.910,0.127
5.643,-0.451,0.910,0.123
5.653,-0.453,0.912,0.123
5.663,-0.451,0.912,0.125
5.673,-0.449,0.912,0.125
