df_hash,22ZHK4.8FYAMK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZPV5
person_label,V99
date_time_start,2025-11-04_19-09-59.215000_+03
date_time_start_unix,1762268999.215
date_time_end,2025-11-04_19-18-14.354000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.308,75,75,0
5.988,150,75,1
6.817,225,75,2
7.473,300,75,3
8.328,375,75,4
8.913,450,75,5
9.791,525,75,6
10.377,600,75,7
11.348,675,75,8
11.889,750,75,9
12.782,825,75,10
13.350,900,75,11
14.276,975,75,12
14.972,1050,75,13
15.738,1125,75,14
16.422,1200,75,15
17.250,1275,75,16
17.883,1350,75,17
18.798,1425,75,18
19.367,1500,75,19
20.223,1575,75,20
20.808,1650,75,21
21.734,1725,75,22
22.319,1800,75,23
23.246,1875,75,24
23.831,1950,75,25
24.708,2025,75,26
25.293,2100,75,27
26.171,2175,75,28
26.902,2250,75,29
28.073,2325,75,30
28.364,2400,75,31
29.194,2475,75,32
29.783,2550,75,33
30.994,2625,75,34
31.251,2700,75,35
32.168,2775,75,36
32.753,2850,75,37
33.632,2925,75,38
34.266,3000,75,39
35.141,3075,75,40
36.016,3150,75,41
36.652,3225,75,42
37.285,3300,75,43
38.121,3375,75,44
38.700,3450,75,45
39.630,3525,75,46
40.248,3600,75,47
41.200,3675,75,48
41.677,3750,75,49
42.630,3825,75,50
43.185,3900,75,51
44.355,3975,75,52
44.842,4050,75,53
45.574,4125,75,54
46.200,4200,75,55
47.134,4275,75,56
47.724,4350,75,57
48.547,4425,75,58
49.179,4500,75,59
50.060,4575,75,60
50.711,4650,75,61
51.522,4725,75,62
52.155,4800,75,63
53.032,4875,75,64
53.638,4950,75,65
54.591,5025,75,66
55.129,5100,75,67
56.006,5175,75,68
56.592,5250,75,69
57.517,5325,75,70
58.102,5400,75,71
59.272,5475,75,72
59.615,5550,75,73
60.491,5625,75,74
61.125,5700,75,75
61.953,5775,75,76
62.587,5850,75,77
63.465,5925,75,78
64.339,6000,75,79
64.976,6075,75,80
65.561,6150,75,81
66.438,6225,75,82
67.024,6300,75,83
67.952,6375,75,84
68.535,6450,75,85
69.413,6525,75,86
70.048,6600,75,87
70.924,6675,75,88
71.558,6750,75,89
72.391,6825,75,90
73.069,6900,75,91
73.898,6975,75,92
74.482,7050,75,93
75.530,7125,75,94
75.994,7200,75,95
76.875,7275,75,96
77.477,7350,75,97
78.384,7425,75,98
78.967,7500,75,99
79.845,7575,75,100
80.479,7650,75,101
81.356,7725,75,102
82.039,7800,75,103
82.819,7875,75,104
83.453,7950,75,105
84.337,8025,75,106
84.938,8100,75,107
85.936,8175,75,108
86.426,8250,75,109
87.358,8325,75,110
87.914,8400,75,111
88.815,8475,75,112
89.400,8550,75,113
90.299,8625,75,114
90.862,8700,75,115
91.789,8775,75,116
92.569,8850,75,117
93.302,8925,75,118
93.885,9000,75,119
94.763,9075,75,120
95.397,9150,75,121
96.281,9225,75,122
96.895,9300,75,123
97.736,9375,75,124
98.362,9450,75,125
99.296,9525,75,126
99.834,9600,75,127
100.864,9675,75,128
101.298,9750,75,129
102.221,9825,75,130
102.806,9900,75,131
103.782,9975,75,132
104.367,10050,75,133
105.218,10125,75,134
105.780,10200,75,135
106.950,10275,75,136
107.298,10350,75,137
108.169,10425,75,138
108.777,10500,75,139
109.729,10575,75,140
110.265,10650,75,141
111.144,10725,75,142
111.777,10800,75,143
112.654,10875,75,144
113.351,10950,75,145
114.123,11025,75,146
114.750,11100,75,147
115.628,11175,75,148
116.244,11250,75,149
117.142,11325,75,150
117.773,11400,75,151
118.614,11475,75,152
119.235,11550,75,153
120.113,11625,75,154
120.701,11700,75,155
121.637,11775,75,156
122.160,11850,75,157
123.087,11925,75,158
123.674,12000,75,159
124.549,12075,75,160
125.185,12150,75,161
126.060,12225,75,162
126.646,12300,75,163
127.573,12375,75,164
128.254,12450,75,165
129.034,12525,75,166
129.651,12600,75,167
130.545,12675,75,168
131.130,12750,75,169
132.008,12825,75,170
132.642,12900,75,171
133.519,12975,75,172
134.159,13050,75,173
134.982,13125,75,174
135.618,13200,75,175
136.539,13275,75,176
137.084,13350,75,177
138.004,13425,75,178
138.638,13500,75,179
139.467,13575,75,180
140.100,13650,75,181
140.978,13725,75,182
141.563,13800,75,183
142.463,13875,75,184
143.074,13950,75,185
143.952,14025,75,186
144.537,14100,75,187
145.463,14175,75,188
146.051,14250,75,189
146.926,14325,75,190
147.511,14400,75,191
148.536,14475,75,192
149.029,14550,75,193
149.945,14625,75,194
150.533,14700,75,195
151.419,14775,75,196
151.995,14850,75,197
152.873,14925,75,198
153.507,15000,75,199
154.384,15075,75,200
155.259,15150,75,201
155.896,15225,75,202
156.480,15300,75,203
157.359,15375,75,204
157.946,15450,75,205
158.870,15525,75,206
159.554,15600,75,207
160.332,15675,75,208
161.209,15750,75,209
161.843,15825,75,210
162.431,15900,75,211
163.306,15975,75,212
163.970,16050,75,213
164.817,16125,75,214
165.695,16200,75,215
166.332,16275,75,216
166.913,16350,75,217
167.839,16425,75,218
168.376,16500,75,219
169.397,16575,75,220
169.917,16650,75,221
170.813,16725,75,222
171.398,16800,75,223
172.371,16875,75,224
172.909,16950,75,225
174.177,17025,75,226
174.373,17100,75,227
175.249,17175,75,228
175.837,17250,75,229
176.761,17325,75,230
177.346,17400,75,231
178.277,17475,75,232
178.808,17550,75,233
179.734,17625,75,234
180.320,17700,75,235
181.197,17775,75,236
181.853,17850,75,237
182.731,17925,75,238
183.293,18000,75,239
184.171,18075,75,240
184.805,18150,75,241
185.683,18225,75,242
186.386,18300,75,243
187.193,18375,75,244
187.778,18450,75,245
188.656,18525,75,246
189.243,18600,75,247
190.268,18675,75,248
190.755,18750,75,249
191.630,18825,75,250
192.263,18900,75,251
193.141,18975,75,252
193.774,19050,75,253
194.607,19125,75,254
195.237,19200,75,255
196.149,19275,75,256
196.699,19350,75,257
197.733,19425,75,258
198.211,19500,75,259
199.089,19575,75,260
199.673,19650,75,261
200.628,19725,75,262
201.185,19800,75,263
202.064,19875,75,264
202.716,19950,75,265
203.649,20025,75,266
204.161,20100,75,267
205.056,20175,75,268
205.670,20250,75,269
206.547,20325,75,270
207.202,20400,75,271
208.059,20475,75,272
208.695,20550,75,273
209.521,20625,75,274
210.108,20700,75,275
211.101,20775,75,276
211.656,20850,75,277
212.495,20925,75,278
213.148,21000,75,279
214.018,21075,75,280
214.591,21150,75,281
215.479,21225,75,282
216.185,21300,75,283
216.980,21375,75,284
217.568,21450,75,285
218.491,21525,75,286
219.076,21600,75,287
219.953,21675,75,288
220.539,21750,75,289
221.486,21825,75,290
222.050,21900,75,291
222.927,21975,75,292
223.561,22050,75,293
224.450,22125,75,294
225.024,22200,75,295
225.923,22275,75,296
226.535,22350,75,297
227.416,22425,75,298
227.997,22500,75,299
228.924,22575,75,300
229.508,22650,75,301
230.386,22725,75,302
230.975,22800,75,303
231.946,22875,75,304
232.482,22950,75,305
233.368,23025,75,306
234.040,23100,75,307
234.895,23175,75,308
235.458,23250,75,309
236.431,23325,75,310
236.967,23400,75,311
237.892,23475,75,312
238.430,23550,75,313
239.313,23625,75,314
239.941,23700,75,315
241.108,23775,75,316
241.499,23850,75,317
242.371,23925,75,318
242.915,24000,75,319
243.792,24075,75,320
244.450,24150,75,321
245.309,24225,75,322
245.889,24300,75,323
246.815,24375,75,324
247.401,24450,75,325
248.280,24525,75,326
248.885,24600,75,327
249.745,24675,75,328
250.374,24750,75,329
251.298,24825,75,330
251.836,24900,75,331
252.782,24975,75,332
253.348,25050,75,333
254.225,25125,75,334
254.818,25200,75,335
255.772,25275,75,336
256.322,25350,75,337
257.226,25425,75,338
257.784,25500,75,339
258.710,25575,75,340
259.299,25650,75,341
260.173,25725,75,342
260.806,25800,75,343
261.733,25875,75,344
262.269,25950,75,345
263.196,26025,75,346
263.791,26100,75,347
264.658,26175,75,348
265.264,26250,75,349
266.169,26325,75,350
266.754,26400,75,351
267.631,26475,75,352
268.360,26550,75,353
269.143,26625,75,354
269.748,26700,75,355
270.654,26775,75,356
271.239,26850,75,357
272.121,26925,75,358
272.749,27000,75,359
273.917,27075,75,360
274.296,27150,75,361
275.094,27225,75,362
275.676,27300,75,363
276.604,27375,75,364
277.238,27450,75,365
278.207,27525,75,366
278.649,27600,75,367
279.575,27675,75,368
280.165,27750,75,369
281.073,27825,75,370
281.623,27900,75,371
282.549,27975,75,372
283.138,28050,75,373
284.060,28125,75,374
284.645,28200,75,375
285.571,28275,75,376
286.205,28350,75,377
287.035,28425,75,378
287.619,28500,75,379
288.496,28575,75,380
289.082,28650,75,381
290.008,28725,75,382
290.614,28800,75,383
291.473,28875,75,384
292.058,28950,75,385
292.981,29025,75,386
293.567,29100,75,387
294.493,29175,75,388
295.090,29250,75,389
295.956,29325,75,390
296.541,29400,75,391
297.466,29475,75,392
298.052,29550,75,393
298.936,29625,75,394
299.517,29700,75,395
300.440,29775,75,396
301.025,29850,75,397
301.903,29925,75,398
302.537,30000,75,399
303.414,30075,75,400
303.999,30150,75,401
304.950,30225,75,402
305.520,30300,75,403
306.388,30375,75,404
307.027,30450,75,405
307.899,30525,75,406
308.484,30600,75,407
309.398,30675,75,408
309.955,30750,75,409
310.873,30825,75,410
311.529,30900,75,411
312.428,30975,75,412
312.969,31050,75,413
313.847,31125,75,414
314.432,31200,75,415
315.360,31275,75,416
315.943,31350,75,417
316.820,31425,75,418
317.697,31500,75,419
318.335,31575,75,420
318.917,31650,75,421
319.794,31725,75,422
320.400,31800,75,423
321.305,31875,75,424
321.944,31950,75,425
322.768,32025,75,426
323.402,32100,75,427
324.280,32175,75,428
324.913,32250,75,429
325.790,32325,75,430
326.375,32400,75,431
327.253,32475,75,432
327.839,32550,75,433
328.764,32625,75,434
329.350,32700,75,435
330.265,32775,75,436
330.911,32850,75,437
331.738,32925,75,438
332.323,33000,75,439
333.201,33075,75,440
333.981,33150,75,441
334.712,33225,75,442
335.345,33300,75,443
336.223,33375,75,444
336.829,33450,75,445
337.686,33525,75,446
338.299,33600,75,447
339.197,33675,75,448
339.782,33750,75,449
340.662,33825,75,450
341.281,33900,75,451
342.171,33975,75,452
342.999,34050,75,453
343.633,34125,75,454
344.267,34200,75,455
345.145,34275,75,456
345.729,34350,75,457
346.656,34425,75,458
347.242,34500,75,459
348.118,34575,75,460
348.704,34650,75,461
349.638,34725,75,462
350.214,34800,75,463
351.141,34875,75,464
351.677,34950,75,465
352.618,35025,75,466
353.188,35100,75,467
354.066,35175,75,468
354.699,35250,75,469
355.612,35325,75,470
