Time (s),Resistance,Stage
0,0.9349891108246964,Relaxation
1,1.0,Relaxation
2,0.9259521923799127,Relaxation
3,0.8125660445999668,Relaxation
4,0.7240965381835991,Relaxation
5,0.6956615289010815,Relaxation
6,0.5894940160849785,Relaxation
7,0.602182364844349,Relaxation
8,0.41716759704176803,Relaxation
9,0.5958569466002203,Relaxation
10,0.6811407410867656,Relaxation
11,0.7268958029430854,Relaxation
12,0.7652956285464133,Relaxation
13,0.7839512595275857,Relaxation
14,0.6424040128221189,Relaxation
15,0.8252975678600519,Relaxation
16,0.6178334752429626,Relaxation
17,0.6393641033045476,Relaxation
18,0.7240965381835991,Relaxation
19,0.7571915624285582,Relaxation
20,0.6514720735297138,Relaxation
21,0.2580603607831149,Relaxation
22,0.1516854688078389,Relaxation
23,0.1424079056049703,Relaxation
24,0.08531493674935638,Relaxation
25,0.10462313969215885,Relaxation
26,0.34816837489055996,Relaxation
27,0.1424079056049703,Relaxation
28,0.1283662839707235,Relaxation
29,0.35995147469231087,Relaxation
30,0.402180383063988,Relaxation
31,0.4645746143844697,Relaxation
32,0.4752415471759276,Relaxation
33,0.2366259906247633,Relaxation
34,0.0,Relaxation
35,0.16547866011829807,Relaxation
36,0.1608972085915843,Relaxation
37,0.2916019933879317,Relaxation
38,0.3908127493592832,Relaxation
39,0.43563283555257326,Relaxation
40,0.4645746143844697,Relaxation
41,0.27913022491083744,Relaxation
42,0.24524390407899954,Relaxation
43,0.24953091966640983,Relaxation
44,0.35995147469231087,Relaxation
45,0.3677427026246558,Relaxation
46,0.402180383063988,Relaxation
47,0.41716759704176803,Relaxation
48,0.4716969914450787,Relaxation
49,0.48580868317065057,Relaxation
50,0.35995147469231087,Relaxation
51,0.3322752041764606,Relaxation
52,0.4282818459717835,Relaxation
53,0.46814181903372654,Relaxation
54,0.4752415471759276,Relaxation
55,0.48229739303871355,Relaxation
56,0.4997455535572603,Relaxation
57,0.5032030525079783,Relaxation
58,0.530482966951689,Relaxation
59,0.5271089858876005,Relaxation
60,0.4997455535572603,Under Stress
61,0.32021536290291197,Under Stress
62,0.32021536290291197,Under Stress
63,0.22794862375970637,Under Stress
64,0.3677427026246558,Under Stress
65,0.41716759704176803,Under Stress
66,0.37548297049058277,Under Stress
67,0.4787747784475722,Under Stress
68,0.32021536290291197,Under Stress
69,0.266531764046399,Under Stress
70,0.07555466847291825,Under Stress
71,0.2322943849792375,Under Stress
72,0.09982227676836739,Under Stress
73,0.30394706947768074,Under Stress
74,0.1516854688078389,Under Stress
75,0.22794862375970637,Under Stress
76,0.32021536290291197,Under Stress
77,0.37548297049058277,Under Stress
78,0.4096977006393363,Under Stress
79,0.4059450579706145,Under Stress
80,0.4392906358754619,Under Stress
81,0.4787747784475722,Under Stress
82,0.6053312722817581,Under Stress
83,0.4752415471759276,Under Stress
84,0.2916019933879317,Under Stress
85,0.29573046654648577,Under Stress
86,0.39461422875832236,Under Stress
87,0.4716969914450787,Under Stress
88,0.5066499347781929,Under Stress
89,0.530482966951689,Under Stress
90,0.5100862003679032,Under Stress
91,0.530482966951689,Under Stress
92,0.5405419178396329,Under Stress
93,0.5237258037004083,Under Stress
94,0.5505102730539445,Under Stress
95,0.5338463313352741,Under Stress
96,0.5862983952533526,Under Stress
97,0.611600776008567,Under Stress
98,0.6147220800766665,Under Stress
99,0.620936377064856,Under Stress
100,0.6363149926638738,Under Stress
101,0.5505102730539445,Under Stress
102,0.530482966951689,Under Stress
103,0.5862983952533526,Under Stress
104,0.6363149926638738,Under Stress
105,0.6693753357525208,Under Stress
106,0.6782119528251339,Under Stress
107,0.6271145773393322,Under Stress
108,0.666412574113277,Under Stress
109,0.6332573886787963,Under Stress
110,0.6869735453555207,Under Stress
111,0.7268958029430854,Under Stress
112,0.7240965381835991,Under Stress
113,0.7268958029430854,Under Stress
114,0.7212880723010097,Under Stress
115,0.7268958029430854,Under Stress
116,0.6240300777636458,Under Stress
117,0.3908127493592832,Under Stress
118,0.41343831107015455,Under Stress
119,0.5830935732986237,Under Stress
