Time (s),Resistance,Stage
0,0.05702739108455882,Relaxation
1,0.05641642830882353,Relaxation
2,0.05601404733455882,Relaxation
3,0.05552115579044118,Relaxation
4,0.05546218474264705,Relaxation
5,0.05536332169117646,Relaxation
6,0.054640522977941176,Relaxation
7,0.055350553768382355,Relaxation
8,0.055797238511029405,Relaxation
9,0.0561497325367647,Relaxation
10,0.05593648483455882,Relaxation
11,0.05588235294117647,Relaxation
12,0.056005635569852934,Relaxation
13,0.055980096047794116,Relaxation
14,0.05581657582720588,Relaxation
15,0.055835667738970585,Relaxation
16,0.05586385477941176,Relaxation
17,0.055980096047794116,Relaxation
18,0.05607155147058823,Relaxation
19,0.05618718060661765,Relaxation
20,0.05573770496323529,Relaxation
21,0.05520361994485294,Relaxation
22,0.055797238511029405,Relaxation
23,0.05575780790441176,Relaxation
24,0.05607957490808824,Relaxation
25,0.05606348115808824,Relaxation
26,0.056095481617647054,Relaxation
27,0.055826152113970594,Relaxation
28,0.05529852389705882,Relaxation
29,0.05514705882352941,Relaxation
30,0.05549781755514706,Relaxation
31,0.05556686351102941,Relaxation
32,0.055909670496323526,Relaxation
33,0.05567578216911765,Relaxation
34,0.055665218749999995,Relaxation
35,0.05588235294117647,Relaxation
36,0.05407011305147059,Relaxation
37,0.0534759356617647,Relaxation
38,0.05414105928308823,Relaxation
39,0.05290418060661765,Relaxation
40,0.0532544375,Relaxation
41,0.05376344117647059,Relaxation
42,0.053287197150735294,Relaxation
43,0.0532544375,Relaxation
44,0.05418719209558824,Relaxation
45,0.05460300735294117,Relaxation
46,0.05250690854779412,Relaxation
47,0.05356556020220589,Relaxation
48,0.05414105928308823,Relaxation
49,0.052100840073529414,Relaxation
50,0.052866716452205885,Relaxation
51,0.05394696737132353,Relaxation
52,0.05423242463235294,Relaxation
53,0.05399698345588236,Relaxation
54,0.053921568933823535,Relaxation
55,0.050709939338235296,Relaxation
56,0.051470588235294115,Relaxation
57,0.05384375965073529,Relaxation
58,0.052866716452205885,Relaxation
59,0.05056759558823529,Relaxation
60,0.05224187591911764,Under Stress
61,0.05373608915441177,Under Stress
62,0.051412691176470585,Under Stress
63,0.05091448345588235,Under Stress
64,0.04836601286764706,Under Stress
65,0.13725489981617647,Under Stress
66,1.0,Under Stress
67,0.11418685064338235,Under Stress
68,0.07843137224264705,Under Stress
69,0.07058823529411765,Under Stress
70,0.06939854595588235,Under Stress
71,0.06894370634191177,Under Stress
72,0.0661764705882353,Under Stress
73,0.06411103768382352,Under Stress
74,0.06535947702205883,Under Stress
75,0.06411103768382352,Under Stress
76,0.06375115487132352,Under Stress
77,0.06559458318014705,Under Stress
78,0.06883604503676471,Under Stress
79,0.07400379549632354,Under Stress
80,0.07533539751838235,Under Stress
81,0.06466934604779412,Under Stress
82,0.06372548988970587,Under Stress
83,0.06559458318014705,Under Stress
84,0.0677871153492647,Under Stress
85,0.06939854595588235,Under Stress
86,0.06833036259191176,Under Stress
87,0.0677871153492647,Under Stress
88,0.0651828299632353,Under Stress
89,0.07058823529411765,Under Stress
90,0.06629318428308824,Under Stress
91,0.06535947702205883,Under Stress
92,0.06470588235294118,Under Stress
93,0.06535947702205883,Under Stress
94,0.07928388832720588,Under Stress
95,0.07104660064338235,Under Stress
96,0.0,Under Stress
97,0.06916612775735294,Under Stress
98,0.06535947702205883,Under Stress
99,0.06540518290441176,Under Stress
100,0.06535947702205883,Under Stress
101,0.07058823529411765,Under Stress
102,0.06535947702205883,Under Stress
103,0.06545153262867648,Under Stress
104,0.06660184742647059,Under Stress
105,0.06761957169117647,Under Stress
106,0.07352941176470588,Under Stress
107,0.06559458318014705,Under Stress
108,0.06549853998161764,Under Stress
109,0.06623436764705883,Under Stress
110,0.06842737086397059,Under Stress
111,0.06722689062500001,Under Stress
112,0.06905370863970588,Under Stress
113,0.06873065027573529,Under Stress
114,0.06535947702205883,Under Stress
115,0.0661764705882353,Under Stress
116,0.07058823529411765,Under Stress
117,0.07352941176470588,Under Stress
118,0.07625272288602941,Under Stress
119,0.24705882352941178,Under Stress
