Time (s),Resistance (Ω),Conductance (µS),Stage
1,65.1876,15340.340801011234,callibration
2,64.6562,15466.420853684565,callibration
3,63.0824,15852.28209453033,callibration
4,59.9609,16677.53486021724,callibration
5,59.9609,16677.53486021724,callibration
6,59.9609,16677.53486021724,callibration
7,59.9609,16677.53486021724,callibration
8,63.4731,15754.705536676167,callibration
9,64.0625,15609.756097560976,callibration
10,64.2599,15561.804484600816,callibration
11,61.9217,16149.427422050749,callibration
12,59.9609,16677.53486021724,callibration
13,59.9609,16677.53486021724,callibration
14,62.5,16000,callibration
15,61.4748,16266.828033600757,callibration
16,61.3475,16300.582745833164,callibration
17,61.9217,16149.427422050749,callibration
18,61.9858,16132.72717299769,callibration
19,61.4111,16283.701155002926,callibration
20,59.9609,16677.53486021724,Normal stage
21,63.2124,15819.680948674628,Normal stage
22,64.1283,15593.739425495454,Normal stage
23,62.3711,16033.066596548722,Normal stage
24,62.7583,15934.147355807918,Normal stage
25,59.6491,16764.712292389995,Normal stage
26,59.0291,16940.79699673551,Normal stage
27,61.3475,16300.582745833164,Normal stage
28,59.0291,16940.79699673551,Normal stage
29,59.9609,16677.53486021724,Normal stage
30,61.7938,16182.853295961731,Normal stage
31,59.0291,16940.79699673551,Normal stage
32,61.0303,16385.303693411308,Normal stage
33,58.4139,17119.213064013875,Normal stage
34,61.4748,16266.828033600757,Normal stage
35,61.8577,16166.136147965412,Normal stage
36,62.0499,16116.06142797974,Normal stage
37,59.9609,16677.53486021724,Normal stage
38,59.2765,16870.091857650168,Normal stage
39,61.3475,16300.582745833164,Normal stage
40,59.1527,16905.39907730332,Normal stage
41,61.4111,16283.701155002926,Normal stage
42,61.284,16317.472749820507,Normal stage
43,59.0909,16923.07952662762,Normal stage
44,59.8361,16712.31915181638,Normal stage
45,57.5,17391.304347826088,Normal stage
46,56.3574,17743.89876041123,Normal stage
47,57.5,17391.304347826088,Normal stage
48,58.9057,16976.2858263292,Normal stage
49,59.9609,16677.53486021724,Normal stage
50,58.9674,16958.522844826126,Normal stage
51,58.8441,16994.057178204785,Normal stage
52,59.9609,16677.53486021724,Normal stage
53,56.7164,17631.584515237217,Normal stage
54,57.9861,17245.512286565227,Normal stage
55,58.0471,17227.389481989623,Normal stage
56,61.7299,16199.605053628791,Normal stage
57,59.9609,16677.53486021724,Normal stage
58,58.1081,17209.304726879727,Normal stage
59,57.2581,17464.77790915172,Normal stage
60,56.5367,17687.62591378697,Normal stage
