df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
6.040,142,72,2
6.478,209,67,3
6.877,281,72,4
7.017,355,74,5
7.462,429,74,6
7.697,503,74,7
8.233,577,74,8
8.577,651,74,9
8.818,725,74,10
9.257,795,70,11
9.647,869,74,12
9.940,934,65,13
10.095,979,45,14
10.524,1047,68,15
10.914,1121,74,16
11.258,1195,74,17
11.597,1267,72,18
11.839,1307,40,19
12.036,1347,40,20
12.183,1393,46,21
12.328,1425,32,22
12.577,1467,42,23
12.718,1504,37,24
12.867,1538,34,25
13.206,1573,35,26
13.353,1605,32,27
13.547,1640,35,28
13.839,1714,74,29
14.132,1788,74,30
14.522,1862,74,31
14.961,1936,74,32
15.253,2010,74,33
15.643,2084,74,34
16.082,2158,74,35
16.325,2232,74,36
16.910,2306,74,37
17.057,2380,74,38
17.447,2454,74,39
17.981,2528,74,40
18.130,2602,74,41
18.571,2676,74,42
19.009,2750,74,43
19.254,2824,74,44
19.738,2898,74,45
20.079,2972,74,46
20.662,3046,74,47
20.859,3116,70,48
21.078,3190,74,49
21.590,3264,74,50
21.932,3338,74,51
22.175,3412,74,52
22.617,3486,74,53
23.004,3560,74,54
23.345,3633,73,55
23.735,3707,74,56
23.979,3769,62,57
24.293,3819,50,58
24.467,3852,33,59
24.564,3884,32,60
24.811,3921,37,61
24.954,3963,42,62
25.295,4013,50,63
25.546,4081,68,64
25.929,4144,63,65
26.226,4208,64,66
26.515,4282,74,67
26.905,4356,74,68
27.197,4398,42,69
27.343,4432,34,70
27.491,4465,33,71
27.830,4516,51,72
27.884,4549,33,73
28.031,4582,33,74
28.172,4618,36,75
28.513,4650,32,76
28.612,4683,33,77
28.757,4715,32,78
28.858,4747,32,79
29.007,4779,32,80
29.244,4811,32,81
29.487,4846,35,82
29.634,4878,32,83
29.685,4911,33,84
29.829,4949,38,85
30.268,4981,32,86
30.276,5014,33,87
30.415,5054,40,88
30.511,5086,32,89
30.658,5118,32,90
30.808,5151,33,91
31.108,5190,39,92
31.243,5230,40,93
31.500,5266,36,94
31.633,5303,37,95
31.779,5339,36,96
31.931,5373,34,97
32.218,5407,34,98
32.412,5440,33,99
32.462,5472,32,100
32.608,5506,34,101
32.901,5550,44,102
33.095,5584,34,103
33.196,5625,41,104
33.489,5664,39,105
33.585,5697,33,106
33.729,5733,36,107
33.875,5767,34,108
34.193,5803,36,109
34.322,5845,42,110
34.558,5893,48,111
34.850,5953,60,112
35.143,6019,66,113
35.533,6092,73,114
36.019,6166,74,115
36.221,6240,74,116
36.654,6314,74,117
37.141,6388,74,118
37.336,6462,74,119
37.878,6536,74,120
38.217,6610,74,121
38.458,6684,74,122
38.897,6758,74,123
39.141,6832,74,124
39.676,6906,74,125
39.970,6980,74,126
40.311,7054,74,127
40.700,7128,74,128
41.090,7202,74,129
41.390,7276,74,130
41.772,7350,74,131
42.220,7424,74,132
42.506,7498,74,133
42.893,7572,74,134
43.208,7637,65,135
43.625,7711,74,136
44.014,7785,74,137
44.356,7859,74,138
44.699,7933,74,139
44.990,8007,74,140
45.428,8081,74,141
45.829,8155,74,142
46.255,8229,74,143
46.503,8303,74,144
46.940,8376,73,145
47.135,8423,47,146
47.330,8463,40,147
47.525,8497,34,148
47.622,8529,32,149
47.821,8561,32,150
47.914,8594,33,151
48.207,8629,35,152
48.305,8661,32,153
48.451,8694,33,154
48.744,8726,32,155
48.753,8761,35,156
49.085,8793,32,157
49.182,8825,32,158
49.328,8857,32,159
49.474,8892,35,160
49.572,8930,38,161
49.865,8967,37,162
50.019,9004,37,163
50.157,9037,33,164
50.305,9069,32,165
50.547,9103,34,166
50.744,9135,32,167
50.937,9168,33,168
50.988,9206,38,169
51.255,9242,36,170
51.387,9276,34,171
51.620,9312,36,172
51.717,9348,36,173
52.007,9382,34,174
52.135,9420,38,175
52.302,9453,33,176
52.595,9498,45,177
52.650,9542,44,178
52.939,9576,34,179
53.033,9612,36,180
53.179,9652,40,181
53.428,9684,32,182
53.764,9721,37,183
53.775,9753,32,184
53.911,9787,34,185
54.008,9821,34,186
54.534,9857,36,187
54.596,9911,54,188
54.883,9985,74,189
55.281,10057,72,190
55.574,10119,62,191
55.861,10171,52,192
55.962,10206,35,193
56.202,10238,32,194
56.276,10274,36,195
56.543,10306,32,196
56.836,10372,66,197
57.425,10441,69,198
57.518,10515,74,199
57.964,10589,74,200
58.347,10661,72,201
58.688,10735,74,202
58.932,10806,71,203
59.333,10879,73,204
59.715,10953,74,205
60.006,11020,67,206
60.591,11092,72,207
60.687,11166,74,208
61.223,11214,48,209
61.418,11286,72,210
61.662,11360,74,211
62.101,11434,74,212
62.637,11496,62,213
62.655,11558,62,214
63.076,11630,72,215
63.416,11704,74,216
63.764,11778,74,217
64.341,11852,74,218
64.490,11926,74,219
64.879,12000,74,220
65.290,12074,74,221
65.565,12148,74,222
66.001,12215,67,223
66.293,12289,74,224
66.732,12363,74,225
67.122,12437,74,226
67.373,12511,74,227
67.805,12585,74,228
68.337,12659,74,229
68.490,12733,74,230
68.926,12807,74,231
69.316,12881,74,232
69.632,12955,74,233
70.242,13029,74,234
70.301,13103,74,235
70.584,13158,55,236
70.976,13232,74,237
71.415,13306,74,238
71.704,13380,74,239
72.095,13454,74,240
72.534,13528,74,241
72.777,13602,74,242
73.287,13676,74,243
73.702,13750,74,244
73.898,13824,74,245
74.337,13898,74,246
74.681,13972,74,247
75.019,14046,74,248
75.477,14120,74,249
75.845,14194,74,250
76.140,14268,74,251
76.533,14342,74,252
76.875,14416,74,253
77.262,14490,74,254
77.655,14564,74,255
78.331,14638,74,256
78.406,14712,74,257
78.773,14786,74,258
79.115,14860,74,259
79.749,14934,74,260
79.775,15008,74,261
80.236,15082,74,262
80.577,15156,74,263
80.869,15230,74,264
81.259,15304,74,265
81.795,15378,74,266
82.039,15452,74,267
82.380,15526,74,268
82.819,15600,74,269
83.258,15674,74,270
83.503,15748,74,271
84.181,15822,74,272
84.328,15896,74,273
84.623,15970,74,274
84.920,16044,74,275
85.403,16118,74,276
85.747,16192,74,277
86.068,16266,74,278
86.427,16340,74,279
86.865,16414,74,280
87.157,16488,74,281
87.793,16562,74,282
87.942,16636,74,283
88.239,16710,74,284
88.778,16784,74,285
89.084,16858,74,286
89.547,16932,74,287
89.741,17006,74,288
