df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,omega
87.605,0.988
88.235,0.980
88.774,0.980
89.546,0.977
90.012,0.977
90.623,0.976
102.089,0.976
103.248,0.974
106.660,0.976
107.338,0.976
107.730,0.974
108.320,0.976
108.910,0.974
109.269,0.974
110.718,0.976
113.684,0.976
114.558,0.976
115.194,0.976
115.783,0.976
116.218,0.985
116.657,0.985
122.647,0.984
123.259,0.972
123.830,0.974
124.354,0.974
124.698,0.978
125.283,0.978
125.867,0.978
126.352,0.971
126.937,0.971
130.699,0.978
131.910,0.971
134.651,0.971
135.235,0.971
135.329,0.971
136.826,0.969
137.372,0.965
137.877,0.964
138.782,0.955
139.054,0.944
139.614,0.929
140.146,0.930
141.275,0.926
142.464,0.920
147.076,0.915
147.658,0.915
150.727,0.906
159.020,0.915
161.710,0.915
164.623,0.915
168.478,0.906
169.205,0.906
169.990,0.906
170.579,0.912
171.797,0.912
172.323,0.909
178.029,0.903
178.180,0.903
188.812,0.903
189.040,0.900
190.557,0.900
191.060,0.891
191.749,0.891
192.314,0.900
192.796,0.894
218.341,0.894
218.685,0.880
254.282,0.880
255.409,0.880
256.139,0.880
256.239,0.906
258.018,0.909
260.599,0.909
260.871,0.912
262.381,0.906
264.133,0.887
264.444,0.887
265.027,0.887
267.302,0.908
269.464,0.892
324.672,0.892
325.837,0.892
327.599,0.892
353.107,0.649
353.741,0.632
354.179,0.602
354.887,0.578
355.348,0.577
355.982,0.576
356.472,0.576
357.819,0.576
358.272,0.576
358.393,0.576
359.982,0.574
360.518,0.573
361.053,0.571
361.808,0.569
362.125,0.569
362.908,0.566
364.421,0.566
365.490,0.569
366.023,0.569
366.576,0.569
367.354,0.571
367.689,0.571
368.375,0.574
378.074,0.575
385.050,0.578
385.785,0.582
385.886,0.590
387.876,0.602
388.419,0.612
389.053,0.615
389.943,0.633
391.004,0.655
392.805,0.671
397.682,0.699
409.237,0.833
411.093,0.844
413.696,0.847
414.264,0.849
417.482,0.875
418.217,0.912
422.402,0.912
435.576,0.912
436.401,0.912
452.843,0.912
453.233,0.875
457.666,0.910
459.275,0.910
459.711,0.910
467.901,0.923
467.963,0.923
470.188,0.923
470.887,0.923
476.340,0.934
487.476,0.934
488.097,0.934
489.266,0.894
493.708,0.883
494.586,0.883
497.171,0.910
505.270,0.947
617.656,1.139
618.340,1.122
619.475,1.122
620.244,1.122
620.675,1.118
622.093,1.122
623.362,1.118
626.282,1.118
626.925,1.106
627.953,1.106
628.584,1.118
629.039,1.118
629.744,1.120
630.175,1.131
