df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,ppg_med
5.851,716
5.876,822
5.901,992
5.926,1083
5.951,1048
5.976,1011
6.001,1109
6.026,1289
6.051,1357
6.076,1248
6.101,1131
6.126,1192
6.151,1359
6.176,1369
6.201,1133
6.226,883
6.251,870
6.276,994
6.301,905
6.326,483
6.351,43
6.376,-82
6.401,-25
6.426,-248
6.451,-905
6.476,-1581
6.501,-1838
6.526,-1849
6.551,-2215
6.576,-3130
6.601,-4056
6.626,-4425
6.651,-4462
6.676,-4934
6.701,-6088
6.726,-7231
6.751,-7639
6.776,-7600
6.801,-8085
6.826,-9401
6.851,-10671
6.876,-10982
6.901,-10697
6.926,-11037
6.951,-12384
6.976,-13637
7.001,-13653
7.026,-12889
7.051,-12870
7.076,-14074
7.101,-15124
7.126,-14601
7.151,-13074
7.176,-12447
7.201,-13319
7.226,-13977
7.251,-12649
7.276,-10048
7.301,-8560
7.326,-8941
7.351,-9053
7.376,-6670
7.401,-2684
7.426,-114
7.451,67
7.476,562
7.501,4210
7.526,9882
7.551,13693
7.576,14355
7.601,15350
7.626,20415
7.651,28102
7.676,32767
7.701,32767
7.726,32767
7.751,32767
7.776,32767
7.801,32767
7.826,32767
7.851,32767
7.876,32767
7.901,32767
7.926,32767
7.951,32767
7.976,32767
8.001,32767
8.026,32767
8.051,32767
8.076,32767
8.101,19491
8.126,-32768
8.151,-32768
8.176,-32768
8.201,-32768
8.226,-32768
8.251,-32768
8.276,-32768
8.301,-32768
8.326,-32768
8.351,-32768
8.376,-32768
8.401,-32768
8.426,-32768
8.451,-32768
8.476,-32768
8.501,-32768
8.526,-32768
8.551,-30322
8.576,-23088
8.601,-16516
8.626,-14191
8.651,-14091
8.676,-11859
8.701,-6754
8.726,-2233
8.751,-955
8.776,-1310
8.801,127
8.826,3979
8.851,7521
8.876,8557
8.901,8209
8.926,9083
8.951,11659
8.976,13837
9.001,13954
9.026,12971
9.051,13004
9.076,14438
9.101,15581
9.126,15082
9.151,13703
9.176,13134
9.201,13692
9.226,14035
9.251,13102
9.276,11519
9.301,10641
9.326,10712
9.351,10664
9.376,9684
9.401,8310
9.426,7634
9.451,7809
9.476,7898
9.501,7171
9.526,6018
9.551,5316
9.576,5238
9.601,5101
9.626,4366
9.651,3344
9.676,2706
9.701,2555
9.726,2346
9.751,1675
9.776,827
9.801,356
9.826,345
9.851,324
9.876,-78
9.901,-674
9.926,-993
9.951,-889
9.976,-657
10.001,-614
10.026,-730
10.051,-770
10.076,-654
10.101,-533
10.126,-537
10.151,-586
10.176,-533
10.201,-379
10.226,-261
10.251,-244
10.276,-222
10.301,-76
10.326,145
10.351,276
10.376,230
10.401,99
10.426,12
10.451,-32
10.476,-138
10.501,-339
10.526,-517
10.551,-516
10.576,-318
10.601,-68
10.626,85
10.651,116
10.676,77
10.701,-26
10.726,-120
10.751,-159
10.776,-132
10.801,-55
10.826,36
10.851,107
10.876,131
10.901,93
10.926,-2
10.951,-138
10.976,-285
11.001,-418
11.026,-526
11.051,-606
11.076,-649
11.101,-628
11.126,-514
11.151,-311
11.176,-62
11.201,170
11.226,339
11.251,430
11.276,455
11.301,431
11.326,377
11.351,314
11.376,267
11.401,247
11.426,243
11.451,237
11.476,223
11.501,219
11.526,231
11.551,238
11.576,203
11.601,126
11.626,71
11.651,132
11.676,355
11.701,680
11.726,972
11.751,1136
11.776,1168
11.801,1129
11.826,1076
11.851,1022
11.876,947
11.901,845
11.926,740
11.951,651
11.976,578
12.001,500
12.026,410
12.051,325
12.076,271
12.101,252
12.126,245
12.151,226
12.176,191
12.201,166
12.226,200
12.251,333
12.276,556
12.301,806
12.326,981
12.351,978
12.376,747
12.401,300
12.426,-302
12.451,-977
12.476,-1631
12.501,-2154
12.526,-2436
12.551,-2399
12.576,-2037
12.601,-1414
12.626,-641
12.651,166
12.676,912
12.701,1541
12.726,2048
12.751,2475
12.776,2885
12.801,3317
12.826,3759
12.851,4165
12.876,4500
12.901,4759
12.926,4955
12.951,5093
12.976,5173
13.001,5213
13.026,5251
13.051,5314
13.076,5383
13.101,5404
13.126,5333
13.151,5175
13.176,4966
13.201,4733
13.226,4466
13.251,4145
13.276,3765
13.301,3340
13.326,2883
13.351,2389
13.376,1850
13.401,1265
13.426,629
13.451,-87
13.476,-916
13.501,-1857
13.526,-2868
13.551,-3922
13.576,-5038
13.601,-6257
13.626,-7565
13.651,-8894
13.676,-10201
13.701,-11537
13.726,-12972
13.751,-14471
13.776,-15898
13.801,-17196
13.826,-18518
13.851,-20076
13.876,-21837
13.901,-23478
13.926,-24759
13.951,-25876
13.976,-27264
14.001,-28952
14.026,-30359
14.051,-31036
14.076,-31607
14.101,-32768
14.126,-32768
14.151,-32768
14.176,-32768
14.201,-19692
14.226,2506
14.251,26203
14.276,32767
14.301,32767
14.326,32767
14.351,32767
14.376,32767
14.401,32767
14.426,32767
14.451,32767
14.476,32767
14.501,32767
14.526,32767
14.551,32767
14.576,32767
14.601,32767
14.626,32767
14.651,32767
14.676,32767
14.701,17920
