df_hash,22ZHK4.2MRVKE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YH8G
person_label,V146
date_time_start,2026-06-08_16-56-17.756000_+03
date_time_start_unix,1780919777.756
date_time_end,2026-06-08_17-07-00.377000_+03
length_difference_noticed,no

time,ppg_quality
58.961,83
59.971,67
60.981,62
61.991,51
63.001,59
65.021,59
68.051,30
70.071,31
71.081,19
72.091,22
74.111,13
76.131,7
77.141,17
78.151,22
79.161,23
81.181,25
82.191,36
83.201,45
85.221,72
86.231,78
88.251,88
89.261,96
90.271,107
92.291,134
93.301,121
94.311,104
96.331,93
97.341,98
98.351,87
99.361,85
100.371,77
102.391,56
103.401,61
104.411,74
105.421,72
107.441,60
109.461,74
111.481,80
113.501,65
115.521,72
116.531,83
118.551,73
120.571,57
122.591,58
124.611,74
126.631,71
127.641,74
129.661,89
131.681,101
133.701,113
135.721,107
137.741,108
138.751,106
139.761,107
140.771,107
142.791,105
144.811,90
145.821,82
147.841,64
148.851,62
149.861,64
151.881,66
152.891,115
153.901,128
155.921,110
157.941,82
158.951,82
160.971,54
161.981,35
167.031,10
169.051,28
171.071,42
173.091,69
174.101,72
175.111,80
176.121,87
178.141,75
180.161,62
181.171,66
182.181,52
184.201,34
186.221,35
187.231,26
189.251,17
190.261,38
191.271,34
192.281,50
193.291,56
195.311,91
197.331,83
199.351,80
201.371,67
202.381,37
203.391,35
204.401,12
205.411,4
207.431,16
210.461,28
212.481,73
213.491,75
214.501,83
216.521,77
218.541,60
220.561,45
221.571,2
227.631,2
231.671,58
232.681,59
233.691,58
235.711,49
237.731,5
248.841,4
256.921,18
257.931,20
259.951,42
261.971,58
263.991,68
266.011,70
267.021,72
269.041,76
270.051,75
271.061,49
273.081,57
275.101,58
277.121,38
279.141,31
280.151,32
282.171,46
283.181,42
285.201,27
286.211,33
287.221,38
288.231,38
290.251,48
291.261,41
292.271,42
293.281,38
294.291,29
296.311,18
298.331,28
300.351,18
302.371,16
303.381,41
305.401,65
306.411,59
307.421,52
308.431,38
309.441,27
311.461,7
315.501,12
317.521,5
319.541,6
321.561,30
323.581,32
324.591,20
325.601,26
326.611,32
328.631,52
330.651,70
333.681,84
335.701,88
337.721,80
339.741,81
341.761,84
343.781,77
344.791,72
346.811,74
348.831,57
350.851,53
351.861,50
352.871,50
355.901,69
356.911,70
357.921,76
358.931,87
359.941,91
361.961,93
363.981,100
364.991,100
367.011,101
369.031,99
371.051,92
373.071,79
374.081,65
375.091,54
377.111,37
379.131,13
389.231,23
391.251,42
393.271,65
395.291,92
397.311,85
399.331,75
400.341,75
401.351,75
403.371,68
404.381,64
406.401,63
408.421,78
410.441,61
412.461,49
413.471,43
415.491,31
416.501,37
417.511,30
419.531,21
421.551,39
423.571,39
424.581,45
426.601,36
428.621,43
430.641,70
432.661,81
434.681,74
436.701,76
437.711,88
439.731,72
441.751,38
442.761,42
443.771,50
445.791,66
447.811,60
448.821,53
450.841,71
452.861,75
454.881,70
455.891,84
456.901,91
458.921,96
460.941,94
461.951,96
463.971,70
464.981,66
465.991,66
468.011,40
470.031,40
471.041,45
473.061,44
475.081,55
477.101,52
479.121,58
480.131,54
481.141,54
483.161,38
484.171,12
486.191,15
488.211,31
490.231,36
491.241,42
492.251,53
494.271,87
495.281,94
496.291,81
497.301,82
499.321,54
501.341,36
503.361,11
504.371,2
505.381,4
507.401,15
509.421,35
510.431,35
511.441,41
512.451,37
513.461,39
514.471,40
516.491,30
517.501,20
518.511,15
520.531,19
521.541,26
523.561,50
524.571,59
525.581,52
526.591,50
527.601,46
529.621,55
531.641,51
532.651,47
533.661,43
535.681,48
537.701,45
539.721,41
540.731,49
542.751,57
544.771,54
546.791,43
548.811,62
550.831,46
551.841,39
553.861,55
555.881,79
557.901,73
559.921,87
560.931,76
562.951,40
563.961,15
575.071,7
577.091,24
579.111,36
580.121,39
581.131,49
583.151,85
585.171,73
587.191,52
588.201,42
590.221,42
591.231,48
592.241,41
593.251,32
594.261,37
596.281,43
598.301,54
600.321,48
601.331,43
603.351,58
604.361,63
605.371,72
607.391,80
608.401,80
609.411,103
610.421,92
611.431,80
613.451,60
616.481,49
618.501,73
619.511,65
620.521,76
622.541,96
624.561,121
625.571,122
626.581,128
628.601,82
629.611,59
631.631,64
632.641,68
633.651,68
635.671,64
637.691,70
639.711,94
