Time (s),Resistance (Ω),Conductance (µS),Stage
1,69.2149,14447.756191224722,callibration
2,68.0345,14698.42506375442,callibration
3,70.4829,14187.838468621467,callibration
4,68.7964,14535.644306969549,callibration
5,70.412,14202.124637845822,callibration
6,71.6261,13961.391168861632,callibration
7,69.917,14302.6731696154,callibration
8,73.0038,13697.917094726576,callibration
9,73.0038,13697.917094726576,callibration
10,71.5543,13975.40050003983,callibration
11,70.2703,14230.76321006172,callibration
12,73.0038,13697.917094726576,callibration
13,72.276,13835.851458298745,callibration
14,72.3485,13821.986634138924,callibration
15,71.8422,13919.39556416702,callibration
16,71.8422,13919.39556416702,callibration
17,71.8422,13919.39556416702,callibration
18,71.4106,14003.523286458872,callibration
19,73.8115,13548.024359347799,callibration
20,72.9307,13711.646809916812,Normal stage
21,74.4781,13426.765720392974,Normal stage
22,71.8422,13919.39556416702,Normal stage
23,73.9592,13520.968317667039,Normal stage
24,71.7701,13933.37894192707,Normal stage
25,70.0581,14273.866976124104,Normal stage
26,70.9812,14088.237448789258,Normal stage
27,74.1812,13480.504494400197,Normal stage
28,71.1241,14059.931865570179,Normal stage
29,73.8853,13534.491976076433,Normal stage
30,74.2553,13467.052183480506,Normal stage
31,74.4781,13426.765720392974,Normal stage
32,74.1812,13480.504494400197,Normal stage
33,71.6981,13947.370990305184,Normal stage
34,72.7848,13739.132346314065,Normal stage
35,71.6981,13947.370990305184,Normal stage
36,70.7673,14130.820308249713,Normal stage
37,72.1311,13863.645501039078,Normal stage
38,72.8577,13725.385237250148,Normal stage
39,72.7848,13739.132346314065,Normal stage
40,72.7848,13739.132346314065,Normal stage
41,72.6391,13766.690391263108,Normal stage
42,69.9875,14288.265761743169,Normal stage
43,69.5652,14375.003593750898,Normal stage
44,70.2703,14230.76321006172,Normal stage
45,69.6355,14360.491416016257,Normal stage
46,70.7673,14130.820308249713,Normal stage
47,70.9812,14088.237448789258,Normal stage
48,73.517,13602.296067576208,Normal stage
49,72.6391,13766.690391263108,Normal stage
50,70.5539,14173.560922925593,Normal stage
51,71.1241,14059.931865570179,Normal stage
52,70.8386,14116.597448283846,Normal stage
53,71.3389,14017.597692142715,Normal stage
54,70.412,14202.124637845822,Normal stage
55,70.7673,14130.820308249713,Normal stage
56,74.1812,13480.504494400197,Normal stage
57,74.0331,13507.471657947592,Normal stage
58,73.37,13629.54886193267,Normal stage
59,71.3389,14017.597692142715,Normal stage
60,73.9592,13520.968317667039,Normal stage
61,72.3485,13821.986634138924,Normal stage
62,71.8422,13919.39556416702,Normal stage
63,71.3389,14017.597692142715,Normal stage
64,72.3485,13821.986634138924,Normal stage
