df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,acc_mag
15.083,1.047
15.113,1.046
15.143,1.036
15.173,1.045
15.203,1.041
15.233,1.035
15.263,1.035
15.293,1.035
15.323,1.034
15.353,1.043
15.383,1.045
15.413,1.040
15.443,1.037
15.473,1.045
15.503,1.044
15.533,1.041
15.563,1.039
15.593,1.038
15.623,1.039
15.653,1.039
15.683,1.043
15.713,1.046
15.743,1.033
15.773,1.032
15.803,1.041
15.833,1.052
15.863,1.041
15.893,1.035
15.923,1.035
15.953,1.035
15.983,1.041
16.013,1.037
16.043,1.030
16.073,1.036
16.103,1.044
16.133,1.045
16.163,1.039
16.193,1.038
16.223,1.039
16.253,1.040
16.283,1.043
16.313,1.039
16.343,1.040
16.373,1.043
16.403,1.043
16.433,1.043
16.463,1.040
16.493,1.029
16.523,1.040
16.553,1.049
16.583,1.045
16.613,1.035
16.643,1.038
16.673,1.040
16.703,1.037
16.733,1.041
16.763,1.037
16.793,1.030
16.823,1.046
16.853,1.045
16.883,1.039
16.913,1.040
16.943,1.040
16.973,1.040
17.003,1.040
17.033,1.039
17.063,1.042
17.093,1.041
17.123,1.037
17.153,1.043
17.183,1.045
17.213,1.040
17.243,1.033
17.273,1.039
17.303,1.045
17.333,1.040
17.363,1.040
17.393,1.043
17.423,1.043
17.453,1.043
17.483,1.038
17.513,1.029
17.543,1.041
17.573,1.040
17.603,1.042
17.633,1.039
17.663,1.045
17.693,1.043
17.723,1.037
17.753,1.044
17.783,1.042
17.813,1.036
17.843,1.042
17.873,1.041
17.903,1.041
17.933,1.043
17.963,1.033
17.993,1.036
18.023,1.049
18.053,1.046
18.083,1.042
18.113,1.039
18.143,1.034
18.173,1.040
18.203,1.041
18.233,1.033
18.263,1.031
18.293,1.043
18.323,1.042
18.353,1.044
18.383,1.047
18.413,1.040
18.443,1.040
18.473,1.044
18.503,1.039
18.533,1.039
18.563,1.035
18.593,1.039
18.623,1.044
18.653,1.044
18.683,1.034
18.713,1.032
18.743,1.041
18.773,1.048
18.803,1.038
18.833,1.034
18.863,1.033
18.893,1.036
18.923,1.043
18.953,1.043
18.983,1.032
19.013,1.044
19.043,1.049
19.073,1.044
19.103,1.041
19.133,1.038
19.163,1.036
19.193,1.039
19.223,1.032
19.253,1.035
19.283,1.036
19.313,1.041
19.343,1.044
19.373,1.048
19.403,1.035
19.433,1.034
19.463,1.043
19.493,1.051
19.523,1.037
19.553,1.036
19.583,1.041
19.613,1.036
19.643,1.038
19.673,1.041
19.703,1.033
19.733,1.039
19.763,1.041
19.793,1.043
19.823,1.040
19.853,1.040
19.883,1.041
19.913,1.039
19.943,1.042
19.973,1.039
20.003,1.037
20.033,1.038
20.063,1.040
20.093,1.041
20.123,1.033
20.153,1.037
20.183,1.043
20.213,1.044
20.243,1.041
20.273,1.040
20.303,1.042
20.333,1.039
20.363,1.038
20.393,1.037
20.423,1.029
20.453,1.046
20.483,1.047
20.513,1.043
20.543,1.037
20.573,1.043
20.603,1.042
20.633,1.039
20.663,1.040
20.693,1.037
20.723,1.038
20.753,1.040
20.783,1.040
20.813,1.043
20.843,1.032
20.873,1.043
20.903,1.054
20.933,1.045
20.963,1.042
20.993,1.041
21.023,1.041
21.053,1.041
21.083,1.037
21.113,1.034
21.143,1.033
21.173,1.049
21.203,1.044
21.233,1.038
21.263,1.039
21.293,1.043
21.323,1.041
21.353,1.038
21.383,1.039
21.413,1.042
21.443,1.042
21.473,1.042
21.503,1.042
21.533,1.038
21.563,1.038
21.593,1.048
21.623,1.043
21.653,1.038
21.683,1.039
21.713,1.040
21.743,1.039
21.773,1.043
21.803,1.044
21.833,1.031
21.863,1.040
21.893,1.044
21.923,1.043
21.953,1.041
21.983,1.042
22.013,1.038
22.043,1.041
22.073,1.034
22.103,1.039
22.133,1.046
22.163,1.044
22.193,1.047
22.223,1.033
22.253,1.036
22.283,1.050
22.313,1.045
22.343,1.038
22.373,1.036
22.403,1.038
22.433,1.043
22.463,1.040
22.493,1.036
22.523,1.035
22.553,1.036
22.583,1.046
22.613,1.045
22.643,1.035
22.673,1.038
22.703,1.033
22.733,1.031
22.763,1.035
22.793,1.037
22.823,1.040
22.853,1.035
22.883,1.047
22.913,1.031
22.943,1.047
22.973,1.033
23.003,1.082
23.033,1.085
23.063,1.045
23.093,1.018
23.123,1.024
23.153,1.022
23.183,1.033
23.213,1.044
23.243,1.045
23.273,1.049
23.303,1.053
23.333,1.063
23.363,1.052
23.393,1.043
23.423,1.029
23.453,1.010
23.483,1.026
23.513,1.040
23.543,1.037
23.573,1.029
23.603,1.031
23.633,1.034
23.663,1.051
23.693,1.058
23.723,1.051
23.753,1.032
23.783,1.052
23.813,1.057
23.843,1.017
23.873,1.027
23.903,1.034
23.933,1.046
23.963,1.050
23.993,1.055
24.023,1.049
24.053,1.041
24.083,1.044
24.113,1.045
24.143,1.045
24.173,1.020
24.203,1.066
24.233,1.067
24.263,1.050
24.293,1.024
24.323,1.029
24.353,1.062
24.383,1.058
24.413,1.042
24.443,1.041
