df_hash,22ZHK4.SJ97MY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H7NN
person_label,V153
date_time_start,2026-06-08_18-52-11.533000_+03
date_time_start_unix,1780926731.533
date_time_end,2026-06-08_19-10-04.103000_+03
length_difference_noticed,no

time,battery
8.801,84
18.694,84
28.833,84
38.680,84
48.731,84
58.714,84
68.756,84
78.848,84
88.790,84
98.835,84
108.776,83
118.769,83
128.713,83
138.706,83
148.699,83
158.692,83
168.880,83
178.786,83
188.817,83
198.712,83
208.755,83
218.699,83
228.751,83
238.734,83
248.873,83
258.768,83
268.765,83
278.657,83
288.702,83
298.692,83
308.720,83
318.684,83
328.676,83
338.763,83
348.865,83
358.700,83
368.794,83
378.746,83
388.825,83
398.791,83
408.835,83
418.756,83
428.652,83
438.647,83
448.739,83
458.632,83
468.679,83
478.668,83
488.661,82
498.655,82
508.647,82
518.689,82
528.683,82
538.676,82
548.669,82
558.711,82
568.707,82
578.698,82
588.711,82
598.684,82
608.797,82
618.671,82
628.669,82
638.609,82
648.603,82
658.742,82
668.638,82
678.732,82
688.722,82
698.618,82
708.633,82
718.751,82
728.647,82
738.591,82
748.682,82
758.627,82
768.637,82
778.614,82
788.607,82
798.601,82
808.546,82
818.636,82
828.630,82
838.623,82
848.617,82
858.561,82
868.652,82
878.646,82
888.639,81
898.633,81
1048.619,81
1058.614,81
