df_hash,22ZHK4.SJ97MY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H7NN
person_label,V153
date_time_start,2026-06-08_18-52-11.533000_+03
date_time_start_unix,1780926731.533
date_time_end,2026-06-08_19-10-04.103000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.681,75,75,0
6.315,150,75,1
7.193,225,75,2
7.826,300,75,3
8.704,375,75,4
9.337,450,75,5
10.166,525,75,6
10.805,600,75,7
11.677,675,75,8
12.360,750,75,9
13.144,825,75,10
13.819,900,75,11
14.651,975,75,12
15.239,1050,75,13
16.174,1125,75,14
16.747,1200,75,15
17.625,1275,75,16
18.212,1350,75,17
19.135,1425,75,18
19.725,1500,75,19
20.598,1575,75,20
21.182,1650,75,21
22.109,1725,75,22
22.697,1800,75,23
23.861,1875,75,24
24.214,1950,75,25
25.131,2025,75,26
25.667,2100,75,27
26.591,2175,75,28
27.218,2250,75,29
28.301,2325,75,30
28.784,2400,75,31
29.617,2475,75,32
30.247,2550,75,33
31.078,2625,75,34
31.614,2700,75,35
32.540,2775,75,36
33.133,2850,75,37
34.055,2925,75,38
34.636,3000,75,39
35.514,3075,75,40
36.121,3150,75,41
37.052,3225,75,42
37.610,3300,75,43
38.492,3375,75,44
39.075,3450,75,45
39.998,3525,75,46
40.632,3600,75,47
41.480,3675,75,48
42.046,3750,75,49
42.973,3825,75,50
43.557,3900,75,51
44.515,3975,75,52
45.068,4050,75,53
45.945,4125,75,54
46.579,4200,75,55
47.554,4275,75,56
48.072,4350,75,57
48.990,4425,75,58
49.509,4500,75,59
50.430,4575,75,60
51.015,4650,75,61
51.892,4725,75,62
52.477,4800,75,63
53.423,4875,75,64
53.988,4950,75,65
54.866,5025,75,66
55.451,5100,75,67
56.398,5175,75,68
56.981,5250,75,69
57.839,5325,75,70
58.570,5400,75,71
59.350,5475,75,72
59.984,5550,75,73
60.813,5625,75,74
61.458,5700,75,75
62.372,5775,75,76
62.980,5850,75,77
63.884,5925,75,78
64.473,6000,75,79
65.465,6075,75,80
65.980,6150,75,81
66.818,6225,75,82
67.540,6300,75,83
68.321,6375,75,84
68.905,6450,75,85
69.902,6525,75,86
70.464,6600,75,87
71.314,6675,75,88
71.927,6750,75,89
72.804,6825,75,90
73.363,6900,75,91
74.363,6975,75,92
74.851,7050,75,93
75.831,7125,75,94
76.411,7200,75,95
77.264,7275,75,96
77.930,7350,75,97
78.854,7425,75,98
79.336,7500,75,99
80.313,7575,75,100
80.847,7650,75,101
81.676,7725,75,102
82.407,7800,75,103
83.568,7875,75,104
83.778,7950,75,105
84.698,8025,75,106
85.332,8100,75,107
86.326,8175,75,108
86.848,8250,75,109
87.913,8325,75,110
88.382,8400,75,111
89.231,8475,75,112
89.816,8550,75,113
90.751,8625,75,114
91.281,8700,75,115
92.107,8775,75,116
92.790,8850,75,117
93.667,8925,75,118
94.226,9000,75,119
95.199,9075,75,120
95.717,9150,75,121
96.690,9225,75,122
97.325,9300,75,123
98.130,9375,75,124
98.785,9450,75,125
99.614,9525,75,126
100.199,9600,75,127
101.179,9675,75,128
101.770,9750,75,129
102.539,9825,75,130
103.271,9900,75,131
104.100,9975,75,132
104.635,10050,75,133
105.610,10125,75,134
106.195,10200,75,135
107.170,10275,75,136
107.707,10350,75,137
108.544,10425,75,138
109.266,10500,75,139
110.046,10575,75,140
110.635,10650,75,141
111.611,10725,75,142
112.142,10800,75,143
112.977,10875,75,144
113.731,10950,75,145
114.531,11025,75,146
115.067,11100,75,147
116.045,11175,75,148
116.581,11250,75,149
117.603,11325,75,150
118.235,11400,75,151
118.966,11475,75,152
119.670,11550,75,153
120.478,11625,75,154
121.112,11700,75,155
122.037,11775,75,156
122.574,11850,75,157
123.408,11925,75,158
124.085,12000,75,159
124.916,12075,75,160
125.498,12150,75,161
126.522,12225,75,162
127.010,12300,75,163
127.996,12375,75,164
128.524,12450,75,165
129.419,12525,75,166
129.959,12600,75,167
130.861,12675,75,168
131.445,12750,75,169
132.420,12825,75,170
133.009,12900,75,171
133.835,12975,75,172
134.516,13050,75,173
135.345,13125,75,174
135.933,13200,75,175
136.856,13275,75,176
137.539,13350,75,177
138.270,13425,75,178
138.952,13500,75,179
139.781,13575,75,180
140.532,13650,75,181
141.341,13725,75,182
141.877,13800,75,183
142.820,13875,75,184
143.437,13950,75,185
144.266,14025,75,186
144.908,14100,75,187
145.777,14175,75,188
146.313,14250,75,189
147.326,14325,75,190
147.844,14400,75,191
148.703,14475,75,192
149.384,14550,75,193
150.223,14625,75,194
150.846,14700,75,195
151.916,14775,75,196
152.309,14850,75,197
153.284,14925,75,198
153.822,15000,75,199
154.697,15075,75,200
155.428,15150,75,201
156.208,15225,75,202
156.793,15300,75,203
157.671,15375,75,204
158.304,15450,75,205
159.133,15525,75,206
159.767,15600,75,207
160.693,15675,75,208
161.278,15750,75,209
162.215,15825,75,210
162.740,15900,75,211
163.682,15975,75,212
164.252,16050,75,213
165.422,16125,75,214
165.907,16200,75,215
166.640,16275,75,216
167.664,16350,75,217
168.151,16425,75,218
168.688,16500,75,219
169.565,16575,75,220
170.247,16650,75,221
171.076,16725,75,222
171.704,16800,75,223
172.587,16875,75,224
173.172,16950,75,225
174.148,17025,75,226
174.683,17100,75,227
175.537,17175,75,228
176.537,17250,75,229
177.072,17325,75,230
177.898,17400,75,231
178.632,17475,75,232
179.120,17550,75,233
179.997,17625,75,234
180.679,17700,75,235
181.508,17775,75,236
182.102,17850,75,237
183.019,17925,75,238
183.604,18000,75,239
184.628,18075,75,240
185.164,18150,75,241
185.945,18225,75,242
186.626,18300,75,243
187.503,18375,75,244
188.478,18450,75,245
189.064,18525,75,246
189.551,18600,75,247
190.459,18675,75,248
191.111,18750,75,249
191.896,18825,75,250
192.531,18900,75,251
193.451,18975,75,252
194.040,19050,75,253
195.008,19125,75,254
195.788,19200,75,255
196.395,19275,75,256
197.058,19350,75,257
197.838,19425,75,258
198.472,19500,75,259
199.446,19575,75,260
199.989,19650,75,261
200.812,19725,75,262
201.548,19800,75,263
202.517,19875,75,264
202.956,19950,75,265
203.931,20025,75,266
204.467,20100,75,267
205.366,20175,75,268
206.060,20250,75,269
206.807,20325,75,270
207.539,20400,75,271
208.367,20475,75,272
208.903,20550,75,273
209.830,20625,75,274
210.415,20700,75,275
211.341,20775,75,276
212.069,20850,75,277
212.757,20925,75,278
213.339,21000,75,279
214.318,21075,75,280
214.802,21150,75,281
215.823,21225,75,282
216.651,21300,75,283
217.243,21375,75,284
217.973,21450,75,285
218.750,21525,75,286
219.628,21600,75,287
220.310,21675,75,288
220.836,21750,75,289
221.742,21825,75,290
222.406,21900,75,291
223.232,21975,75,292
223.771,22050,75,293
224.841,22125,75,294
225.380,22200,75,295
226.257,22275,75,296
226.816,22350,75,297
227.627,22425,75,298
228.353,22500,75,299
229.280,22575,75,300
229.865,22650,75,301
230.742,22725,75,302
231.229,22800,75,303
232.155,22875,75,304
232.795,22950,75,305
233.618,23025,75,306
234.304,23100,75,307
235.145,23175,75,308
235.689,23250,75,309
236.640,23325,75,310
237.225,23400,75,311
238.059,23475,75,312
238.694,23550,75,313
239.614,23625,75,314
240.157,23700,75,315
241.125,23775,75,316
241.759,23850,75,317
242.715,23925,75,318
243.315,24000,75,319
244.058,24075,75,320
244.683,24150,75,321
245.561,24225,75,322
246.167,24300,75,323
247.170,24375,75,324
247.678,24450,75,325
248.502,24525,75,326
249.217,24600,75,327
249.997,24675,75,328
250.584,24750,75,329
251.557,24825,75,330
252.093,24900,75,331
252.978,24975,75,332
253.653,25050,75,333
254.484,25125,75,334
255.137,25200,75,335
255.993,25275,75,336
256.538,25350,75,337
257.573,25425,75,338
258.089,25500,75,339
258.968,25575,75,340
259.751,25650,75,341
260.501,25725,75,342
261.067,25800,75,343
262.037,25875,75,344
262.815,25950,75,345
263.453,26025,75,346
264.038,26100,75,347
264.865,26175,75,348
265.498,26250,75,349
266.424,26325,75,350
267.165,26400,75,351
267.936,26475,75,352
268.526,26550,75,353
269.395,26625,75,354
270.080,26700,75,355
270.967,26775,75,356
271.495,26850,75,357
272.420,26925,75,358
272.962,27000,75,359
273.793,27075,75,360
274.660,27150,75,361
275.345,27225,75,362
275.906,27300,75,363
276.813,27375,75,364
277.445,27450,75,365
278.416,27525,75,366
278.956,27600,75,367
279.879,27675,75,368
280.468,27750,75,369
281.536,27825,75,370
281.877,27900,75,371
282.803,27975,75,372
283.436,28050,75,373
284.360,28125,75,374
284.899,28200,75,375
285.728,28275,75,376
286.603,28350,75,377
287.288,28425,75,378
287.828,28500,75,379
288.752,28575,75,380
289.482,28650,75,381
290.262,28725,75,382
290.868,28800,75,383
291.773,28875,75,384
292.325,28950,75,385
293.235,29025,75,386
294.114,29100,75,387
294.650,29175,75,388
295.336,29250,75,389
296.308,29325,75,390
296.745,29400,75,391
297.743,29475,75,392
298.302,29550,75,393
299.231,29625,75,394
299.816,29700,75,395
300.650,29775,75,396
301.327,29850,75,397
302.161,29925,75,398
302.748,30000,75,399
303.765,30075,75,400
304.299,30150,75,401
305.081,30225,75,402
305.797,30300,75,403
306.602,30375,75,404
307.274,30450,75,405
308.103,30525,75,406
308.646,30600,75,407
309.711,30675,75,408
310.202,30750,75,409
311.077,30825,75,410
311.662,30900,75,411
312.588,30975,75,412
313.270,31050,75,413
314.099,31125,75,414
314.684,31200,75,415
315.534,31275,75,416
316.195,31350,75,417
317.026,31425,75,418
317.576,31500,75,419
318.535,31575,75,420
319.217,31650,75,421
320.095,31725,75,422
320.631,31800,75,423
321.704,31875,75,424
322.164,31950,75,425
322.971,32025,75,426
323.608,32100,75,427
324.533,32175,75,428
325.067,32250,75,429
326.028,32325,75,430
326.627,32400,75,431
327.602,32475,75,432
327.992,32550,75,433
329.020,32625,75,434
329.818,32700,75,435
330.527,32775,75,436
331.116,32850,75,437
331.893,32925,75,438
332.574,33000,75,439
333.409,33075,75,440
334.037,33150,75,441
334.963,33225,75,442
335.548,33300,75,443
336.620,33375,75,444
337.010,33450,75,445
337.888,33525,75,446
338.481,33600,75,447
339.399,33675,75,448
339.984,33750,75,449
341.446,33825,75,450
341.495,33900,75,451
342.324,33975,75,452
343.006,34050,75,453
343.835,34125,75,454
344.477,34200,75,455
345.590,34275,75,456
345.931,34350,75,457
346.763,34425,75,458
347.442,34500,75,459
348.319,34575,75,460
349.101,34650,75,461
