df_hash,22ZHK4.SJ97MY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H7NN
person_label,V153
date_time_start,2026-06-08_18-52-11.533000_+03
date_time_start_unix,1780926731.533
date_time_end,2026-06-08_19-10-04.103000_+03
length_difference_noticed,no

time,heart_rate
15.844,72
17.036,74
17.914,74
18.840,71
20.010,70
20.887,70
21.813,71
22.991,72
24.010,74
24.787,71
26.009,69
26.883,67
28.055,65
28.992,64
30.152,65
30.734,67
31.952,70
32.879,72
33.733,74
34.926,74
35.904,73
36.778,72
37.899,73
38.777,74
39.708,74
40.873,74
41.750,72
42.676,71
43.850,72
44.734,72
45.650,76
46.826,74
47.748,73
48.627,73
49.797,73
50.875,78
51.645,81
52.815,81
53.693,80
54.570,79
55.789,78
56.666,77
57.583,78
58.766,79
59.665,80
60.520,79
61.742,79
62.651,79
63.637,79
64.761,76
65.684,75
66.562,75
67.741,75
68.658,77
69.646,78
70.754,79
71.729,78
72.509,77
73.679,76
74.605,76
75.433,77
76.701,76
77.530,76
78.504,82
79.683,78
80.609,79
81.429,78
82.745,78
83.635,78
84.500,78
85.594,78
86.549,77
87.425,75
88.643,74
89.472,74
90.488,75
91.573,78
92.544,79
93.373,77
94.639,77
95.468,74
96.592,70
97.584,69
98.398,70
99.393,72
100.494,73
101.469,72
102.297,71
103.514,69
104.390,67
105.315,66
106.436,66
107.414,66
108.239,67
109.507,68
110.338,69
111.319,69
112.432,68
113.311,67
114.235,65
115.508,65
116.338,66
117.160,66
118.441,66
119.305,66
120.231,65
121.355,65
122.278,65
123.131,66
124.374,66
125.258,66
126.179,66
127.301,66
128.274,65
129.103,65
130.419,66
131.199,67
132.027,66
133.295,66
134.127,71
135.114,69
136.220,70
137.146,70
138.023,71
139.242,73
140.074,74
141.094,75
142.216,76
143.142,75
144.019,74
145.242,73
146.066,73
147.041,73
148.180,73
149.141,73
149.935,73
151.185,73
152.013,72
152.894,71
154.109,70
155.101,70
155.868,70
157.034,71
158.061,72
158.841,71
160.105,70
160.934,69
161.860,67
163.088,67
164.017,67
164.785,68
166.056,70
166.904,71
167.857,71
169.516,70
169.953,69
170.793,68
172.051,68
172.834,68
173.705,69
174.986,70
175.802,70
176.778,70
178.095,70
178.794,70
179.701,69
180.920,69
181.846,69
182.870,69
183.895,69
184.820,69
185.900,69
186.916,68
187.744,68
188.730,68
189.841,69
190.767,71
191.685,72
192.876,73
193.740,72
194.591,71
195.811,70
196.909,70
197.642,70
198.716,70
199.736,70
200.572,70
201.832,70
202.620,71
203.612,71
204.708,71
205.732,71
206.561,71
207.792,70
208.608,70
209.584,69
210.826,69
211.679,70
212.579,72
213.683,73
214.555,73
215.433,72
216.680,70
217.503,68
218.459,68
219.870,68
220.660,69
221.380,71
222.670,73
223.529,74
224.451,75
225.576,75
226.547,75
227.376,74
228.597,73
229.423,72
230.398,71
231.519,70
232.543,70
233.569,70
234.639,70
235.622,70
236.247,72
237.565,73
238.344,74
239.382,75
240.440,76
241.415,78
242.260,79
243.511,78
244.583,77
245.314,76
246.437,75
247.362,75
248.239,76
249.458,77
250.286,77
251.261,77
252.386,76
253.357,77
254.190,79
255.453,77
256.336,80
257.283,78
258.406,78
259.207,78
260.231,76
261.303,75
262.229,73
263.107,72
264.326,71
265.448,70
266.129,70
267.270,70
268.225,70
269.054,71
270.321,71
271.150,72
272.177,73
273.246,73
274.227,73
275.050,74
276.323,75
277.146,77
277.977,79
279.194,80
280.071,79
281.101,78
282.118,77
283.112,76
283.925,77
285.308,76
286.021,81
286.993,81
288.260,80
289.089,80
289.988,79
291.185,79
292.029,79
292.989,78
294.195,77
295.085,76
295.865,75
297.140,75
297.961,75
298.838,76
300.060,76
300.939,76
301.916,75
303.128,73
303.957,72
304.789,73
306.053,73
306.882,72
307.812,72
308.978,72
309.953,78
310.781,81
312.007,82
312.877,82
313.804,82
314.950,82
315.855,81
316.732,80
317.996,79
318.825,78
319.702,78
320.903,78
321.798,79
322.924,80
323.849,80
324.772,80
325.698,79
326.873,78
327.770,78
328.637,78
329.862,79
330.774,79
331.645,79
332.815,78
333.694,77
334.667,76
335.742,75
336.915,74
337.593,75
338.811,75
339.639,77
340.569,78
341.736,77
342.747,74
343.588,71
344.710,70
345.643,69
346.513,69
347.732,68
348.854,67
349.535,67
350.679,67
351.640,67
352.460,66
353.682,65
354.556,64
355.531,63
356.652,63
357.681,64
358.456,66
359.626,66
360.601,65
361.384,65
362.599,64
363.428,64
364.404,65
365.529,66
366.746,66
367.328,65
368.595,65
369.434,64
370.399,64
371.569,64
372.499,64
373.422,64
374.604,65
375.667,67
376.302,69
377.467,70
378.442,70
379.320,69
380.538,68
381.416,68
382.219,68
383.473,68
384.300,68
385.329,68
386.443,67
387.363,67
388.192,67
389.474,67
390.288,67
391.214,67
392.335,68
393.310,69
394.139,70
395.455,70
396.235,70
397.210,70
398.341,72
399.306,73
400.160,72
401.402,71
402.279,71
403.060,69
404.358,69
405.180,70
406.131,71
407.549,74
408.327,78
409.056,79
410.323,77
411.147,73
412.080,70
413.689,68
414.372,68
415.008,69
416.271,71
417.100,73
418.074,74
419.195,74
420.170,73
420.999,72
422.218,71
423.052,71
423.927,71
425.169,70
425.971,70
427.241,70
428.093,70
429.047,69
430.045,69
