df_hash,22ZHK4.SJ97MY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H7NN
person_label,V153
date_time_start,2026-06-08_18-52-11.533000_+03
date_time_start_unix,1780926731.533
date_time_end,2026-06-08_19-10-04.103000_+03
length_difference_noticed,no

time,omega
34.591,0.659
37.571,0.646
38.444,0.644
39.465,0.643
50.479,0.644
64.712,0.646
66.814,0.659
71.589,0.646
73.985,0.659
75.219,0.672
76.240,0.680
79.679,0.697
87.340,0.697
96.348,0.697
97.048,0.690
100.492,0.657
102.296,0.657
103.128,0.654
104.301,0.654
112.048,0.645
112.874,0.619
121.158,0.641
124.891,0.641
125.697,0.641
129.398,0.616
137.493,0.614
138.176,0.614
141.298,0.616
143.832,0.616
149.293,0.614
155.249,0.614
155.382,0.614
159.673,0.612
160.429,0.614
162.159,0.614
163.084,0.621
163.285,0.625
165.669,0.625
166.497,0.621
167.297,0.625
168.996,0.625
170.746,0.624
171.699,0.625
172.502,0.630
172.833,0.644
174.984,0.653
175.954,0.653
176.776,0.653
177.712,0.653
178.499,0.660
179.448,0.653
180.343,0.653
181.188,0.660
182.745,0.658
183.756,0.659
184.623,0.653
185.703,0.653
186.577,0.655
187.364,0.662
188.092,0.662
188.915,0.669
190.453,0.669
191.602,0.665
192.250,0.665
193.155,0.659
194.036,0.655
194.897,0.659
195.550,0.659
196.673,0.659
197.361,0.658
198.181,0.658
199.110,0.658
199.840,0.658
202.379,0.658
203.301,0.660
210.026,0.666
215.982,0.660
216.948,0.660
217.775,0.660
218.585,0.668
223.528,0.668
224.318,0.683
224.993,0.693
225.826,0.690
226.652,0.690
229.277,0.703
229.727,0.703
235.614,0.715
239.904,0.715
242.207,0.721
250.883,0.721
260.053,0.715
262.577,0.715
263.452,0.715
264.283,0.698
265.447,0.683
265.941,0.683
266.822,0.698
267.608,0.683
268.424,0.678
269.255,0.673
269.986,0.673
270.965,0.673
271.849,0.671
272.668,0.673
279.506,0.667
280.467,0.667
281.098,0.666
281.833,0.666
284.439,0.666
285.878,0.666
292.324,0.659
293.824,0.654
295.624,0.656
296.306,0.656
297.044,0.648
297.720,0.656
298.554,0.648
301.091,0.643
301.913,0.643
302.160,0.632
313.712,0.632
314.393,0.632
321.419,0.637
325.945,0.637
328.935,0.648
334.594,0.637
338.428,0.637
342.742,0.645
343.546,0.645
344.476,0.645
344.709,0.645
346.189,0.648
348.030,0.651
357.609,0.651
362.896,0.664
363.796,0.664
364.700,0.678
365.685,0.678
366.508,0.685
370.336,0.685
371.234,0.685
372.206,0.678
373.387,0.678
373.914,0.665
374.598,0.668
375.478,0.685
376.301,0.668
378.985,0.668
380.791,0.668
381.679,0.685
382.543,0.692
383.472,0.685
384.294,0.685
385.328,0.692
387.096,0.692
394.048,0.672
394.837,0.664
395.876,0.663
396.633,0.663
398.090,0.685
404.356,0.663
405.111,0.661
405.795,0.661
414.182,0.690
416.621,0.690
417.440,0.661
422.436,0.690
423.293,0.690
424.276,0.711
424.860,0.690
426.813,0.673
427.538,0.673
428.417,0.672
429.153,0.660
430.226,0.672
444.503,0.673
447.433,0.672
450.910,0.689
454.207,0.672
459.177,0.672
465.613,0.689
469.801,0.711
470.675,0.711
471.553,0.694
472.483,0.672
473.460,0.694
474.286,0.693
479.837,0.714
483.447,0.693
486.671,0.692
489.157,0.683
490.332,0.700
490.905,0.700
491.589,0.700
497.241,0.700
502.170,0.700
503.151,0.700
503.779,0.686
504.661,0.690
505.293,0.690
512.066,0.690
512.888,0.686
513.628,0.686
516.828,0.686
517.623,0.686
518.314,0.682
520.154,0.682
520.450,0.682
523.670,0.686
536.688,0.690
542.049,0.702
543.951,0.714
548.382,0.715
550.821,0.715
551.744,0.714
564.528,0.714
565.444,0.719
567.310,0.755
578.608,0.794
582.744,0.755
585.529,0.719
586.305,0.719
586.868,0.718
588.600,0.718
589.188,0.740
589.971,0.740
590.840,0.740
591.629,0.719
611.171,0.716
612.630,0.714
634.572,0.714
653.242,0.687
655.289,0.687
657.724,0.687
674.446,0.714
674.699,0.701
678.602,0.675
679.271,0.671
681.867,0.668
682.780,0.668
685.999,0.668
693.959,0.668
697.550,0.678
705.655,0.685
711.203,0.685
719.944,0.703
722.815,0.709
729.437,0.730
736.270,0.730
737.038,0.730
738.017,0.714
738.791,0.714
739.571,0.698
740.452,0.698
741.309,0.695
742.360,0.698
743.131,0.698
744.152,0.698
744.959,0.698
745.917,0.698
746.781,0.695
752.063,0.686
753.512,0.674
761.799,0.668
764.242,0.666
765.026,0.663
765.991,0.659
766.677,0.653
767.792,0.640
770.291,0.626
771.112,0.626
775.594,0.586
776.478,0.546
783.248,0.538
801.729,0.538
804.166,0.538
805.039,0.538
805.919,0.538
809.821,0.538
818.426,0.538
818.710,0.538
821.564,0.538
882.166,0.735
883.607,0.738
886.598,0.740
