df_hash,22ZHK4.SJ97MY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.H7NN
person_label,V153
date_time_start,2026-06-08_18-52-11.533000_+03
date_time_start_unix,1780926731.533
date_time_end,2026-06-08_19-10-04.103000_+03
length_difference_noticed,no

time,quality
16.164,55
17.039,74
17.919,70
18.889,73
20.013,74
20.890,75
21.820,66
23.179,69
24.012,72
24.793,61
26.103,57
26.932,69
28.059,76
29.177,77
30.158,69
30.738,65
31.956,69
32.884,75
33.757,75
34.974,73
35.950,75
36.827,68
37.904,55
38.781,61
39.898,61
40.876,56
41.753,73
42.680,67
44.190,69
44.822,30
45.653,35
47.078,42
47.797,37
48.721,36
49.992,35
50.894,47
51.651,61
52.825,40
53.698,33
54.576,65
55.794,63
56.670,47
57.641,47
58.774,57
59.786,48
60.717,35
61.798,30
62.682,28
63.641,33
64.910,55
65.688,59
66.567,67
67.927,60
68.661,62
69.783,67
70.757,63
71.781,59
72.512,69
73.682,77
74.608,75
75.437,58
76.706,48
77.533,44
78.510,51
79.918,38
80.698,24
81.432,26
82.750,21
83.723,24
84.504,30
85.598,19
86.843,29
87.431,45
88.649,60
89.522,63
90.597,52
91.719,37
92.593,44
93.380,28
94.646,34
95.471,47
96.595,61
97.710,75
98.542,62
99.520,65
100.638,58
101.661,46
102.441,46
103.709,72
104.542,84
105.318,88
106.485,84
107.557,80
108.243,79
109.511,74
110.582,74
111.606,69
112.435,65
113.702,68
114.238,80
115.697,83
116.477,85
117.163,88
118.674,85
119.308,81
120.236,86
121.599,85
122.281,87
123.402,83
124.380,82
125.401,82
126.228,86
127.494,86
128.277,87
129.106,85
130.422,84
131.207,68
132.031,37
133.298,38
134.326,44
135.296,38
136.224,49
137.149,57
138.028,68
139.245,73
140.366,74
141.101,77
142.219,79
143.147,71
144.025,71
145.436,52
146.070,33
147.045,28
148.260,41
149.235,35
149.966,34
151.189,43
152.016,70
153.240,75
154.115,80
155.104,82
155.913,79
157.038,75
158.109,80
159.036,69
160.108,64
160.937,73
161.866,88
163.176,86
164.203,80
164.788,68
166.247,70
166.906,71
167.905,69
169.519,73
170.001,82
170.879,85
172.246,80
172.877,81
173.709,83
175.122,81
175.808,82
176.874,85
178.099,83
178.824,84
179.704,89
180.926,84
181.854,81
182.876,84
183.898,88
184.823,82
185.913,80
186.920,85
187.748,83
188.774,76
189.846,71
190.771,69
191.891,79
192.912,75
193.744,79
194.596,86
195.837,90
196.913,85
197.740,84
198.764,85
199.739,84
200.662,83
201.839,81
202.667,82
203.785,73
204.713,65
205.739,69
206.566,70
207.926,67
208.611,62
209.588,70
210.831,81
211.685,75
212.583,76
213.829,78
214.559,75
215.487,61
216.708,71
217.506,81
218.503,73
219.886,71
220.803,54
221.382,53
222.848,61
223.625,58
224.457,60
225.672,74
226.596,77
227.392,82
228.741,77
229.429,76
230.401,69
231.523,59
232.547,47
233.572,50
234.642,46
235.626,42
236.252,48
237.907,41
238.350,58
239.567,52
240.448,50
241.420,50
242.292,60
243.514,61
244.588,66
245.319,65
246.825,67
247.367,65
248.244,68
249.463,67
250.291,68
251.267,67
252.531,79
253.363,59
254.332,55
255.457,46
256.339,49
257.403,40
258.625,30
259.210,36
260.236,53
261.309,75
262.232,75
263.111,84
264.329,86
265.453,88
266.133,84
267.543,83
268.229,82
269.060,78
270.325,77
271.153,79
272.274,79
273.249,75
274.467,74
275.110,71
276.466,70
277.149,67
278.129,66
279.437,63
280.075,52
281.292,62
282.121,71
283.345,70
284.217,50
285.631,38
286.313,49
286.996,47
288.265,29
289.094,51
289.993,64
291.190,68
292.163,65
292.994,64
294.233,59
295.088,63
295.868,72
297.330,72
297.966,71
298.846,79
300.106,80
301.032,77
301.969,78
303.131,64
303.960,51
304.838,44
306.056,35
306.885,30
307.857,31
308.982,34
309.957,47
310.785,53
312.152,71
312.881,79
313.807,77
315.169,75
315.900,68
316.875,59
318.001,60
318.829,56
319.707,55
320.924,49
321.802,53
322.934,60
324.141,52
324.775,51
325.701,46
327.212,46
327.941,41
328.672,47
329.866,63
331.014,70
331.694,65
332.820,61
333.744,66
334.674,73
335.789,73
336.920,71
337.644,52
338.814,49
339.689,56
340.814,49
341.739,41
342.860,67
343.592,79
344.758,79
345.782,81
346.534,84
347.735,82
348.859,86
349.541,85
350.684,85
351.649,81
352.463,76
353.974,76
354.575,83
355.538,86
356.658,82
357.735,83
358.461,59
359.631,55
360.604,49
361.481,52
362.603,57
363.431,53
364.427,79
365.622,89
366.772,84
367.331,86
368.599,87
369.670,87
370.403,85
371.572,82
372.595,81
373.428,85
374.643,82
375.670,67
376.398,68
377.471,75
378.446,73
379.323,77
380.542,85
381.420,83
382.222,84
383.661,86
384.325,83
385.562,82
386.539,86
387.383,86
388.195,86
389.489,80
390.291,70
391.217,66
392.339,68
393.314,67
394.192,69
395.459,70
396.238,78
397.259,82
398.727,66
399.309,60
400.163,37
401.407,37
402.283,43
403.102,45
404.478,50
405.183,49
406.134,41
407.553,50
408.330,55
409.105,41
410.372,33
411.252,43
412.176,65
413.693,75
414.377,80
415.152,63
416.274,63
417.138,67
418.077,68
419.198,64
420.180,75
421.002,78
422.221,74
423.193,76
424.021,78
425.172,82
426.020,78
427.244,80
428.098,84
429.091,83
430.050,82
