df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,acc_mag
4.962,1.027
4.992,1.043
5.022,1.089
5.052,1.088
5.082,1.002
5.112,0.996
5.142,1.002
5.172,1.023
5.202,1.026
5.232,0.994
5.262,0.995
5.292,1.003
5.322,1.010
5.352,1.058
5.382,1.063
5.412,1.002
5.442,1.040
5.472,0.993
5.502,1.050
5.532,1.044
5.562,0.993
5.592,1.078
5.622,1.120
5.652,1.017
5.682,1.106
5.712,1.088
5.742,1.067
5.772,1.051
5.802,1.046
5.832,1.032
5.862,1.035
5.892,1.009
5.922,1.015
5.952,1.047
5.982,0.979
6.012,0.992
6.042,1.010
6.072,1.072
6.102,1.023
6.132,1.010
6.162,1.012
6.192,0.988
6.222,1.003
6.252,0.983
6.282,1.007
6.312,1.005
6.342,1.053
6.372,1.039
6.402,1.022
6.432,1.008
6.462,1.009
6.492,1.003
6.522,1.005
6.552,0.992
6.582,0.980
6.612,0.999
6.642,1.006
6.672,0.995
6.702,1.005
6.732,1.011
6.762,1.003
6.792,1.014
6.822,1.019
6.852,0.998
6.882,1.013
6.912,0.996
6.942,0.987
6.972,1.006
7.002,1.021
7.032,1.021
7.062,1.004
7.092,1.001
7.122,0.998
7.152,1.000
7.182,1.004
7.212,1.007
7.242,1.017
7.272,1.002
7.302,1.009
7.332,1.012
7.362,0.997
7.392,1.009
7.422,1.008
7.452,0.998
7.482,1.004
7.512,1.005
7.542,1.004
7.572,1.009
7.602,1.013
7.632,1.014
7.662,1.007
7.692,1.003
7.722,1.002
7.752,1.010
7.782,1.002
7.812,0.991
7.842,1.012
7.872,1.010
7.902,1.005
7.932,1.011
7.962,0.980
7.992,1.008
8.022,1.011
8.052,1.009
8.082,0.990
8.112,0.993
8.142,0.998
8.172,0.996
8.202,1.016
8.232,1.034
8.262,1.002
8.292,1.005
8.322,1.017
8.352,0.994
8.382,1.002
8.412,1.014
8.442,1.012
8.472,0.998
8.502,1.009
8.532,1.009
8.562,1.007
8.592,1.002
8.622,1.013
8.652,0.995
8.682,1.004
8.712,1.007
8.742,1.007
8.772,1.001
8.802,1.006
8.832,1.008
8.862,1.005
8.892,1.010
8.922,1.007
8.952,1.009
8.982,1.004
9.012,1.019
9.042,1.019
9.072,1.008
9.102,1.013
9.132,1.026
9.162,1.031
9.192,1.003
9.222,0.981
9.252,0.999
9.282,1.019
9.312,1.006
9.342,1.011
9.372,1.001
9.402,1.022
9.432,1.006
9.462,1.006
9.492,1.021
9.522,1.007
9.552,1.021
9.582,1.025
9.612,1.002
9.642,1.018
9.672,1.020
9.702,1.015
9.732,1.023
9.762,1.009
9.792,1.019
9.822,0.992
9.852,0.996
9.882,1.004
9.912,1.034
9.942,1.026
9.972,1.011
10.002,1.014
10.032,1.017
10.062,1.009
10.092,0.997
10.122,1.011
10.152,1.014
10.182,1.011
10.212,1.012
10.242,1.032
10.272,0.988
10.302,1.015
10.332,1.025
10.362,1.006
10.392,1.014
10.422,0.986
10.452,0.973
10.482,1.015
10.512,1.028
10.542,1.015
10.572,1.011
10.602,1.020
10.632,1.033
10.662,1.010
10.692,1.014
10.722,1.012
10.752,1.012
10.782,1.016
10.812,1.012
10.842,1.002
10.872,1.012
10.902,1.021
10.932,1.047
10.962,1.026
10.992,1.027
11.022,1.037
11.052,1.016
11.082,0.990
11.112,1.002
11.142,1.000
11.172,1.021
11.202,1.029
11.232,0.986
11.262,0.981
11.292,0.987
11.322,1.015
11.352,1.043
11.382,1.026
11.412,0.965
11.442,1.007
11.472,1.016
11.502,0.994
11.532,0.996
11.562,0.972
11.592,0.998
11.622,1.020
11.652,1.037
11.682,1.088
11.712,1.050
11.742,1.052
11.772,1.056
11.802,1.065
11.832,1.064
11.862,1.052
11.892,1.036
11.922,1.026
11.952,1.040
11.982,1.026
12.012,1.040
12.042,1.027
12.072,1.055
12.102,1.061
12.132,1.063
12.162,1.062
12.192,1.060
12.222,1.030
12.252,1.044
12.282,1.055
12.312,1.044
12.342,1.032
12.372,1.012
12.402,1.016
12.432,1.012
12.462,1.013
12.492,1.020
12.522,1.008
12.552,1.020
12.582,1.007
12.612,1.012
12.642,1.021
12.672,1.019
12.702,1.022
12.732,1.004
12.762,1.014
12.792,1.032
12.822,1.022
12.852,1.021
12.882,1.020
12.912,1.044
12.942,1.048
12.972,1.025
13.002,1.031
13.032,0.997
13.062,1.004
13.092,0.992
13.122,1.036
13.152,1.010
13.182,1.017
13.212,1.015
13.242,1.038
13.272,1.011
13.302,1.021
13.332,1.033
13.362,1.029
13.392,1.024
13.422,1.037
13.452,1.026
13.482,1.023
13.512,1.053
13.542,1.021
13.572,1.021
13.602,1.022
13.632,1.024
13.662,1.022
13.692,1.047
13.722,1.011
13.752,1.013
13.782,1.017
13.812,1.007
13.842,1.044
13.872,1.037
13.902,1.020
13.932,1.020
13.962,1.029
13.992,1.007
14.022,0.999
14.052,1.009
14.082,1.043
14.112,1.002
14.142,1.033
14.172,1.011
14.202,0.990
14.232,1.017
14.262,1.020
14.292,1.022
14.322,0.996
14.352,1.029
