df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
4.962,-0.371,0.955,0.076
4.972,-0.373,0.945,0.076
4.982,-0.373,0.947,0.084
4.991,-0.383,0.965,0.098
5.001,-0.402,0.979,0.109
5.011,-0.422,0.982,0.117
5.021,-0.439,0.988,0.127
5.031,-0.453,0.988,0.133
5.041,-0.467,0.979,0.141
5.051,-0.479,0.967,0.145
5.061,-0.490,0.941,0.154
5.071,-0.502,0.896,0.152
5.081,-0.500,0.855,0.150
5.091,-0.490,0.861,0.152
5.101,-0.490,0.848,0.158
5.110,-0.490,0.852,0.160
5.120,-0.490,0.863,0.172
5.130,-0.490,0.850,0.172
5.140,-0.500,0.852,0.170
5.150,-0.510,0.863,0.184
5.160,-0.506,0.873,0.188
5.170,-0.504,0.871,0.184
5.180,-0.516,0.881,0.182
5.190,-0.516,0.885,0.193
5.200,-0.508,0.871,0.191
5.210,-0.471,0.824,0.178
5.220,-0.498,0.838,0.197
5.230,-0.500,0.836,0.197
5.239,-0.508,0.836,0.201
5.249,-0.508,0.836,0.201
5.259,-0.508,0.832,0.199
5.269,-0.520,0.836,0.205
5.279,-0.527,0.838,0.217
5.289,-0.525,0.826,0.219
5.299,-0.535,0.820,0.221
5.309,-0.543,0.824,0.227
5.319,-0.541,0.822,0.227
5.329,-0.537,0.832,0.230
5.339,-0.545,0.848,0.242
5.349,-0.559,0.861,0.254
5.359,-0.570,0.867,0.260
5.368,-0.586,0.859,0.258
5.378,-0.592,0.844,0.262
5.388,-0.580,0.820,0.262
5.398,-0.602,0.809,0.287
5.408,-0.557,0.793,0.254
5.418,-0.553,0.791,0.258
5.428,-0.572,0.803,0.277
5.438,-0.586,0.809,0.291
5.448,-0.572,0.775,0.283
5.458,-0.564,0.768,0.283
5.468,-0.562,0.771,0.273
5.478,-0.551,0.777,0.268
5.488,-0.557,0.799,0.260
5.497,-0.576,0.834,0.273
5.507,-0.590,0.838,0.285
5.517,-0.580,0.811,0.271
5.527,-0.590,0.816,0.275
5.537,-0.564,0.791,0.240
5.547,-0.547,0.791,0.217
5.557,-0.545,0.803,0.211
5.567,-0.555,0.822,0.205
5.577,-0.568,0.863,0.225
5.587,-0.594,0.873,0.219
5.597,-0.592,0.873,0.236
5.607,-0.604,0.875,0.211
5.617,-0.625,0.904,0.217
5.626,-0.617,0.855,0.213
5.636,-0.594,0.818,0.221
5.646,-0.625,0.779,0.188
5.656,-0.641,0.805,0.229
5.666,-0.668,0.812,0.209
5.676,-0.691,0.830,0.238
5.686,-0.666,0.822,0.229
5.696,-0.670,0.828,0.209
5.706,-0.682,0.820,0.215
5.716,-0.615,0.807,0.199
5.726,-0.680,0.809,0.199
5.736,-0.672,0.803,0.207
5.745,-0.652,0.809,0.205
5.755,-0.637,0.807,0.205
5.765,-0.625,0.818,0.211
5.775,-0.607,0.803,0.207
5.785,-0.619,0.854,0.205
5.795,-0.607,0.826,0.205
5.805,-0.604,0.824,0.201
5.815,-0.582,0.816,0.197
5.825,-0.572,0.836,0.199
5.835,-0.566,0.857,0.215
5.845,-0.551,0.861,0.211
5.855,-0.543,0.855,0.211
5.865,-0.545,0.857,0.215
5.874,-0.566,0.832,0.250
5.884,-0.531,0.832,0.207
5.894,-0.514,0.822,0.195
5.904,-0.521,0.828,0.199
5.914,-0.533,0.830,0.236
5.924,-0.529,0.844,0.234
5.934,-0.484,0.850,0.188
5.944,-0.496,0.906,0.170
5.954,-0.459,0.875,0.184
5.964,-0.436,0.855,0.184
5.974,-0.428,0.861,0.180
5.984,-0.453,0.889,0.184
5.994,-0.430,0.855,0.174
6.003,-0.436,0.875,0.172
6.013,-0.428,0.898,0.160
6.023,-0.434,0.895,0.158
6.033,-0.451,0.889,0.162
6.043,-0.465,0.908,0.164
6.053,-0.475,0.932,0.164
6.063,-0.463,0.953,0.164
6.073,-0.461,0.949,0.160
6.083,-0.457,0.930,0.162
6.093,-0.439,0.910,0.160
6.103,-0.432,0.900,0.168
6.113,-0.414,0.898,0.154
6.123,-0.393,0.920,0.141
6.132,-0.379,0.930,0.129
6.142,-0.379,0.928,0.127
6.152,-0.379,0.930,0.123
6.162,-0.400,0.926,0.125
6.172,-0.385,0.908,0.115
6.182,-0.383,0.904,0.113
6.192,-0.377,0.908,0.109
6.202,-0.348,0.920,0.104
6.212,-0.350,0.936,0.092
6.222,-0.348,0.934,0.094
6.232,-0.354,0.930,0.064
6.242,-0.350,0.916,0.078
6.251,-0.354,0.920,0.076
6.261,-0.344,0.947,0.055
6.271,-0.357,0.938,0.082
6.281,-0.332,0.932,0.051
6.291,-0.350,0.957,0.070
6.301,-0.320,0.951,0.047
6.311,-0.326,0.980,0.049
6.321,-0.316,0.998,0.035
6.331,-0.314,1.004,0.023
6.341,-0.301,1.010,0.033
6.351,-0.283,1.002,0.027
6.361,-0.275,1.002,0.025
6.371,-0.264,0.994,0.021
6.380,-0.264,0.990,0.020
6.390,-0.268,0.986,0.021
6.400,-0.279,0.979,0.020
6.410,-0.287,0.967,0.025
6.420,-0.297,0.963,0.023
6.430,-0.303,0.957,0.025
6.440,-0.311,0.961,0.031
6.450,-0.322,0.955,0.035
6.460,-0.332,0.945,0.041
6.470,-0.344,0.949,0.049
6.480,-0.346,0.939,0.057
6.490,-0.338,0.945,0.059
6.500,-0.350,0.924,0.088
6.509,-0.330,0.947,0.061
6.519,-0.322,0.943,0.068
6.529,-0.311,0.941,0.066
6.539,-0.303,0.941,0.080
6.549,-0.303,0.938,0.090
6.559,-0.291,0.943,0.078
6.569,-0.283,0.936,0.068
6.579,-0.277,0.932,0.062
6.589,-0.287,0.938,0.070
6.599,-0.287,0.955,0.059
6.609,-0.293,0.949,0.072
6.619,-0.285,0.955,0.066
6.629,-0.309,0.953,0.088
6.638,-0.289,0.955,0.074
6.648,-0.285,0.951,0.068
6.658,-0.285,0.951,0.064
6.668,-0.287,0.951,0.061
6.678,-0.283,0.951,0.061
6.688,-0.281,0.963,0.061
6.698,-0.279,0.967,0.057
6.708,-0.289,0.969,0.061
6.718,-0.289,0.967,0.057
6.728,-0.291,0.965,0.055
6.738,-0.289,0.963,0.055
6.748,-0.283,0.961,0.053
6.758,-0.277,0.967,0.053
6.767,-0.271,0.969,0.053
6.777,-0.266,0.977,0.053
6.787,-0.270,0.982,0.051
6.797,-0.266,0.984,0.047
6.807,-0.264,0.982,0.047
6.817,-0.260,0.980,0.043
6.827,-0.262,0.969,0.047
6.837,-0.258,0.963,0.043
6.847,-0.266,0.965,0.043
6.857,-0.277,0.965,0.045
6.867,-0.291,0.969,0.049
6.877,-0.303,0.963,0.047
6.886,-0.305,0.953,0.049
6.896,-0.303,0.947,0.045
6.906,-0.303,0.941,0.053
6.916,-0.297,0.943,0.053
6.926,-0.287,0.943,0.051
6.936,-0.283,0.951,0.053
6.946,-0.281,0.955,0.051
6.956,-0.279,0.965,0.049
6.966,-0.262,0.953,0.043
6.976,-0.273,0.980,0.055
6.986,-0.273,0.982,0.053
6.996,-0.273,0.982,0.051
7.006,-0.271,1.010,0.031
7.015,-0.266,0.984,0.041
7.025,-0.264,0.977,0.041
7.035,-0.262,0.975,0.043
7.045,-0.260,0.969,0.039
7.055,-0.256,0.965,0.041
7.065,-0.262,0.967,0.039
7.075,-0.258,0.967,0.037
7.085,-0.256,0.969,0.037
7.095,-0.250,0.967,0.035
7.105,-0.254,0.965,0.031
7.115,-0.254,0.965,0.035
7.125,-0.252,0.967,0.031
7.135,-0.252,0.967,0.031
7.144,-0.258,0.973,0.029
7.154,-0.268,0.971,0.031
7.164,-0.277,0.965,0.029
7.174,-0.281,0.957,0.029
7.184,-0.285,0.959,0.029
7.194,-0.287,0.965,0.029
7.204,-0.293,0.969,0.029
7.214,-0.295,0.973,0.033
7.224,-0.295,0.973,0.033
7.234,-0.295,0.973,0.033
7.244,-0.287,0.969,0.031
7.254,-0.287,0.959,0.049
7.264,-0.279,0.967,0.037
7.273,-0.277,0.969,0.037
7.283,-0.271,0.971,0.039
7.293,-0.271,0.977,0.037
7.303,-0.270,0.975,0.039
7.313,-0.268,0.975,0.041
7.323,-0.266,0.971,0.039
7.333,-0.270,0.969,0.037
7.343,-0.270,0.959,0.041
7.353,-0.268,0.963,0.039
7.363,-0.266,0.969,0.039
7.373,-0.266,0.973,0.041
7.383,-0.262,0.975,0.037
7.393,-0.262,0.975,0.041
7.402,-0.260,0.973,0.037
7.412,-0.260,0.965,0.037
7.422,-0.266,0.963,0.039
7.432,-0.268,0.961,0.039
7.442,-0.271,0.961,0.037
7.452,-0.275,0.965,0.043
7.462,-0.273,0.965,0.041
7.472,-0.271,0.967,0.045
7.482,-0.271,0.967,0.045
7.492,-0.275,0.965,0.047
7.502,-0.273,0.963,0.045
7.512,-0.258,0.955,0.037
7.521,-0.275,0.965,0.045
7.531,-0.266,0.965,0.041
7.541,-0.268,0.969,0.039
7.551,-0.266,0.973,0.039
7.561,-0.266,0.975,0.033
7.571,-0.240,0.965,0.035
7.581,-0.260,0.979,0.037
7.591,-0.260,0.977,0.031
7.601,-0.260,0.975,0.035
7.611,-0.264,0.979,0.035
7.621,-0.270,0.973,0.035
7.631,-0.271,0.967,0.041
7.641,-0.277,0.967,0.039
7.650,-0.283,0.961,0.043
7.660,-0.285,0.959,0.039
7.670,-0.283,0.961,0.043
7.680,-0.285,0.955,0.041
7.690,-0.281,0.955,0.041
7.700,-0.279,0.961,0.045
7.710,-0.277,0.965,0.047
7.720,-0.275,0.965,0.045
7.730,-0.275,0.971,0.047
7.740,-0.271,0.969,0.047
7.750,-0.275,0.969,0.047
7.760,-0.268,0.965,0.043
7.770,-0.268,0.965,0.043
