Time_sec,Resistance_Ohm,Stage,HeartRate_BPM,Resistance_Ohm_Normalized,HeartRate_BPM_Normalized
0,,,104.0,,0.3793103448275863
1,11195.65,Calibration,104.0,0.5911834884958482,0.3793103448275863
2,11075.66,Calibration,104.0,0.5225247907165702,0.3793103448275863
3,10871.56,Calibration,104.0,0.40573805668247864,0.3793103448275863
4,11162.79,Calibration,106.0,0.5723808815367102,0.4482758620689653
5,11328.12,Calibration,108.0,0.6669832859358111,0.5172413793103448
6,10755.2,Calibration,105.0,0.3391564576025825,0.4137931034482758
7,11339.24,Calibration,105.0,0.6733461888385985,0.4137931034482758
8,10914.2,Calibration,106.0,0.43013681385648095,0.4482758620689653
9,11261.68,Calibration,106.0,0.6289660854986474,0.4482758620689653
10,10882.2,Calibration,105.0,0.4118263019060109,0.4137931034482758
11,11151.86,Calibration,105.0,0.5661266972986274,0.4137931034482758
12,11317.02,Calibration,105.0,0.660631827102991,0.4137931034482758
13,11361.5,Calibration,105.0,0.6860834387141441,0.4137931034482758
14,11394.98,Calibration,107.0,0.7052408118423239,0.48275862068965525
15,11151.86,Calibration,107.0,0.5661266972986274,0.48275862068965525
16,11339.24,Calibration,108.0,0.6733461888385985,0.5172413793103448
17,11228.62,Calibration,109.0,0.6100490378398176,0.5517241379310343
18,11173.73,Calibration,109.0,0.5786407878097766,0.5517241379310343
19,10935.58,Calibration,109.0,0.4423705246533878,0.5517241379310343
20,11383.81,Normal,109.0,0.6988492987646122,0.5517241379310343
21,11317.02,Normal,109.0,0.660631827102991,0.5517241379310343
22,11086.51,Normal,109.0,0.528733198674777,0.5517241379310343
23,11075.66,Normal,109.0,0.5225247907165702,0.5517241379310343
24,11140.94,Normal,109.0,0.55987823509553,0.5517241379310343
25,10914.2,Normal,109.0,0.43013681385648095,0.5517241379310343
26,11294.85,Normal,108.0,0.6479460755423059,0.5172413793103448
27,10935.58,Normal,108.0,0.4423705246533878,0.5172413793103448
28,11361.5,Normal,108.0,0.6860834387141441,0.5172413793103448
29,11317.02,Normal,108.0,0.660631827102991,0.5172413793103448
30,10882.2,Normal,108.0,0.4118263019060109,0.5172413793103448
31,11086.51,Normal,108.0,0.528733198674777,0.5172413793103448
32,11339.24,Normal,108.0,0.6733461888385985,0.5172413793103448
33,11317.02,Normal,110.0,0.660631827102991,0.5862068965517242
34,11317.02,Normal,111.0,0.660631827102991,0.6206896551724137
35,10839.69,Normal,111.0,0.387501931186808,0.6206896551724137
36,10924.89,Normal,111.0,0.4362536692549339,0.6206896551724137
37,,Normal,110.0,,0.5862068965517242
38,,Normal,109.0,,0.5517241379310343
39,,Normal,108.0,,0.5172413793103448
40,,Normal,107.0,,0.48275862068965525
41,,Normal,107.0,,0.48275862068965525
42,11010.78,Normal,107.0,0.4854002277369931,0.48275862068965525
43,11151.86,Normal,107.0,0.5661266972986274,0.48275862068965525
44,11162.79,Normal,108.0,0.5723808815367102,0.5172413793103448
45,11394.98,Normal,107.0,0.7052408118423239,0.48275862068965525
46,11130.03,Normal,108.0,0.5536354949274163,0.5172413793103448
47,11151.86,Normal,108.0,0.5661266972986274,0.5172413793103448
48,11339.24,Normal,108.0,0.6733461888385985,0.5172413793103448
49,11328.12,Normal,107.0,0.6669832859358111,0.48275862068965525
50,11140.94,Normal,107.0,0.55987823509553,0.48275862068965525
51,10924.89,Normal,108.0,0.4362536692549339,0.5172413793103448
52,11075.66,Normal,107.0,0.5225247907165702,0.48275862068965525
53,10839.69,Normal,107.0,0.387501931186808,0.48275862068965525
54,11406.17,Normal,106.0,0.7116437689900037,0.4482758620689653
55,10860.93,Normal,106.0,0.3996555334939327,0.4482758620689653
56,10839.69,Normal,105.0,0.387501931186808,0.4137931034482758
57,11064.82,Normal,105.0,0.5163221047933488,0.4137931034482758
58,10924.89,Normal,105.0,0.4362536692549339,0.4137931034482758
59,10935.58,Normal,105.0,0.4423705246533878,0.4137931034482758
60,11328.12,Normal,105.0,0.6669832859358111,0.4137931034482758
61,11130.03,Normal,106.0,0.5536354949274163,0.4482758620689653
62,11406.17,Normal,106.0,0.7116437689900037,0.4482758620689653
63,11328.12,Normal,106.0,0.6669832859358111,0.4482758620689653
64,11394.98,Normal,106.0,0.7052408118423239,0.4482758620689653
65,11151.86,Normal,106.0,0.5661266972986274,0.4482758620689653
66,11000.0,Normal,106.0,0.47923187402367784,0.4482758620689653
67,,Normal,106.0,,0.4482758620689653
68,,Normal,107.0,,0.48275862068965525
69,,Normal,107.0,,0.48275862068965525
70,,Normal,108.0,,0.5172413793103448
71,,Normal,107.0,,0.48275862068965525
72,11086.51,Normal,107.0,0.528733198674777,0.48275862068965525
73,10818.5,Normal,107.0,0.3753769390546058,0.48275862068965525
74,11119.13,Normal,107.0,0.547398476794287,0.48275862068965525
75,,Normal,110.0,,0.5862068965517242
76,,Normal,111.0,,0.6206896551724137
77,11000.0,Normal,112.0,0.47923187402367784,0.6551724137931032
78,,Normal,112.0,,0.6551724137931032
79,,Normal,112.0,,0.6551724137931032
80,,Normal,111.0,,0.6206896551724137
82,,Normal,111.0,,0.6206896551724137
83,,Normal,111.0,,0.6206896551724137
85,,Normal,111.0,,0.6206896551724137
86,11272.73,Normal,111.0,0.6352889341565433,0.6206896551724137
87,11394.98,Normal,,0.7052408118423239,
88,10989.24,Normal,111.0,0.4730749643803325,0.6206896551724137
89,,Normal,111.0,,0.6206896551724137
91,10957.01,Normal,111.0,0.4546328456252189,0.6206896551724137
