Time_sec,Conductance_microS,Stage,RR_Interval_ms,Conductance_microS_Normalized,RR_Interval_ms_Normalized
1,13018.544917234602,Calibration,690.0,0.7255608215340432,0.2582781456953642
2,13253.828036882753,Calibration,966.25,0.8245995412932858,0.4412251655629139
3,13346.644386668302,Calibration,1242.5,0.8636691203996545,0.6241721854304636
4,13480.504494400197,Calibration,1518.75,0.9200154223206187,0.8071192052980133
5,12661.866131154142,Calibration,1795.0,0.575422509905418,0.9900662251655629
6,12864.317470772272,Calibration,1555.0,0.660641209484492,0.8311258278145696
7,13018.544917234602,Calibration,935.0,0.7255608215340432,0.42052980132450335
8,12561.977657266538,Calibration,1365.0,0.5333760316568856,0.705298013245033
9,13346.644386668302,Calibration,1795.0,0.8636691203996545,0.9900662251655629
10,13057.438365626555,Calibration,725.0,0.7419324054433414,0.2814569536423841
11,13386.62996945171,Calibration,555.0,0.880500421062524,0.16887417218543047
12,12611.819545041222,Calibration,335.0,0.5543561885120418,0.023178807947019875
13,12877.089468729919,Calibration,835.0,0.6660173806623675,0.35430463576158944
14,13267.051145808871,Calibration,300.0,0.8301656005211564,0.0
15,13306.773014396598,Calibration,360.0,0.8468858948510523,0.03973509933774835
16,13161.756673339678,Calibration,1095.0,0.7858435524002862,0.5264900662251656
17,12992.6994022059,Calibration,1395.0,0.7146815594612326,0.7251655629139072
18,13333.333333333334,Calibration,825.0,0.858066042359404,0.347682119205298
19,12954.039069381834,Calibration,1045.0,0.6984081018749526,0.4933774834437086
20,13031.489290722102,Normal,1265.0,0.7310095514735506,0.6390728476821191
21,12928.331792707128,Normal,1485.0,0.6875870290577994,0.7847682119205298
22,12413.786254462755,Normal,395.0,0.47099719702157206,0.06291390728476823
23,13057.438365626555,Normal,602.5,0.7419324054433414,0.20033112582781457
24,13267.051145808871,Normal,810.0,0.8301656005211564,0.3377483443708609
25,12524.752041221464,Normal,1205.0,0.5177064954790822,0.5993377483443708
26,12724.750913000878,Normal,1600.0,0.6018928673868791,0.8609271523178809
27,12586.865102790633,Normal,445.0,0.5438520094765877,0.09602649006622518
