df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,quality
348.313,50
349.392,48
350.310,51
351.140,100
352.407,3
353.236,0
354.405,31
355.332,23
356.234,21
357.087,19
358.357,18
359.186,23
360.110,45
361.374,74
362.449,73
363.084,61
364.253,60
365.179,60
366.104,46
367.322,42
368.106,43
369.128,39
370.201,38
371.127,44
372.004,53
373.201,54
374.100,60
375.270,64
376.148,65
377.074,67
378.046,63
379.171,47
380.048,48
381.221,52
382.145,43
383.031,37
384.142,45
385.166,52
385.995,46
387.067,42
388.143,48
388.970,35
389.897,30
391.066,29
391.990,29
392.914,35
394.185,14
394.920,13
395.888,42
397.013,19
398.180,0
398.911,0
400.017,0
400.913,0
401.792,0
402.961,0
403.893,0
404.765,0
406.034,0
406.861,20
407.931,0
408.956,28
409.833,5
410.711,30
411.978,0
412.807,38
413.686,34
414.906,41
415.787,46
416.904,42
417.879,35
418.754,48
419.680,48
420.945,43
421.728,63
422.702,65
423.830,70
424.762,60
425.630,37
426.893,0
427.724,37
428.800,0
429.771,36
430.841,0
431.576,0
432.794,0
433.673,21
434.549,0
435.771,20
436.647,0
437.818,52
438.741,42
439.810,32
440.496,22
441.715,27
442.594,0
443.472,25
444.744,34
445.570,44
446.493,66
447.713,70
448.550,69
449.467,66
450.637,63
451.559,70
452.440,76
453.610,79
454.536,82
455.416,87
456.587,85
457.510,82
458.391,81
459.651,84
460.487,83
461.360,78
462.618,78
463.554,75
464.384,65
465.557,71
466.573,79
467.650,76
468.526,78
469.404,77
470.286,80
471.502,77
472.378,37
473.304,23
474.484,23
475.497,0
476.278,0
477.448,0
478.374,31
479.256,60
480.423,39
481.374,34
482.227,37
483.446,22
484.711,0
485.199,0
486.416,33
487.295,35
488.273,46
489.392,45
490.412,41
491.195,38
492.459,0
493.243,0
494.189,0
495.384,42
496.312,0
497.094,30
498.312,0
499.190,32
500.143,0
501.286,29
502.456,37
503.090,24
504.263,0
505.139,0
506.065,22
507.248,23
508.159,14
509.134,39
510.256,21
511.279,25
512.011,29
513.285,28
514.107,35
514.985,27
516.154,35
517.081,29
517.958,38
519.179,40
520.054,31
521.330,0
522.150,29
523.222,55
523.935,75
525.135,63
526.007,56
527.071,64
528.292,41
529.025,31
530.000,53
531.217,81
532.242,84
532.877,89
534.047,88
535.220,77
535.851,71
537.019,82
537.994,92
538.871,66
540.070,62
540.919,62
541.820,58
543.307,39
543.892,43
544.772,67
546.240,69
546.868,71
547.743,32
549.162,29
549.891,21
550.717,18
552.085,28
552.813,0
553.741,1
554.910,0
555.881,0
556.714,0
558.026,45
558.807,0
559.687,0
560.903,0
561.738,27
562.807,38
563.835,61
564.904,75
565.634,67
566.899,26
567.682,15
568.656,0
569.806,0
570.658,0
571.585,0
572.753,24
573.776,56
574.559,58
575.771,66
576.652,84
577.580,81
578.699,81
579.625,84
580.503,83
581.819,83
582.645,82
583.622,83
584.695,81
585.572,84
586.547,78
587.766,74
588.546,78
589.521,79
590.697,79
591.526,72
592.399,72
593.616,73
594.494,74
595.416,81
596.882,84
597.516,87
598.442,80
599.565,73
600.640,76
601.367,65
602.788,69
603.414,78
604.341,79
605.705,79
606.437,77
607.315,73
608.484,72
609.460,73
610.483,70
611.458,73
612.388,85
613.262,87
614.432,87
615.549,85
616.284,83
617.433,83
618.332,84
619.297,78
620.724,76
621.402,73
622.377,77
623.451,74
624.279,77
625.157,81
626.375,82
627.298,82
628.130,81
629.394,85
630.372,81
631.396,78
632.322,80
633.201,76
634.123,77
635.342,73
636.178,79
637.100,79
638.270,82
639.148,78
640.074,82
641.342,84
642.171,76
643.052,79
644.269,85
645.096,87
646.022,84
647.582,81
648.076,80
648.997,83
650.455,80
651.138,81
651.970,80
653.240,82
654.066,81
655.239,80
656.116,81
657.086,76
658.159,71
659.088,75
660.060,79
661.184,77
662.205,73
663.339,78
663.868,60
665.179,58
666.013,68
666.934,61
668.104,59
668.936,55
669.860,39
671.033,57
672.005,75
672.836,86
674.384,89
674.930,92
675.811,73
677.075,42
678.109,36
678.830,49
679.957,33
680.832,38
681.759,50
682.928,82
683.856,92
684.736,93
685.940,40
686.780,37
687.706,26
688.974,27
689.803,0
690.683,29
691.853,31
692.776,26
693.654,24
694.824,35
695.754,0
696.628,0
697.848,0
698.772,0
699.605,0
700.897,0
701.699,24
702.600,26
703.913,33
704.672,53
705.644,50
706.866,39
707.650,39
708.764,44
709.743,46
710.620,50
711.546,54
712.762,52
713.691,59
714.521,49
715.882,33
716.616,47
717.494,31
718.724,24
719.590,25
720.565,26
721.724,26
722.665,32
723.682,30
724.901,65
725.587,56
726.419,47
727.634,0
728.558,0
729.391,28
730.657,0
731.778,0
732.363,0
733.583,21
734.521,26
735.341,31
736.556,0
737.434,0
738.411,42
739.531,26
740.505,20
741.480,0
742.504,26
743.382,0
744.308,0
745.478,0
746.431,0
747.282,0
748.549,0
749.335,0
750.398,0
751.426,0
752.357,24
753.229,38
754.452,54
755.328,56
756.206,69
757.522,63
758.302,54
759.177,43
760.347,26
761.370,27
762.152,47
