df_hash,22ZHK4.S3ZK9C
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ELE
person_label,V34
date_time_start,2025-10-14_16-34-28.479000_+03
date_time_start_unix,1760441668.479
date_time_end,2025-10-14_16-49-33.625000_+03
length_difference_noticed,no

time,temperature
5.080,26.828
5.906,26.844
7.032,26.797
7.905,26.781
8.928,26.781
9.903,26.797
11.170,26.781
12.003,26.781
12.938,26.750
13.903,26.766
14.924,26.844
15.899,26.844
16.972,26.969
17.898,26.984
18.921,26.969
19.897,26.953
20.923,27.000
21.895,27.016
22.919,27.031
23.894,27.031
24.918,26.984
25.897,26.953
26.917,26.844
28.009,26.891
28.915,26.906
29.890,26.938
31.080,26.906
31.889,26.875
32.915,26.922
33.888,26.938
34.911,26.906
35.886,26.922
36.911,26.969
37.885,26.922
38.933,26.938
39.884,26.906
40.908,26.938
41.933,26.984
43.150,26.938
43.881,26.938
44.905,26.984
45.880,27.000
46.903,26.984
47.879,27.000
48.902,26.984
49.877,26.969
50.901,26.984
51.943,26.984
53.194,27.016
53.900,27.016
54.899,26.984
55.873,26.984
56.897,26.984
57.921,26.969
58.896,26.938
59.920,26.938
60.895,26.906
61.918,26.875
62.893,26.859
63.917,26.797
64.892,26.781
65.916,26.781
66.891,26.797
67.914,26.797
68.889,26.812
69.962,26.844
70.937,26.859
71.960,26.891
72.887,26.906
73.911,26.953
75.278,26.984
75.909,26.984
76.884,26.984
77.908,27.016
78.882,27.047
79.907,27.047
80.930,27.031
81.905,27.016
82.880,27.000
83.908,27.062
85.025,27.062
85.903,27.062
86.878,27.094
87.911,27.125
88.925,27.125
89.903,27.125
90.875,27.141
91.899,27.188
92.874,27.203
93.897,27.188
94.872,27.203
96.142,27.219
96.871,27.203
97.900,27.141
98.919,27.188
99.893,27.203
100.968,27.188
101.892,27.156
102.869,27.141
103.961,27.125
104.866,27.125
105.938,27.094
107.011,27.078
107.888,27.094
108.961,27.047
109.887,27.062
110.935,27.062
111.940,27.062
112.909,27.094
113.884,27.078
114.908,27.078
115.886,27.094
116.915,27.125
118.125,27.109
118.954,27.125
119.881,27.094
120.904,27.125
121.928,27.125
122.905,27.094
123.878,27.109
124.902,27.125
125.878,27.125
126.900,27.078
127.973,27.062
128.902,27.078
129.874,27.094
130.898,27.078
132.019,27.062
132.897,27.062
134.122,27.062
134.895,27.047
135.873,27.047
136.894,27.094
137.871,27.094
138.894,27.094
139.868,27.047
140.891,27.047
141.879,27.094
142.988,27.125
143.866,27.125
144.889,27.141
145.864,27.125
146.887,27.125
147.863,27.172
148.887,27.172
149.868,27.188
150.885,27.203
151.879,27.156
153.033,27.141
154.251,27.125
154.883,27.094
155.906,27.062
156.881,27.047
157.929,27.016
158.880,27.016
159.904,27.016
160.879,27.016
161.902,27.062
162.878,27.047
164.099,27.156
164.879,27.156
165.900,27.188
166.875,27.219
167.904,27.234
168.876,27.234
169.898,27.203
170.873,27.203
171.896,27.156
172.871,27.188
173.943,27.094
174.873,27.109
175.894,27.141
176.918,27.078
177.892,27.062
178.967,27.094
179.891,27.078
180.866,27.078
181.890,27.078
182.865,27.062
183.897,27.016
184.864,26.984
186.049,26.984
186.863,27.016
187.886,27.000
188.910,26.953
189.885,26.938
190.960,26.922
191.884,26.938
192.859,26.953
193.882,26.969
194.857,26.953
195.928,26.953
196.856,26.984
197.880,27.000
198.855,27.047
200.122,27.094
200.853,27.094
201.877,27.109
202.880,27.109
203.876,27.094
204.900,27.078
205.875,27.062
206.898,27.062
207.874,27.047
208.897,27.047
209.872,27.047
210.896,27.062
211.871,27.047
212.895,27.047
213.870,27.094
214.945,27.109
215.871,27.125
216.892,27.141
217.867,27.125
219.037,27.094
219.866,27.078
220.890,27.047
222.010,27.047
222.888,27.062
223.912,27.031
224.887,27.047
225.861,27.062
226.934,27.062
228.104,27.062
228.884,27.094
229.859,27.109
230.883,27.156
232.006,27.172
232.882,27.172
233.905,27.172
234.881,27.125
235.904,27.125
236.882,27.078
237.854,27.062
239.073,27.125
239.853,27.125
240.887,27.109
241.900,27.078
242.924,27.062
243.850,27.062
244.874,27.094
245.849,27.109
246.872,27.141
247.852,27.141
248.871,27.094
249.847,27.109
250.870,27.109
251.845,27.156
253.115,27.156
254.236,27.156
254.868,27.141
256.086,27.062
256.915,27.062
257.914,27.078
258.866,27.062
259.937,27.047
260.864,27.016
261.887,27.047
262.901,27.062
263.886,27.172
264.861,27.188
265.886,27.234
266.908,27.234
267.884,27.234
268.859,27.250
269.882,27.297
270.886,27.328
271.881,27.312
273.298,27.312
273.880,27.156
274.952,27.109
275.927,27.109
276.854,27.078
289.912,27.594
290.932,27.625
291.934,27.688
292.930,27.703
293.906,27.734
294.929,27.703
295.953,27.734
296.928,27.703
297.903,27.594
299.319,27.516
299.951,27.438
300.925,27.406
301.949,27.344
302.924,27.312
303.956,27.266
304.953,27.266
305.947,27.250
306.922,27.250
307.945,27.234
308.942,27.266
309.945,27.344
310.919,27.312
311.991,27.344
312.918,27.328
313.941,27.328
314.937,27.312
315.940,27.328
316.915,27.344
317.939,27.344
318.917,27.359
319.938,27.375
320.912,27.500
321.936,27.672
322.912,27.906
323.934,28.203
324.910,28.484
325.934,28.734
326.909,29.094
327.932,29.625
328.907,30.094
