Time (s),Resistance (Ω),Stage
1,17838.21,Calibration
2,17687.63,Calibration
3,17631.58,Calibration
4,17520.16,Calibration
5,17538.67,Calibration
6,14375,Calibration
7,29224.14,Calibration
8,19716.98,Calibration
9,19890.51,Calibration
10,18536.58,Calibration
11,18358.73,Calibration
12,18556.48,Calibration
13,18878.7,Calibration
14,19868.71,Calibration
15,19502.88,Calibration
16,19375.9,Calibration
17,19125.18,Calibration
18,19083.81,Calibration
19,18919.49,Calibration
20,19042.55,Normal
21,19673.91,Normal
22,19588.15,Normal
23,20044.02,Normal
24,20999.24,Normal
25,20952.38,Normal
26,20835.84,Normal
27,20400.89,Normal
28,20221.4,Normal
29,20628.27,Normal
30,22244.09,Normal
31,22474.23,Normal
32,22997.58,Normal
33,21917.38,Normal
34,21524.25,Normal
35,21379.31,Normal
36,21355.28,Normal
37,21283.42,Normal
38,20952.38,Normal
39,20952.38,Normal
40,20835.84,Normal
41,20835.84,Normal
42,24096.59,Normal
43,21719.6,Normal
44,21597.22,Normal
45,21427.47,Normal
46,21331.29,Normal
47,21355.28,Normal
48,21188.12,Normal
49,21211.89,Normal
50,21451.61,Normal
51,21283.42,Normal
52,20905.66,Normal
53,21259.54,Normal
54,21046.25,Normal
55,21818.18,Normal
56,21164.38,Normal
57,22733.81,Normal
58,21427.47,Normal
59,21427.47,Normal
60,21331.29,Normal
61,21307.34,Normal
62,21235.7,Normal
63,20423.48,Normal
64,21597.22,Normal
65,21597.22,Normal
66,21235.7,Normal
67,21621.62,Normal
68,23374.08,Normal
70,22733.81,Normal
70,22629.48,Normal
71,22067.34,Normal
72,21842.92,Normal
73,21597.22,Normal
74,21548.54,Normal
75,21646.06,Normal
76,21597.22,Normal
77,21597.22,Normal
78,21597.22,Normal
79,21475.79,Normal
80,21355.28,Normal
81,21117.02,Normal
82,21188.12,Normal
83,21093.39,Normal
84,21211.89,Normal
85,20835.84,Normal
86,20835.84,Normal
87,20812.64,Normal
88,20766.34,Normal
89,20674.16,Normal
90,20882.35,Normal
