Time,Resistance (Ohms),Stage
0,1.0,Calibration (20s)
1,0.9933476853497367,Calibration (20s)
2,0.9915573795748526,Calibration (20s)
3,0.9879253472716286,Calibration (20s)
4,0.9789188649202322,Calibration (20s)
5,0.9754314780189037,Calibration (20s)
6,0.9718816796687249,Calibration (20s)
7,0.9718816796687249,Calibration (20s)
8,0.9662316771860053,Calibration (20s)
9,0.9641748470477913,Calibration (20s)
10,0.9674557658856273,Calibration (20s)
11,0.9604195619462089,Calibration (20s)
12,0.9599979902728422,Calibration (20s)
13,0.9570230445443072,Calibration (20s)
14,0.9553035895022374,Calibration (20s)
15,0.9557347780340747,Calibration (20s)
16,0.9578773748488534,Normal - Watch Video (4 min)
17,0.9570230445443072,Normal - Watch Video (4 min)
18,0.9518216979486065,Normal - Watch Video (4 min)
19,0.9464882667457475,Normal - Watch Video (4 min)
20,0.9482811239320627,Normal - Watch Video (4 min)
21,0.9531343009986422,Normal - Watch Video (4 min)
22,0.9531343009986422,Normal - Watch Video (4 min)
23,0.9531343009986422,Normal - Watch Video (4 min)
24,0.9460378444969687,Normal - Watch Video (4 min)
25,0.944680297353264,Normal - Watch Video (4 min)
26,0.9335007975123347,Normal - Watch Video (4 min)
27,0.9320621939900916,Normal - Watch Video (4 min)
28,0.9382293479436312,Normal - Watch Video (4 min)
29,0.9391627720025382,Normal - Watch Video (4 min)
30,0.9400922708130898,Normal - Watch Video (4 min)
31,0.9419392964267091,Normal - Watch Video (4 min)
32,0.9428568232297769,Normal - Watch Video (4 min)
33,0.9433141146631774,Normal - Watch Video (4 min)
34,0.9419392964267091,Normal - Watch Video (4 min)
35,0.9414788647946243,Normal - Watch Video (4 min)
36,0.9419392964267091,Normal - Watch Video (4 min)
37,0.9400922708130898,Normal - Watch Video (4 min)
38,0.9382293479436312,Normal - Watch Video (4 min)
39,0.9330223097378151,Normal - Watch Video (4 min)
40,0.9354045429646892,Normal - Watch Video (4 min)
41,0.9349301767009426,Normal - Watch Video (4 min)
42,0.9276886822725384,Normal - Watch Video (4 min)
43,0.9291561363701935,Normal - Watch Video (4 min)
44,0.9310977604691771,Normal - Watch Video (4 min)
45,0.9335007975123347,Normal - Watch Video (4 min)
46,0.9349301767009426,Normal - Watch Video (4 min)
47,0.9382293479436312,Normal - Watch Video (4 min)
48,0.921720538410616,Normal - Watch Video (4 min)
49,0.9252214674187704,Normal - Watch Video (4 min)
50,0.9247245309769806,Normal - Watch Video (4 min)
51,0.9237277141571344,Normal - Watch Video (4 min)
52,0.9227263833016796,Normal - Watch Video (4 min)
53,0.9232276375166604,Normal - Watch Video (4 min)
54,0.9237277141571344,Normal - Watch Video (4 min)
55,0.9247245309769806,Normal - Watch Video (4 min)
56,0.9242268094855197,Normal - Watch Video (4 min)
57,0.9222239515121923,Normal - Watch Video (4 min)
58,0.9222239515121923,Normal - Watch Video (4 min)
59,0.9232276375166604,Normal - Watch Video (4 min)
60,0.9242268094855197,Normal - Watch Video (4 min)
61,0.9262116113164126,Normal - Watch Video (4 min)
62,0.9286682279996209,Normal - Watch Video (4 min)
63,0.921720538410616,Normal - Watch Video (4 min)
64,0.9196953065216628,Normal - Watch Video (4 min)
65,0.9114087147186413,Normal - Watch Video (4 min)
66,0.9098211480213118,Normal - Watch Video (4 min)
67,0.9082225906285873,Normal - Watch Video (4 min)
68,0.9114087147186413,Normal - Watch Video (4 min)
69,0.9145516610767861,Normal - Watch Video (4 min)
70,0.9119354830479319,Normal - Watch Video (4 min)
71,0.9135087225887643,Normal - Watch Video (4 min)
72,0.9114087147186413,Normal - Watch Video (4 min)
73,0.9124612700651337,Normal - Watch Video (4 min)
74,0.9092894731315769,Normal - Watch Video (4 min)
75,0.9092894731315769,Normal - Watch Video (4 min)
76,0.9022650449372245,Normal - Watch Video (4 min)
77,0.9049917187072823,Normal - Watch Video (4 min)
78,0.9060737134164402,Normal - Watch Video (4 min)
79,0.9060737134164402,Normal - Watch Video (4 min)
80,0.9017159026923083,Normal - Watch Video (4 min)
81,0.9017159026923083,Normal - Watch Video (4 min)
82,0.9028128133452165,Normal - Watch Video (4 min)
83,0.9066128462780502,Normal - Watch Video (4 min)
84,0.9098211480213118,Normal - Watch Video (4 min)
85,0.9161070407376014,Normal - Watch Video (4 min)
86,0.9150711676966191,Normal - Watch Video (4 min)
87,0.9135087225887643,Normal - Watch Video (4 min)
88,0.9150711676966191,Normal - Watch Video (4 min)
89,0.9076871867529149,Normal - Watch Video (4 min)
90,0.9076871867529149,Normal - Watch Video (4 min)
91,0.9082225906285873,Normal - Watch Video (4 min)
92,0.9140307806200284,Normal - Watch Video (4 min)
93,0.9150711676966191,Normal - Watch Video (4 min)
94,0.9207101794839437,Normal - Watch Video (4 min)
95,0.9181644596630685,Normal - Watch Video (4 min)
96,0.9186759195237733,Normal - Watch Video (4 min)
97,0.9176518222278572,Normal - Watch Video (4 min)
98,0.9181644596630685,Normal - Watch Video (4 min)
99,0.9196953065216628,Normal - Watch Video (4 min)
100,0.921720538410616,Normal - Watch Video (4 min)
101,0.9202034299212655,Normal - Watch Video (4 min)
102,0.9186759195237733,Normal - Watch Video (4 min)
103,0.9181644596630685,Normal - Watch Video (4 min)
104,0.9227263833016796,Normal - Watch Video (4 min)
105,0.9242268094855197,Normal - Watch Video (4 min)
106,0.9267050150346826,Normal - Watch Video (4 min)
107,0.9181644596630685,Normal - Watch Video (4 min)
108,0.9145516610767861,Normal - Watch Video (4 min)
109,0.9150711676966191,Normal - Watch Video (4 min)
110,0.9166230146339147,Normal - Watch Video (4 min)
111,0.9207101794839437,Normal - Watch Video (4 min)
112,0.9207101794839437,Normal - Watch Video (4 min)
113,0.9186759195237733,Normal - Watch Video (4 min)
114,0.9222239515121923,Normal - Watch Video (4 min)
115,0.921720538410616,Normal - Watch Video (4 min)
116,0.9150711676966191,Normal - Watch Video (4 min)
117,0.8995061841306528,Normal - Watch Video (4 min)
118,0.895023746771238,Normal - Watch Video (4 min)
119,0.8938899387837894,Normal - Watch Video (4 min)
120,0.897835009643354,Normal - Watch Video (4 min)
121,0.9028128133452165,Normal - Watch Video (4 min)
122,0.9039048174376804,Normal - Watch Video (4 min)
123,0.9033596004411195,Normal - Watch Video (4 min)
124,0.8983933762219054,Normal - Watch Video (4 min)
125,0.897835009643354,Normal - Watch Video (4 min)
126,0.897835009643354,Normal - Watch Video (4 min)
127,0.8927506354486432,Normal - Watch Video (4 min)
128,0.8904555427352584,Normal - Watch Video (4 min)
129,0.8927506354486432,Normal - Watch Video (4 min)
130,0.897275465490296,Normal - Watch Video (4 min)
131,0.9000604291984311,Normal - Watch Video (4 min)
132,0.9039048174376804,Normal - Watch Video (4 min)
133,0.9060737134164402,Normal - Watch Video (4 min)
134,0.9039048174376804,Normal - Watch Video (4 min)
135,0.9000604291984311,Normal - Watch Video (4 min)
136,0.8983933762219054,Normal - Watch Video (4 min)
137,0.8927506354486432,Normal - Watch Video (4 min)
138,0.8887199941749315,Normal - Watch Video (4 min)
139,0.8921789230256836,Normal - Watch Video (4 min)
140,0.8875557655127289,Normal - Watch Video (4 min)
141,0.8792471923189171,Normal - Watch Video (4 min)
142,0.8768206037856273,Normal - Watch Video (4 min)
143,0.8786427040721901,Normal - Watch Video (4 min)
144,0.8857990206112829,Normal - Watch Video (4 min)
145,0.8916058367657996,Normal - Watch Video (4 min)
146,0.838035421048634,Normal - Watch Video (4 min)
147,0.8387433395895251,Normal - Watch Video (4 min)
148,0.8436467598350533,Normal - Watch Video (4 min)
149,0.8464085645778917,Normal - Watch Video (4 min)
150,0.8477786725163335,Normal - Watch Video (4 min)
151,0.8545230342405302,Normal - Watch Video (4 min)
152,0.8531882535372867,Normal - Watch Video (4 min)
153,0.8558511420215696,Normal - Watch Video (4 min)
154,0.84503139119241,Normal - Watch Video (4 min)
155,0.841556368823401,Normal - Watch Video (4 min)
156,0.8394492955062384,Normal - Watch Video (4 min)
157,0.8394492955062384,Normal - Watch Video (4 min)
158,0.8477786725163335,Normal - Watch Video (4 min)
159,0.8518462111245857,Normal - Watch Video (4 min)
160,0.8484608806804969,Normal - Watch Video (4 min)
161,0.8464085645778917,Normal - Watch Video (4 min)
162,0.8498203904483792,Normal - Watch Video (4 min)
163,0.8504972995272627,Normal - Watch Video (4 min)
164,0.8578306447671827,Normal - Watch Video (4 min)
165,0.8565127426318673,Normal - Watch Video (4 min)
166,0.8578306447671827,Normal - Watch Video (4 min)
167,0.8545230342405302,Normal - Watch Video (4 min)
168,0.8531882535372867,Normal - Watch Video (4 min)
169,0.841556368823401,Normal - Watch Video (4 min)
170,0.8443399586946116,Normal - Watch Video (4 min)
171,0.8373255398835654,Normal - Watch Video (4 min)
172,0.8330266078847642,Normal - Watch Video (4 min)
173,0.8279228037106944,Normal - Watch Video (4 min)
174,0.81894517193471,Normal - Watch Video (4 min)
175,0.81894517193471,Normal - Watch Video (4 min)
176,0.8219705571046112,Normal - Watch Video (4 min)
177,0.8249627739259099,Normal - Watch Video (4 min)
178,0.8249627739259099,Normal - Watch Video (4 min)
179,0.8286578064652373,Normal - Watch Video (4 min)
180,0.8351847094305466,Normal - Watch Video (4 min)
181,0.8366138923567368,Normal - Watch Video (4 min)
182,0.8373255398835654,Normal - Watch Video (4 min)
183,0.8373255398835654,Normal - Watch Video (4 min)
184,0.841556368823401,Normal - Watch Video (4 min)
185,0.84503139119241,Normal - Watch Video (4 min)
